"","dates","Days","EVI","Cases","Index","pvs","pvn","lag_all","c_all","se_all","sp_all","name"
"1",18283,1,NA,0,NA,NA,NA,7,0.01,NA,NA,"Afghanistan"
"2",18284,2,NA,0,NA,NA,NA,7,0.01,NA,NA,"Afghanistan"
"3",18285,3,0,0,0,NA,NA,7,0.01,NA,NA,"Afghanistan"
"4",18286,4,0,0,0,NA,NA,7,0.01,NA,NA,"Afghanistan"
"5",18287,5,0,0,0,NA,NA,7,0.01,NA,NA,"Afghanistan"
"6",18288,6,0,0,0,NA,NA,7,0.01,NA,NA,"Afghanistan"
"7",18289,7,0,0,0,NA,NA,7,0.01,NA,NA,"Afghanistan"
"8",18290,8,0,0,0,NA,NA,7,0.01,NA,NA,"Afghanistan"
"9",18291,9,0,0,0,NA,NA,7,0.01,NA,NA,"Afghanistan"
"10",18292,10,0,0,0,NA,NA,7,0.01,NA,NA,"Afghanistan"
"11",18293,11,0,0,0,NA,NA,7,0.01,NA,NA,"Afghanistan"
"12",18294,12,0,0,0,NA,NA,7,0.01,NA,NA,"Afghanistan"
"13",18295,13,0,0,0,NA,NA,7,0.01,NA,NA,"Afghanistan"
"14",18296,14,0,0,0,NA,NA,7,0.01,NA,NA,"Afghanistan"
"15",18297,15,0,0,0,0,0,7,0.01,0,0,"Afghanistan"
"16",18298,16,0,0,0,0,0,7,0.01,0,0,"Afghanistan"
"17",18299,17,0,0,0,0,0,7,0.01,0,0,"Afghanistan"
"18",18300,18,0,0,0,0,0,7,0.01,0,0,"Afghanistan"
"19",18301,19,0,0,0,0,0,7,0.01,0,0,"Afghanistan"
"20",18302,20,0,0,0,0,0,7,0.01,0,0,"Afghanistan"
"21",18303,21,0,0,0,0,0,7,0.01,0,0,"Afghanistan"
"22",18304,22,0,0,0,0,0,7,0.01,0,0,"Afghanistan"
"23",18305,23,0,0,0,0,0,7,0.01,0,0,"Afghanistan"
"24",18306,24,0,0,0,0,0,7,0.01,0,0,"Afghanistan"
"25",18307,25,0,0,0,0,0,7,0.01,0,0,"Afghanistan"
"26",18308,26,0,0,0,0,0,7,0.01,0,0,"Afghanistan"
"27",18309,27,0,0,0,0,0,7,0.01,0,0,"Afghanistan"
"28",18310,28,0,0,0,0,0,7,0.01,0,0,"Afghanistan"
"29",18311,29,0,0,0,0,0,7,0.01,0,0,"Afghanistan"
"30",18312,30,0,0,0,0,0,7,0.01,0,0,"Afghanistan"
"31",18313,31,0,0,0,0,0,7,0.01,0,0,"Afghanistan"
"32",18314,32,0,0,0,0,0,7,0.01,0,0,"Afghanistan"
"33",18315,33,0,0,0,0,0,7,0.01,0,0,"Afghanistan"
"34",18316,34,Inf,0.142857142857143,1,0,0,7,0.01,0,0,"Afghanistan"
"35",18317,35,0.290994448735806,0.142857142857143,1,0,0,7,0.01,0,0,"Afghanistan"
"36",18318,36,0.0954451150103322,0.142857142857143,1,0,0,7,0.01,0,0,"Afghanistan"
"37",18319,37,0,0.142857142857143,0,0,0,7,0.01,0,0,"Afghanistan"
"38",18320,38,-0.0871290708247231,0.142857142857143,0,0,0,7,0.01,0,0,"Afghanistan"
"39",18321,39,-0.225403330758517,0.142857142857143,0,0,0,7,0.01,0,0,"Afghanistan"
"40",18322,40,-1,0.142857142857143,0,0,0,7,0.01,0,0,"Afghanistan"
"41",18323,41,Inf,0,0,0.142857142857143,0,7,0.01,0.0357142857142857,0,"Afghanistan"
"42",18324,42,0,0.142857142857143,0,0.25,0,7,0.01,0.0689655172413793,0,"Afghanistan"
"43",18325,43,1.38047614284762,0.428571428571429,1,0.333333333333333,0,7,0.01,0.1,0,"Afghanistan"
"44",18326,44,0.270977818604485,0.428571428571429,1,0.4,0,8,0.01,0.129032258064516,0,"Afghanistan"
"45",18327,45,0.138550085106622,0.428571428571429,1,0.454545454545454,0,10,0.01,0.15625,0,"Afghanistan"
"46",18328,46,0.0877527783785379,0.428571428571429,1,0.5,0,12,0.01,0.181818181818182,0,"Afghanistan"
"47",18329,47,0.105541596785133,0.571428571428571,1,0.538461538461538,0,14,0.01,0.205882352941176,0,"Afghanistan"
"48",18330,48,0.36098226559817,0.857142857142857,1,0.538461538461538,0,14,0.01,0.2,0,"Afghanistan"
"49",18331,49,0.138016681430072,0.857142857142857,1,0.571428571428571,0,17,0.01,0.222222222222222,0,"Afghanistan"
"50",18332,50,0.138138238435485,1,1,0.6,0,17,0.01,0.243243243243243,0,"Afghanistan"
"51",18333,51,0.158455671993513,1.14285714285714,1,0.625,0,17,0.01,0.263157894736842,0,"Afghanistan"
"52",18334,52,0.140601101957388,1.28571428571429,1,0.647058823529412,0,17,0.01,0.282051282051282,0,"Afghanistan"
"53",18335,53,0.167821035154468,1.57142857142857,1,0.666666666666667,0,17,0.01,0.3,0,"Afghanistan"
"54",18336,54,0.0946955801192837,1.57142857142857,1,0.684210526315789,0,17,0.01,0.317073170731707,0,"Afghanistan"
"55",18337,55,0.052828328163939,1.57142857142857,1,0.7,0,17,0.01,0.333333333333333,0,"Afghanistan"
"56",18338,56,0.0470398664699177,1.71428571428571,1,0.714285714285714,0,17,0.01,0.348837209302326,0,"Afghanistan"
"57",18339,57,0.0387060635807864,1.85714285714286,1,0.727272727272727,0,17,0.01,0.363636363636364,0,"Afghanistan"
"58",18340,58,-0.0200086182000048,1.85714285714286,0,0.739130434782609,0,17,0.01,0.377777777777778,0,"Afghanistan"
"59",18341,59,0.0432618490028133,2.28571428571429,1,0.75,0,17,0.01,0.391304347826087,0,"Afghanistan"
"60",18342,60,0.0197957345835907,2.14285714285714,1,0.76,0,17,0.01,0.404255319148936,0,"Afghanistan"
