"","dates","Days","EVI","Cases","Index","pvs","pvn","lag_all","c_all","se_all","sp_all","name"
"18937",18283,1,NA,0,NA,NA,NA,7,0.01,NA,NA,"Colombia"
"18938",18284,2,NA,0,NA,NA,NA,7,0.01,NA,NA,"Colombia"
"18939",18285,3,0,0,0,NA,NA,7,0.01,NA,NA,"Colombia"
"18940",18286,4,0,0,0,NA,NA,7,0.01,NA,NA,"Colombia"
"18941",18287,5,0,0,0,NA,NA,7,0.01,NA,NA,"Colombia"
"18942",18288,6,0,0,0,NA,NA,7,0.01,NA,NA,"Colombia"
"18943",18289,7,0,0,0,NA,NA,7,0.01,NA,NA,"Colombia"
"18944",18290,8,0,0,0,NA,NA,7,0.01,NA,NA,"Colombia"
"18945",18291,9,0,0,0,NA,NA,7,0.01,NA,NA,"Colombia"
"18946",18292,10,0,0,0,NA,NA,7,0.01,NA,NA,"Colombia"
"18947",18293,11,0,0,0,NA,NA,7,0.01,NA,NA,"Colombia"
"18948",18294,12,0,0,0,NA,NA,7,0.01,NA,NA,"Colombia"
"18949",18295,13,0,0,0,NA,NA,7,0.01,NA,NA,"Colombia"
"18950",18296,14,0,0,0,NA,NA,7,0.01,NA,NA,"Colombia"
"18951",18297,15,0,0,0,0,0,7,0.01,0,0,"Colombia"
"18952",18298,16,0,0,0,0,0,7,0.01,0,0,"Colombia"
"18953",18299,17,0,0,0,0,0,7,0.01,0,0,"Colombia"
"18954",18300,18,0,0,0,0,0,7,0.01,0,0,"Colombia"
"18955",18301,19,0,0,0,0,0,7,0.01,0,0,"Colombia"
"18956",18302,20,0,0,0,0,0,7,0.01,0,0,"Colombia"
"18957",18303,21,0,0,0,0,0,7,0.01,0,0,"Colombia"
"18958",18304,22,0,0,0,0,0,7,0.01,0,0,"Colombia"
"18959",18305,23,0,0,0,0,0,7,0.01,0,0,"Colombia"
"18960",18306,24,0,0,0,0,0,7,0.01,0,0,"Colombia"
"18961",18307,25,0,0,0,0,0,7,0.01,0,0,"Colombia"
"18962",18308,26,0,0,0,0,0,7,0.01,0,0,"Colombia"
"18963",18309,27,0,0,0,0,0,7,0.01,0,0,"Colombia"
"18964",18310,28,0,0,0,0,0,7,0.01,0,0,"Colombia"
"18965",18311,29,0,0,0,0,0,7,0.01,0,0,"Colombia"
"18966",18312,30,0,0,0,0,0,7,0.01,0,0,"Colombia"
"18967",18313,31,0,0,0,0,0,7,0.01,0,0,"Colombia"
"18968",18314,32,0,0,0,0,0,7,0.01,0,0,"Colombia"
"18969",18315,33,0,0,0,0,0,7,0.01,0,0,"Colombia"
"18970",18316,34,0,0,0,0,0,7,0.01,0,0,"Colombia"
"18971",18317,35,0,0,0,0,0,7,0.01,0,0,"Colombia"
"18972",18318,36,0,0,0,0,0,7,0.01,0,0,"Colombia"
"18973",18319,37,0,0,0,0,0,7,0.01,0,0,"Colombia"
"18974",18320,38,0,0,0,0,0,7,0.01,0,0,"Colombia"
"18975",18321,39,0,0,0,0,0,7,0.01,0,0,"Colombia"
