condition;measurement;ncases
18283;0;0
18284;0;0
18285;0;0
18286;0;0
18287;0;0
18288;0;0
18289;0;0
18290;0;0
18291;0;0
18292;0;0
18293;0;0
18294;0;0
18295;0;0
18296;0;0
18297;0;0
18298;0;0
18299;0;0
18300;0;0
18301;0;0
18302;0;0
18303;0;0
18304;0;0
18305;0;0
18306;0;0
18307;0;0
18308;0;0
18309;0;0
18310;0;0
18311;0;0
18312;0;0
18313;0;0
18314;0;0
18315;0;0
18316;1;1
18317;1;0
18318;1;0
18319;1;0
18320;1;0
18321;1;0
18322;1;0
18323;1;0
18324;2;1
18325;4;2
18326;4;0
18327;4;0
18328;4;0
18329;5;1
18330;7;2
18331;8;1
18332;11;3
18333;12;1
18334;13;1
18335;15;2
18336;16;1
18337;18;2
18338;20;2
18339;24;4
18340;25;1
18341;29;4
18342;30;1
18343;34;4
18344;41;7
18345;43;2
18346;76;33
18347;80;4
18348;91;11
18349;107;16
18350;118;11
18351;146;28
18352;175;29
18353;197;22
18354;240;43
18355;275;35
18356;300;25
18357;338;38
18358;368;30
18359;424;56
18360;445;21
18361;485;40
18362;532;47
18363;556;24
18364;608;52
18365;666;58
18366;715;49
18367;785;70
18368;841;56
18369;907;66
18370;934;27
18371;997;63
18372;1027;30
18373;1093;66
18374;1177;84
18375;1236;59
18376;1331;95
18377;1464;133
18378;1532;68
18379;1704;172
18380;1830;126
18381;1940;110
18382;2127;187
18383;2291;164
18384;2470;179
18385;2705;235
18386;2895;190
18387;3225;330
18388;3393;168
18389;3564;171
18390;3781;217
18391;4042;261
18392;4403;361
18393;4687;284
18394;4968;281
18395;5227;259
18396;5640;413
18397;6054;414
18398;6403;349
18399;6665;262
18400;7073;408
18401;7654;581
18402;8146;492
18403;8677;531
18404;9219;542
18405;10001;782
18406;10585;584
18407;11176;591
18408;11834;658
18409;12459;625
18410;13039;580
18411;13662;623
18412;14528;866
18413;15208;680
18414;15753;545
18415;16512;759
18416;17270;758
18417;18057;787
18418;18972;915
18419;19554;582
18420;20345;791
18421;20920;575
18422;21462;542
18423;22146;684
18424;22894;748
18425;23550;656
18426;24106;556
18427;24770;664
18428;25531;761
18429;26314;783
18430;26878;564
18431;27536;658
18432;27882;346
18433;28428;546
18434;28837;409
18435;29147;310
18436;29471;324
18437;29705;234
18438;30165;460
18439;30441;276
18440;30606;165
18441;30957;351
18442;31228;271
18443;31507;279
18444;31826;319
18445;32012;186
18446;32314;302
18447;32662;348
18448;32941;279
18449;33180;239
18450;33374;194
18451;33584;210
18452;33898;314
18453;34184;286
18454;34356;172
18455;34441;85
18456;34595;154
18457;34730;135
18458;34984;254
18459;35060;76
18460;35219;159
18461;35279;60
18462;35453;174
18463;35493;40
18464;35605;112
18465;35717;112
18466;35918;201
18467;35978;60
18468;36026;48
18469;36147;121
18470;36253;106
18471;36358;105
18472;36463;105
18473;36532;69
18474;36665;133
18475;36700;35
18476;36701;1
18477;36737;36
18478;36773;36
18479;36820;47
18480;36928;108
18481;37006;78
18482;37046;40
18483;37083;37
18484;37153;70
18485;37260;107
18486;37336;76
18487;37422;86
18488;37497;75
18489;37542;45
18490;37590;48
18491;37667;77
18492;37710;43
18493;37750;40
18494;37852;102
18495;37885;33
18496;37944;59
18497;37990;46
18498;38045;55
18499;38061;16
18500;38103;42
18501;38119;16
18502;38130;11
18503;38133;3
18504;38155;22
18505;38159;4
18506;38193;34
18507;38243;50
18508;38288;45
18509;38304;16
18510;38324;20
18511;38398;74
18512;38494;96
18513;38520;26
18514;38544;24
18515;38572;28
18516;38606;34
18517;38641;35
18518;38716;75
18519;38772;56
18520;38815;43
18521;38855;40
18522;38872;17
