condition;measurement;ncases
18283;0;0
18284;0;0
18285;0;0
18286;0;0
18287;0;0
18288;0;0
18289;0;0
18290;0;0
18291;0;0
18292;0;0
18293;0;0
18294;0;0
18295;0;0
18296;0;0
18297;0;0
18298;0;0
18299;0;0
18300;0;0
18301;0;0
18302;0;0
18303;0;0
18304;0;0
18305;0;0
18306;0;0
18307;0;0
18308;0;0
18309;0;0
18310;0;0
18311;0;0
18312;0;0
18313;0;0
18314;0;0
18315;0;0
18316;0;0
18317;0;0
18318;0;0
18319;0;0
18320;0;0
18321;0;0
18322;0;0
18323;0;0
18324;0;0
18325;0;0
18326;0;0
18327;0;0
18328;0;0
18329;0;0
18330;0;0
18331;0;0
18332;0;0
18333;0;0
18334;1;1
18335;1;0
18336;1;0
18337;1;0
18338;1;0
18339;1;0
18340;1;0
18341;1;0
18342;1;0
18343;1;0
18344;3;2
18345;3;0
18346;3;0
18347;7;4
18348;7;0
18349;7;0
18350;7;0
18351;7;0
18352;7;0
18353;7;0
18354;9;2
18355;15;6
18356;15;0
18357;15;0
18358;15;0
18359;19;4
18360;19;0
18361;19;0
18362;19;0
18363;21;2
18364;21;0
18365;23;2
18366;23;0
18367;23;0
18368;23;0
18369;23;0
18370;23;0
18371;23;0
18372;23;0
18373;23;0
18374;24;1
18375;24;0
18376;24;0
18377;24;0
18378;24;0
18379;24;0
18380;24;0
18381;24;0
18382;24;0
18383;25;1
18384;25;0
18385;25;0
18386;25;0
18387;25;0
18388;25;0
18389;25;0
18390;25;0
18391;25;0
18392;25;0
18393;25;0
18394;25;0
18395;25;0
18396;25;0
18397;25;0
18398;25;0
18399;25;0
18400;25;0
18401;25;0
18402;25;0
18403;25;0
18404;25;0
18405;25;0
18406;25;0
18407;25;0
18408;25;0
18409;25;0
18410;25;0
18411;25;0
18412;25;0
18413;26;1
18414;26;0
18415;26;0
18416;26;0
18417;26;0
18418;26;0
18419;26;0
18420;26;0
18421;26;0
18422;26;0
18423;26;0
18424;26;0
18425;26;0
18426;26;0
18427;26;0
18428;26;0
18429;26;0
18430;26;0
18431;26;0
18432;26;0
18433;26;0
18434;26;0
18435;26;0
18436;26;0
18437;26;0
18438;65;39
18439;65;0
18440;65;0
18441;69;4
18442;69;0
18443;69;0
18444;69;0
18445;69;0
18446;68;-1
18447;68;0
18448;68;0
18449;70;2
18450;70;0
18451;70;0
18452;73;3
18453;74;1
18454;74;0
18455;74;0
18456;74;0
18457;74;0
18458;74;0
18459;74;0
18460;76;2
18461;76;0
18462;76;0
18463;76;0
18464;76;0
18465;76;0
18466;76;0
18467;82;6
18468;82;0
18469;82;0
18470;86;4
18471;86;0
18472;91;5
18473;91;0
18474;91;0
18475;91;0
18476;91;0
18477;92;1
18478;92;0
18479;92;0
18480;92;0
18481;92;0
18482;92;0
18483;92;0
18484;92;0
18485;92;0
18486;92;0
18487;92;0
18488;93;1
18489;93;0
18490;93;0
18491;93;0
18492;93;0
18493;94;1
18494;94;0
18495;94;0
18496;94;0
18497;94;0
18498;94;0
18499;94;0
18500;94;0
18501;94;0
18502;94;0
18503;94;0
18504;94;0
18505;94;0
18506;94;0
18507;94;0
18508;95;1
18509;95;0
18510;95;0
18511;95;0
18512;95;0
18513;95;0
18514;95;0
18515;95;0
18516;95;0
18517;95;0
18518;95;0
18519;95;0
18520;95;0
18521;95;0
18522;95;0
18523;95;0
18524;96;1
18525;96;0
18526;96;0
18527;96;0
18528;97;1
18529;97;0
18530;98;1
18531;98;0
18532;101;3
18533;101;0
18534;101;0
18535;101;0
18536;101;0
18537;106;5
18538;107;1
18539;107;0
18540;107;0
18541;107;0
18542;108;1
18543;111;3
18544;111;0
