condition;measurement;ncases
18283;0;0
18284;0;0
18285;0;0
18286;0;0
18287;0;0
18288;0;0
18289;0;0
18290;0;0
18291;0;0
18292;0;0
18293;0;0
18294;0;0
18295;0;0
18296;0;0
18297;0;0
18298;0;0
18299;0;0
18300;0;0
18301;0;0
18302;0;0
18303;0;0
18304;0;0
18305;0;0
18306;0;0
18307;0;0
18308;0;0
18309;0;0
18310;0;0
18311;0;0
18312;0;0
18313;0;0
18314;0;0
18315;0;0
18316;0;0
18317;0;0
18318;0;0
18319;0;0
18320;0;0
18321;0;0
18322;0;0
18323;0;0
18324;1;1
18325;1;0
18326;1;0
18327;2;1
18328;8;6
18329;12;4
18330;12;0
18331;17;5
18332;19;2
18333;19;0
18334;31;12
18335;34;3
18336;45;11
18337;56;11
18338;68;12
18339;79;11
18340;97;18
18341;128;31
18342;158;30
18343;266;108
18344;301;35
18345;387;86
18346;387;0
18347;502;115
18348;589;87
18349;690;101
18350;745;55
18351;820;75
18352;1054;234
18353;1054;0
18354;1133;79
18355;1265;132
18356;1451;186
18357;1451;0
18358;1554;103
18359;1628;74
18360;1715;87
18361;1795;80
18362;1975;180
18363;1975;0
18364;2142;167
18365;2208;66
18366;2277;69
18367;2443;166
18368;2571;128
18369;2669;98
18370;2758;89
18371;2839;81
18372;2941;102
18373;3031;90
18374;3144;113
18375;3435;291
18376;3607;172
18377;3780;173
18378;3892;112
18379;4003;111
18380;4127;124
18381;4285;158
18382;4428;143
18383;4532;104
18384;4681;149
18385;4783;102
18386;4887;104
18387;5020;133
18388;5208;188
18389;5371;163
18390;5611;240
18391;5776;165
18392;6034;258
18393;6278;244
18394;6563;285
18395;6879;316
18396;7134;255
18397;7479;345
18398;7805;326
18399;8068;263
18400;8371;303
18401;8809;438
18402;9283;474
18403;9931;648
18404;10649;718
18405;11353;704
18406;12076;723
18407;12628;552
18408;13228;600
18409;13933;705
18410;14702;769
18411;15419;717
18412;16214;795
18413;16851;637
18414;17415;564
18415;18319;904
18416;19268;949
18417;20197;929
18418;21037;840
18419;22020;983
18420;22794;774
18421;23620;826
18422;24761;1141
18423;25987;1226
18424;27373;1386
18425;28764;1391
18426;30295;1531
18427;31577;1282
18428;32785;1208
18429;34159;1374
18430;35552;1393
18431;37510;1958
18432;39570;2060
18433;41204;1634
18434;42785;1581
18435;44931;2146
18436;47203;2272
18437;49851;2648
18438;52457;2606
18439;55343;2886
18440;57744;2401
18441;59933;2189
18442;62268;2335
18443;64530;2262
18444;67197;2667
18445;69941;2744
18446;72786;2845
18447;75376;2590
18448;77815;2439
18449;80447;2632
18450;83426;2979
18451;87030;3604
18452;90693;3663
18453;94060;3367
18454;97509;3449
18455;100166;2657
18456;103265;3099
18457;106910;3645
18458;111146;4236
18459;114783;3637
18460;119301;4518
18461;122524;3223
18462;126755;4231
18463;130774;4019
18464;136118;5344
18465;141900;5782
18466;148027;6127
18467;153520;5493
18468;158334;4814
18469;162526;4192
18470;167416;4890
18471;173355;5939
18472;178996;5641
18473;185373;6377
18474;191302;5929
18475;196543;5241
18476;201919;5376
18477;206743;4824
18478;213535;6792
18479;220682;7147
18480;228195;7513
18481;235677;7482
18482;241811;6134
18483;246499;4688
18484;253868;7369
18485;260911;7043
18486;268574;7663
18487;276072;7498
18488;282437;6365
18489;289100;6663
18490;294569;5469
18491;299126;4557
18492;305966;6840
18493;312659;6693
18494;320884;8225
18495;329043;8159
18496;336802;7759
18497;342154;5352
18498;350867;8713
18499;359638;8771
18500;370188;10550
18501;380292;10104
18502;392009;11717
18503;401239;9230
18504;408426;7187
18505;417735;9309
18506;428239;10504
18507;439172;10933
18508;451198;12026
18509;461882;10684
