condition;measurement;ncases
18283;0;0
18284;0;0
18285;0;0
18286;0;0
18287;4;4
18288;5;1
18289;5;0
18290;6;1
18291;9;3
18292;9;0
18293;12;3
18294;12;0
18295;12;0
18296;13;1
18297;13;0
18298;14;1
18299;15;1
18300;15;0
18301;15;0
18302;15;0
18303;15;0
18304;15;0
18305;15;0
18306;15;0
18307;15;0
18308;15;0
18309;15;0
18310;15;0
18311;15;0
18312;15;0
18313;15;0
18314;15;0
18315;15;0
18316;15;0
18317;15;0
18318;15;0
18319;15;0
18320;15;0
18321;25;10
18322;27;2
18323;30;3
18324;39;9
18325;52;13
18326;55;3
18327;60;5
18328;63;3
18329;76;13
18330;91;15
18331;107;16
18332;128;21
18333;128;0
18334;200;72
18335;250;50
18336;297;47
18337;377;80
18338;452;75
18339;568;116
18340;681;113
18341;791;110
18342;1071;280
18343;1549;478
18344;1682;133
18345;2044;362
18346;2364;320
18347;2810;446
18348;3143;333
18349;3640;497
18350;3984;344
18351;4361;377
18352;4559;198
18353;4862;303
18354;5116;254
18355;5330;214
18356;5550;220
18357;5687;137
18358;5797;110
18359;5895;98
18360;6010;115
18361;6108;98
18362;6215;107
18363;6303;88
18364;6315;12
18365;6351;36
18366;6415;64
18367;6440;25
18368;6462;22
18369;6522;60
18370;6568;46
18371;6610;42
18372;6623;13
18373;6645;22
18374;6652;7
18375;6662;10
18376;6677;15
18377;6694;17
18378;6714;20
18379;6721;7
18380;6744;23
18381;6752;8
18382;6766;14
18383;6778;12
18384;6799;21
18385;6822;23
18386;6847;25
18387;6875;28
18388;6894;19
18389;6913;19
18390;6918;5
18391;6939;21
18392;6948;9
18393;6970;22
18394;6980;10
18395;6989;9
18396;7019;30
18397;7035;16
18398;7044;9
18399;7054;10
18400;7068;14
18401;7072;4
18402;7081;9
18403;7095;14
18404;7099;4
18405;7114;15
18406;7114;0
18407;7126;12
18408;7139;13
18409;7150;11
18410;7165;15
18411;7184;19
18412;7192;8
18413;7202;10
18414;7221;19
18415;7229;8
18416;7240;11
18417;7247;7
18418;7252;5
18419;7259;7
18420;7265;6
18421;7267;2
18422;7274;7
18423;7285;11
18424;7289;4
18425;7294;5
18426;7320;26
18427;7335;15
18428;7347;12
18429;7370;23
18430;7391;21
18431;7409;18
18432;7411;2
18433;7461;50
18434;7474;13
18435;7492;18
18436;7521;29
18437;7558;37
18438;7595;37
18439;7601;6
18440;7686;85
18441;7764;78
18442;7834;70
18443;7920;86
18444;8001;81
18445;8066;65
18446;8260;194
18447;8443;183
18448;8583;140
18449;8755;172
18450;8886;131
18451;9056;170
18452;9374;318
18453;9553;179
18454;9797;244
18455;9980;183
18456;10251;271
18457;10487;236
18458;10810;323
18459;11233;423
18460;11441;208
18461;11802;361
18462;12069;267
18463;12428;359
18464;12894;466
18465;13302;408
18466;13595;293
18467;13950;355
18468;14403;453
18469;14935;532
18470;15303;368
18471;15582;279
18472;16298;716
18473;16903;605
18474;17280;377
18475;17895;615
18476;18318;423
18477;18730;412
18478;19445;715
18479;19890;445
18480;20272;382
18481;20698;426
18482;21084;386
18483;21397;313
18484;21713;316
18485;22127;414
18486;22358;231
18487;22742;384
18488;23035;293
18489;23287;252
18490;23558;271
18491;23773;215
18492;23989;216
18493;24236;247
18494;24407;171
18495;24602;195
18496;24811;209
18497;24915;104
18498;25053;138
18499;25204;151
18500;25322;118
18501;25448;126
18502;25547;99
18503;25670;123
18504;25746;76
18505;25819;73
18506;25923;104
18507;26049;126
18508;26136;87
18509;26207;71
18510;26278;71
18511;26321;43
18512;26373;52
18513;26465;92
18514;26524;59
18515;26564;40
18516;26607;43
18517;26651;44
18518;26692;41
18519;26739;47
