condition;measurement;ncases
18283;0;0
18284;0;0
18285;0;0
18286;0;0
18287;0;0
18288;0;0
18289;0;0
18290;0;0
18291;0;0
18292;0;0
18293;0;0
18294;0;0
18295;0;0
18296;0;0
18297;0;0
18298;0;0
18299;0;0
18300;0;0
18301;0;0
18302;0;0
18303;0;0
18304;0;0
18305;0;0
18306;0;0
18307;0;0
18308;0;0
18309;0;0
18310;0;0
18311;0;0
18312;0;0
18313;0;0
18314;0;0
18315;0;0
18316;0;0
18317;2;2
18318;2;0
18319;3;1
18320;3;0
18321;9;6
18322;14;5
18323;18;4
18324;21;3
18325;29;8
18326;41;12
18327;55;14
18328;79;24
18329;104;25
18330;131;27
18331;182;51
18332;246;64
18333;302;56
18334;504;202
18335;655;151
18336;860;205
18337;1018;158
18338;1332;314
18339;1646;314
18340;2013;367
18341;2388;375
18342;2814;426
18343;3582;768
18344;4474;892
18345;5283;809
18346;5588;305
18347;6909;1321
18348;7657;748
18349;8271;614
18350;8788;517
18351;9618;830
18352;10180;562
18353;10711;531
18354;11129;418
18355;11524;395
18356;11781;257
18357;12051;270
18358;12297;246
18359;12639;342
18360;12942;303
18361;13244;302
18362;13555;311
18363;13806;251
18364;13945;139
18365;14041;96
18366;14226;185
18367;14336;110
18368;14476;140
18369;14595;119
18370;14671;76
18371;14749;78
18372;14795;46
18373;14873;78
18374;14925;52
18375;15002;77
18376;15071;69
18377;15148;77
18378;15225;77
18379;15274;49
18380;15357;83
18381;15402;45
18382;15452;50
18383;15531;79
18384;15558;27
18385;15597;39
18386;15621;24
18387;15650;29
18388;15684;34
18389;15752;68
18390;15774;22
18391;15833;59
18392;15871;38
18393;15882;11
18394;15961;79
18395;15997;36
18396;16058;61
18397;16109;51
18398;16201;92
18399;16242;41
18400;16269;27
18401;16321;52
18402;16353;32
18403;16404;51
18404;16436;32
18405;16486;50
18406;16503;17
18407;16539;36
18408;16557;18
18409;16591;34
18410;16628;37
18411;16655;27
18412;16685;30
18413;16731;46
18414;16733;2
18415;16759;26
18416;16771;12
18417;16805;34
18418;16843;38
18419;16898;55
18420;16902;4
18421;16968;66
18422;16979;11
18423;17005;26
18424;17034;29
18425;17064;30
18426;17078;14
18427;17109;31
18428;17135;26
18429;17189;54
18430;17203;14
18431;17223;20
18432;17271;48
18433;17323;52
18434;17341;18
18435;17380;39
18436;17408;28
18437;17449;41
18438;17477;28
18439;17522;45
18440;17580;58
18441;17654;74
18442;17723;69
18443;17766;43
18444;17873;107
18445;17941;68
18446;18050;109
18447;18165;115
18448;18280;115
18449;18365;85
18450;18421;56
18451;18513;92
18452;18615;102
18453;18709;94
18454;18783;74
18455;18897;114
18456;18948;51
18457;19021;73
18458;19154;133
18459;19270;116
18460;19439;169
18461;19573;134
18462;19655;82
18463;19743;88
18464;19827;84
18465;19929;102
18466;20099;170
18467;20214;115
18468;20338;124
18469;20472;134
18470;20558;86
18471;20677;119
18472;20850;173
18473;20955;105
18474;21130;175
18475;21212;82
18476;21304;92
18477;21385;81
18478;21481;96
18479;21566;85
18480;21696;130
18481;21837;141
18482;21919;82
18483;22033;114
18484;22106;73
18485;22245;139
18486;22439;194
18487;22594;155
18488;22876;282
18489;23179;303
18490;23370;191
18491;23534;164
18492;23829;295
18493;24084;255
18494;24431;347
18495;24762;331
18496;25062;300
18497;25253;191
18498;25495;242
18499;25706;211
18500;26033;327
18501;26361;328
18502;26590;229
18503;26985;395
18504;27166;181
18505;27438;272
18506;27642;204
18507;27969;327
18508;28372;403
18509;28729;357
18510;29087;358
18511;29271;184
18512;29561;290
18513;30081;520
18514;30583;502
18515;31247;664
18516;31827;580
18517;32696;869
18518;33159;463
