condition;measurement;ncases
18283;0;0
18284;0;0
18285;0;0
18286;0;0
18287;0;0
18288;0;0
18289;0;0
18290;0;0
18291;0;0
18292;0;0
18293;0;0
18294;0;0
18295;0;0
18296;0;0
18297;0;0
18298;0;0
18299;0;0
18300;0;0
18301;0;0
18302;0;0
18303;0;0
18304;0;0
18305;0;0
18306;0;0
18307;0;0
18308;0;0
18309;0;0
18310;0;0
18311;0;0
18312;0;0
18313;0;0
18314;0;0
18315;0;0
18316;0;0
18317;0;0
18318;0;0
18319;0;0
18320;0;0
18321;0;0
18322;3;3
18323;3;0
18324;3;0
18325;3;0
18326;6;3
18327;6;0
18328;9;3
18329;9;0
18330;9;0
18331;11;2
18332;11;0
18333;11;0
18334;15;4
18335;15;0
18336;23;8
18337;28;5
18338;28;0
18339;28;0
18340;44;16
18341;44;0
18342;53;9
18343;65;12
18344;72;7
18345;87;15
18346;93;6
18347;122;29
18348;165;43
18349;182;17
18350;209;27
18351;273;64
18352;298;25
18353;359;61
18354;400;41
18355;443;43
18356;521;78
18357;584;63
18358;641;57
18359;717;76
18360;822;105
18361;926;104
18362;991;65
18363;1058;67
18364;1098;40
18365;1148;50
18366;1197;49
18367;1253;56
18368;1283;30
18369;1340;57
18370;1373;33
18371;1398;25
18372;1436;38
18373;1480;44
18374;1518;38
18375;1548;30
18376;1592;44
18377;1617;25
18378;1645;28
18379;1678;33
18380;1717;39
18381;1766;49
18382;1804;38
18383;1854;50
18384;1894;40
18385;1932;38
18386;1984;52
18387;2060;76
18388;2127;67
18389;2204;77
18390;2279;75
18391;2422;143
18392;2519;97
18393;2589;70
18394;2693;104
18395;2758;65
18396;2879;121
18397;2980;101
18398;3138;158
18399;3274;136
18400;3387;113
18401;3518;131
18402;3631;113
18403;3749;118
18404;3855;106
18405;3982;127
18406;4122;140
18407;4271;149
18408;4403;132
18409;4568;165
18410;4759;191
18411;4989;230
18412;5246;257
18413;5494;248
18414;5662;168
18415;5935;273
18416;6260;325
18417;6522;262
18418;6860;338
18419;7239;379
18420;7553;314
18421;7876;323
18422;8191;315
18423;8530;339
18424;8882;352
18425;9218;336
18426;9570;352
18427;9957;387
18428;10324;367
18429;10662;338
18430;10991;329
18431;11329;338
18432;11767;438
18433;12238;471
18434;12729;491
18435;13207;478
18436;13715;508
18437;14305;590
18438;14852;547
18439;15369;517
18440;15890;521
18441;16424;534
18442;16968;544
18443;17524;556
18444;18112;588
18445;18684;572
18446;19267;583
18447;19801;534
18448;20324;523
18449;20837;513
18450;21374;537
18451;21916;542
18452;22464;548
18453;22990;526
18454;23521;531
18455;24041;520
18456;24570;529
18457;25113;543
18458;25672;559
18459;26165;493
18460;26636;471
18461;27133;497
18462;27521;388
18463;27890;369
18464;28242;352
18465;28633;391
18466;28980;347
18467;29312;332
18468;29633;321
18469;30050;417
18470;30446;396
18471;30858;412
18472;31221;363
18473;31560;339
18474;31878;318
18475;32157;279
18476;32443;286
18477;32684;241
18478;32910;226
18479;33103;193
18480;33247;144
18481;33376;129
18482;33481;105
18483;33568;87
18484;33647;79
18485;33731;84
18486;33824;93
18487;33915;91
18488;34018;103
18489;34107;89
18490;34219;112
18491;34343;124
18492;34474;131
18493;34620;146
18494;34759;139
18495;34921;162
18496;35105;184
18497;35274;169
18498;35426;152
18499;35559;133
18500;35707;148
18501;35844;137
18502;35986;142
18503;36174;188
18504;36309;135
18505;36435;126
18506;36578;143
18507;36732;154
18508;36899;167
18509;37031;132
18510;37192;161
18511;37329;137
18512;37418;89
18513;37557;139
18514;37732;175
18515;37874;142
18516;38037;163
18517;38172;135
18518;38327;155
18519;38403;76
18520;38517;114
18521;38658;141
