condition;measurement;ncases
18283;0;0
18284;0;0
18285;0;0
18286;0;0
18287;0;0
18288;0;0
18289;0;0
18290;0;0
18291;0;0
18292;0;0
18293;0;0
18294;0;0
18295;0;0
18296;0;0
18297;0;0
18298;0;0
18299;0;0
18300;0;0
18301;0;0
18302;0;0
18303;0;0
18304;0;0
18305;0;0
18306;0;0
18307;0;0
18308;0;0
18309;0;0
18310;0;0
18311;0;0
18312;0;0
18313;0;0
18314;0;0
18315;0;0
18316;0;0
18317;0;0
18318;0;0
18319;0;0
18320;0;0
18321;0;0
18322;0;0
18323;0;0
18324;0;0
18325;0;0
18326;0;0
18327;0;0
18328;0;0
18329;0;0
18330;0;0
18331;0;0
18332;0;0
18333;0;0
18334;0;0
18335;0;0
18336;0;0
18337;1;1
18338;1;0
18339;1;0
18340;3;2
18341;3;0
18342;4;1
18343;4;0
18344;4;0
18345;5;1
18346;5;0
18347;9;4
18348;10;1
18349;10;0
18350;11;1
18351;14;3
18352;14;0
18353;21;7
18354;24;3
18355;24;0
18356;28;4
18357;28;0
18358;29;1
18359;33;4
18360;40;7
18361;41;1
18362;42;1
18363;46;4
18364;46;0
18365;47;1
18366;49;2
18367;49;0
18368;53;4
18369;54;1
18370;55;1
18371;55;0
18372;60;5
18373;65;5
18374;65;0
18375;72;7
18376;73;1
18377;78;5
18378;80;2
18379;80;0
18380;80;0
18381;80;0
18382;81;1
18383;81;0
18384;83;2
18385;83;0
18386;83;0
18387;89;6
18388;92;3
18389;92;0
18390;92;0
18391;92;0
18392;92;0
18393;93;1
18394;93;0
18395;94;1
18396;96;2
18397;96;0
18398;96;0
18399;96;0
18400;96;0
18401;96;0
18402;97;1
18403;97;0
18404;97;0
18405;100;3
18406;100;0
18407;100;0
18408;100;0
18409;100;0
18410;101;1
18411;102;1
18412;102;0
18413;102;0
18414;102;0
18415;102;0
18416;102;0
18417;102;0
18418;102;0
18419;103;1
18420;103;0
18421;103;0
18422;103;0
18423;103;0
18424;103;0
18425;103;0
18426;103;0
18427;103;0
18428;103;0
18429;104;1
18430;104;0
18431;104;0
18432;104;0
18433;104;0
18434;104;0
18435;104;0
18436;104;0
18437;104;0
18438;104;0
18439;104;0
18440;104;0
18441;104;0
18442;104;0
18443;104;0
18444;104;0
18445;104;0
18446;104;0
18447;104;0
18448;104;0
18449;104;0
18450;104;0
18451;106;2
18452;107;1
18453;108;1
18454;111;3
18455;111;0
18456;113;2
18457;116;3
18458;119;3
18459;124;5
18460;129;5
18461;138;9
18462;153;15
18463;174;21
18464;194;20
18465;219;25
18466;274;55
18467;316;42
18468;326;10
18469;342;16
18470;382;40
18471;447;65
18472;484;37
18473;508;24
18474;574;66
18475;599;25
18476;648;49
18477;679;31
18478;715;36
18479;751;36
18480;761;10
18481;830;69
18482;878;48
18483;898;20
18484;945;47
18485;989;44
18486;1036;47
18487;1089;53
18488;1119;30
18489;1252;133
18490;1315;63
18491;1329;14
18492;1424;95
18493;1531;107
18494;1610;79
18495;1703;93
18496;1765;62
18497;1784;19
18498;1798;14
18499;1813;15
18500;1923;110
18501;2020;97
18502;2057;37
18503;2135;78
18504;2167;32
18505;2217;50
18506;2276;59
18507;2337;61
18508;2386;49
18509;2386;0
18510;2476;90
18511;2506;30
18512;2546;40
18513;2585;39
18514;2721;136
18515;2721;0
18516;2814;93
18517;2928;114
18518;2928;0
18519;3008;80
18520;3032;24
18521;3087;55
18522;3177;90
18523;3177;0
18524;3214;37
18525;3315;101
18526;3418;103
18527;3467;49
18528;3618;151
18529;3699;81
18530;3790;91
18531;3790;0
18532;3838;48
18533;3838;0
18534;3903;65
18535;4123;220
18536;4123;0
18537;4220;97
