condition;measurement;ncases
18283;0;0
18284;0;0
18285;0;0
18286;0;0
18287;0;0
18288;0;0
18289;0;0
18290;0;0
18291;0;0
18292;0;0
18293;0;0
18294;0;0
18295;0;0
18296;0;0
18297;0;0
18298;0;0
18299;0;0
18300;0;0
18301;0;0
18302;0;0
18303;0;0
18304;0;0
18305;0;0
18306;0;0
18307;0;0
18308;0;0
18309;0;0
18310;0;0
18311;0;0
18312;0;0
18313;0;0
18314;0;0
18315;0;0
18316;1;1
18317;23;22
18318;33;10
18319;33;0
18320;36;3
18321;41;5
18322;47;6
18323;49;2
18324;49;0
18325;52;3
18326;55;3
18327;60;5
18328;85;25
18329;85;0
18330;95;10
18331;110;15
18332;195;85
18333;195;0
18334;195;0
18335;210;15
18336;214;4
18337;214;0
18338;228;14
18339;256;28
18340;278;22
18341;285;7
18342;305;20
18343;334;29
18344;377;43
18345;392;15
18346;419;27
18347;458;39
18348;466;8
18349;476;10
18350;499;23
18351;515;16
18352;567;52
18353;569;2
18354;643;74
18355;672;29
18356;688;16
18357;700;12
18358;756;56
18359;811;55
18360;823;12
18361;887;64
18362;925;38
18363;1040;115
18364;1136;96
18365;1361;225
18366;1528;167
18367;1671;143
18368;1700;29
18369;1740;40
18370;1773;33
18371;1881;108
18372;1907;26
18373;1973;66
18374;2027;54
18375;2217;190
18376;2518;301
18377;2588;70
18378;2647;59
18379;2723;76
18380;2811;88
18381;2921;110
18382;3040;119
18383;3170;130
18384;3284;114
18385;3383;99
18386;3533;150
18387;3720;187
18388;3934;214
18389;4199;265
18390;4444;245
18391;4774;330
18392;4941;167
18393;5236;295
18394;5531;295
18395;5816;285
18396;6198;382
18397;6583;385
18398;6747;164
18399;6956;209
18400;7184;228
18401;7532;348
18402;7888;356
18403;8174;286
18404;8414;240
18405;8802;388
18406;9138;336
18407;9171;33
18408;9366;195
18409;9692;326
18410;10052;360
18411;10449;397
18412;10793;344
18413;11398;605
18414;11871;473
18415;12311;440
18416;12815;504
18417;13296;481
18418;13835;539
18419;14383;548
18420;14763;380
18421;15417;654
18422;15731;314
18423;16200;469
18424;16667;467
18425;17269;602
18426;17713;444
18427;18227;514
18428;19013;786
18429;19553;540
18430;19961;408
18431;20430;469
18432;20916;486
18433;21331;415
18434;21764;433
18435;22407;643
18436;23062;655
18437;23570;508
18438;24081;511
18439;24805;724
18440;25267;462
18441;25705;438
18442;26239;534
18443;26758;519
18444;27414;656
18445;27837;423
18446;28410;573
18447;28857;447
18448;29367;510
18449;29821;454
18450;30321;500
18451;30931;610
18452;31528;597
18453;32039;511
18454;32470;431
18455;32941;471
18456;33476;535
18457;34078;602
18458;34560;482
18459;35084;524
18460;35473;389
18461;36004;531
18462;36422;418
18463;36936;514
18464;37316;380
18465;37637;321
18466;37996;359
18467;38458;462
18468;38747;289
18469;39131;384
18470;39482;351
18471;39921;439
18472;40311;390
18473;40755;444
18474;40982;227
18475;41190;208
18476;41536;346
18477;41835;299
18478;42132;297
18479;42514;382
18480;42889;375
18481;43307;418
18482;43629;322
18483;44011;382
18484;44397;386
18485;44804;407
18486;45264;460
18487;45726;462
18488;46052;326
18489;46430;378
18490;46835;405
18491;47185;350
18492;47581;396
18493;47950;369
18494;48303;353
18495;48661;358
18496;49038;377
18497;49330;292
18498;49719;389
18499;50076;357
18500;50393;317
18501;50756;363
18502;51113;357
18503;51391;278
18504;51574;183
18505;51972;398
18506;52440;468
18507;52807;367
18508;53433;626
18509;54095;662
18510;54771;676
18511;55415;644
18512;56076;661
18513;56778;702
18514;57450;672
18515;58207;757
18516;58839;632
18517;59586;747
18518;60307;721
18519;60965;658
18520;61643;678
18521;62484;841
