condition;measurement;ncases
18283;0;0
18284;0;0
18285;0;0
18286;0;0
18287;0;0
18288;0;0
18289;0;0
18290;0;0
18291;0;0
18292;0;0
18293;0;0
18294;0;0
18295;0;0
18296;0;0
18297;0;0
18298;0;0
18299;0;0
18300;0;0
18301;0;0
18302;0;0
18303;0;0
18304;0;0
18305;0;0
18306;0;0
18307;0;0
18308;0;0
18309;0;0
18310;0;0
18311;0;0
18312;0;0
18313;0;0
18314;0;0
18315;0;0
18316;0;0
18317;0;0
18318;0;0
18319;0;0
18320;0;0
18321;0;0
18322;0;0
18323;0;0
18324;0;0
18325;0;0
18326;0;0
18327;0;0
18328;0;0
18329;3;3
18330;3;0
18331;3;0
18332;3;0
18333;3;0
18334;3;0
18335;3;0
18336;5;2
18337;8;3
18338;10;2
18339;14;4
18340;17;3
18341;20;3
18342;25;5
18343;27;2
18344;33;6
18345;39;6
18346;39;0
18347;44;5
18348;48;4
18349;48;0
18350;48;0
18351;49;1
18352;51;2
18353;54;3
18354;56;2
18355;61;5
18356;70;9
18357;88;18
18358;123;35
18359;164;41
18360;218;54
18361;330;112
18362;424;94
18363;482;58
18364;621;139
18365;803;182
18366;1012;209
18367;1231;219
18368;1572;341
18369;1838;266
18370;2144;306
18371;2456;312
18372;2948;492
18373;3382;434
18374;3772;390
18375;4186;414
18376;4689;503
18377;4998;309
18378;5416;418
18379;5913;497
18380;6462;549
18381;7103;641
18382;7667;564
18383;8238;571
18384;8790;552
18385;9455;665
18386;10143;688
18387;10929;786
18388;11719;790
18389;12425;706
18390;13134;709
18391;13770;636
18392;14657;887
18393;15691;1034
18394;16660;969
18395;17822;1162
18396;18863;1041
18397;20065;1202
18398;20995;930
18399;22268;1273
18400;23870;1602
18401;25121;1251
18402;26738;1617
18403;28511;1773
18404;30205;1694
18405;32078;1873
18406;33610;1532
18407;35585;1975
18408;36751;1166
18409;38292;1541
18410;40321;2029
18411;42844;2523
18412;44608;1764
18413;47153;2545
18414;49534;2381
18415;52445;2911
18416;55140;2695
18417;57563;2423
18418;60391;2828
18419;63026;2635
18420;65769;2743
18421;68504;2735
18422;71675;3171
18423;74865;3190
18424;78052;3187
18425;81523;3471
18426;84379;2856
18427;87520;3141
18428;90619;3099
18429;94481;3862
18430;98489;4008
18431;102292;3803
18432;105535;3243
18433;108775;3240
18434;112306;3531
18435;115786;3480
18436;119198;3412
18437;122660;3462
18438;126606;3946
18439;130474;3868
18440;133978;3504
18441;137787;3809
18442;141801;4014
18443;145483;3682
18444;149258;3775
18445;153277;4019
18446;156391;3114
18447;159679;3288
18448;162417;2738
18449;165618;3201
18450;168645;3027
18451;172134;3489
18452;175494;3360
18453;178443;2949
18454;181129;2686
18455;183795;2666
18456;186894;3099
18457;190057;3163
18458;193590;3533
18459;196323;2733
18460;199357;3034
18461;202066;2709
18462;204525;2459
18463;207453;2928
18464;210510;3057
18465;213254;2744
18466;216110;2856
18467;218658;2548
18468;221178;2520
18469;223453;2275
18470;226225;2772
18471;229185;2960
18472;232194;3009
18473;234889;2695
18474;237661;2772
18475;239860;2199
18476;240746;886
18477;242102;1356
18478;244020;1918
18479;246674;2654
18480;249651;2977
18481;252502;2851
18482;255113;2611
18483;257600;2487
18484;260507;2907
18485;263503;2996
18486;266498;2995
18487;269115;2617
18488;271881;2766
18489;274525;2644
18490;276549;2024
18491;279144;2595
18492;282344;3200
18493;285091;2747
18494;287959;2868
18495;290360;2401
18496;292625;2265
18497;294598;1973
18498;297083;2485
18499;299628;2545
18500;302147;2519
18501;304583;2436
18502;306794;2211
18503;308925;2131
18504;310822;1897
18505;312996;2174
18506;314946;1950
18507;317528;2582
18508;319686;2158
