condition;measurement;ncases
18283;0;0
18284;0;0
18285;0;0
18286;0;0
18287;0;0
18288;0;0
18289;0;0
18290;0;0
18291;0;0
18292;0;0
18293;0;0
18294;0;0
18295;0;0
18296;0;0
18297;0;0
18298;0;0
18299;0;0
18300;0;0
18301;0;0
18302;0;0
18303;0;0
18304;0;0
18305;0;0
18306;0;0
18307;0;0
18308;0;0
18309;0;0
18310;0;0
18311;0;0
18312;0;0
18313;0;0
18314;0;0
18315;0;0
18316;0;0
18317;0;0
18318;0;0
18319;0;0
18320;0;0
18321;0;0
18322;0;0
18323;0;0
18324;0;0
18325;0;0
18326;0;0
18327;0;0
18328;0;0
18329;0;0
18330;0;0
18331;0;0
18332;0;0
18333;0;0
18334;0;0
18335;0;0
18336;0;0
18337;0;0
18338;2;2
18339;2;0
18340;5;3
18341;5;0
18342;6;1
18343;14;8
18344;17;3
18345;18;1
18346;18;0
18347;18;0
18348;24;6
18349;26;2
18350;33;7
18351;33;0
18352;34;1
18353;34;0
18354;46;12
18355;51;5
18356;52;1
18357;56;4
18358;60;4
18359;63;3
18360;63;0
18361;66;3
18362;67;1
18363;68;1
18364;71;3
18365;72;1
18366;72;0
18367;73;1
18368;75;2
18369;75;0
18370;75;0
18371;75;0
18372;75;0
18373;75;0
18374;75;0
18375;76;1
18376;77;1
18377;79;2
18378;79;0
18379;80;1
18380;80;0
18381;80;0
18382;81;1
18383;81;0
18384;81;0
18385;82;1
18386;82;0
18387;82;0
18388;82;0
18389;82;0
18390;83;1
18391;84;1
18392;84;0
18393;84;0
18394;85;1
18395;85;0
18396;85;0
18397;85;0
18398;86;1
18399;88;2
18400;88;0
18401;90;2
18402;90;0
18403;90;0
18404;90;0
18405;92;2
18406;92;0
18407;92;0
18408;92;0
18409;92;0
18410;92;0
18411;92;0
18412;92;0
18413;92;0
18414;92;0
18415;92;0
18416;92;0
18417;92;0
18418;92;0
18419;92;0
18420;92;0
18421;92;0
18422;92;0
18423;96;4
18424;96;0
18425;96;0
18426;96;0
18427;96;0
18428;97;1
18429;97;0
18430;97;0
18431;97;0
18432;97;0
18433;97;0
18434;97;0
18435;97;0
18436;97;0
18437;97;0
18438;97;0
18439;97;0
18440;97;0
18441;97;0
18442;97;0
18443;97;0
18444;97;0
18445;97;0
18446;97;0
18447;97;0
18448;98;1
18449;98;0
18450;98;0
18451;98;0
18452;98;0
18453;98;0
18454;103;5
18455;103;0
18456;103;0
18457;103;0
18458;104;1
18459;104;0
18460;104;0
18461;104;0
18462;105;1
18463;106;1
18464;106;0
18465;106;0
18466;106;0
18467;108;2
18468;108;0
18469;110;2
18470;110;0
18471;110;0
18472;110;0
18473;110;0
18474;110;0
18475;122;12
18476;132;10
18477;132;0
18478;132;0
18479;133;1
18480;133;0
18481;138;5
18482;138;0
18483;142;4
18484;142;0
18485;143;1
18486;144;1
18487;144;0
18488;148;4
18489;150;2
18490;151;1
18491;152;1
18492;153;1
18493;155;2
18494;156;1
18495;157;1
18496;158;1
18497;161;3
18498;161;0
18499;164;3
18500;165;1
18501;165;0
18502;166;1
18503;170;4
18504;173;3
18505;174;1
18506;176;2
18507;176;0
18508;177;1
18509;178;1
18510;178;0
18511;178;0
18512;179;1
18513;180;1
18514;180;0
18515;180;0
18516;180;0
18517;180;0
18518;181;1
18519;183;2
18520;184;1
18521;185;1
18522;185;0
18523;185;0
18524;185;0
18525;189;4
18526;189;0
18527;189;0
18528;189;0
18529;189;0
18530;190;1
18531;190;0
18532;190;0
18533;190;0
18534;190;0
18535;190;0
18536;193;3
18537;193;0
18538;196;3
18539;199;3
18540;200;1
18541;200;0
18542;203;3
18543;203;0
18544;204;1
