condition;measurement;ncases
18283;0;0
18284;0;0
18285;0;0
18286;0;0
18287;0;0
18288;0;0
18289;0;0
18290;0;0
18291;0;0
18292;0;0
18293;0;0
18294;0;0
18295;0;0
18296;1;1
18297;1;0
18298;1;0
18299;1;0
18300;1;0
18301;1;0
18302;1;0
18303;1;0
18304;1;0
18305;1;0
18306;1;0
18307;1;0
18308;1;0
18309;1;0
18310;1;0
18311;1;0
18312;1;0
18313;1;0
18314;1;0
18315;1;0
18316;1;0
18317;1;0
18318;1;0
18319;1;0
18320;1;0
18321;1;0
18322;2;1
18323;8;6
18324;13;5
18325;23;10
18326;50;27
18327;109;59
18328;169;60
18329;200;31
18330;239;39
18331;267;28
18332;314;47
18333;314;0
18334;559;245
18335;689;130
18336;886;197
18337;1058;172
18338;1243;185
18339;1486;243
18340;1795;309
18341;2257;462
18342;2815;558
18343;3401;586
18344;3743;342
18345;4269;526
18346;4937;668
18347;6235;1298
18348;7284;1049
18349;9134;1850
18350;10836;1702
18351;11899;1063
18352;12775;876
18353;13964;1189
18354;15348;1384
18355;16770;1422
18356;18431;1661
18357;19691;1260
18358;20814;1123
18359;22194;1380
18360;23403;1209
18361;24983;1580
18362;26667;1684
18363;28018;1351
18364;29647;1629
18365;30589;942
18366;31119;530
18367;33573;2454
18368;34809;1236
18369;36138;1329
18370;37183;1045
18371;38496;1313
18372;39983;1487
18373;40956;973
18374;41889;933
18375;42797;908
18376;44293;1496
18377;45325;1032
18378;46134;809
18379;46687;553
18380;47334;647
18381;47859;525
18382;48519;660
18383;49032;513
18384;49517;485
18385;49906;389
18386;50267;361
18387;50509;242
18388;50781;272
18389;51420;639
18390;52011;591
18391;52596;585
18392;53081;485
18393;53449;368
18394;53779;330
18395;53981;202
18396;54288;307
18397;54644;356
18398;54989;345
18399;55280;291
18400;55559;279
18401;55791;232
18402;55983;192
18403;56235;252
18404;56511;276
18405;56810;299
18406;57092;282
18407;57342;250
18408;57455;113
18409;57592;137
18410;57849;257
18411;58061;212
18412;58186;125
18413;58381;195
18414;58517;136
18415;58615;98
18416;58685;70
18417;58767;82
18418;58907;140
18419;59072;165
18420;59226;154
18421;59348;122
18422;59437;89
18423;59569;132
18424;59711;142
18425;59819;108
18426;59918;99
18427;60029;111
18428;60100;71
18429;60155;55
18430;60244;89
18431;60348;104
18432;60476;128
18433;60550;74
18434;60550;0
18435;60550;0
18436;60810;260
18437;60898;88
18438;61007;109
18439;61106;99
18440;61209;103
18441;61295;86
18442;61361;66
18443;61427;66
18444;61509;82
18445;61598;89
18446;61727;129
18447;61838;111
18448;62016;178
18449;62058;42
18450;62058;0
18451;62123;65
18452;62210;87
18453;62357;147
18454;62469;112
18455;62707;238
18456;62707;0
18457;62781;74
18458;62872;91
18459;63238;366
18460;63499;261
18461;63706;207
18462;63706;0
18463;64094;388
18464;64258;164
18465;64627;369
18466;64847;220
18467;65199;352
18468;65727;528
18469;66026;299
18470;66428;402
18471;66662;234
18472;67335;673
18473;68006;671
18474;68751;745
18475;69402;651
18476;69849;447
18477;70314;465
18478;70648;334
18479;71158;510
18480;72016;858
18481;72784;768
18482;73401;617
18483;74152;751
18484;74620;468
18485;75008;388
18486;75647;639
18487;76191;544
18488;77113;922
18489;77869;756
18490;78323;454
18491;78534;211
18492;78897;363
18493;79479;582
18494;80178;699
18495;80894;716
18496;81468;574
18497;81936;468
18498;82092;156
18499;82447;355
18500;83030;583
18501;83500;470
18502;83952;452
18503;84599;647
18504;85042;443
18505;85236;194
18506;85487;251
18507;85911;424
18508;86544;633
18509;87174;630
18510;87825;651
18511;88367;542
18512;88769;402
18513;89141;372
18514;89691;550
18515;90568;877
