condition;measurement;ncases
18283;0;0
18284;0;0
18285;0;0
18286;0;0
18287;0;0
18288;0;0
18289;0;0
18290;0;0
18291;0;0
18292;0;0
18293;0;0
18294;0;0
18295;0;0
18296;0;0
18297;0;0
18298;0;0
18299;0;0
18300;0;0
18301;0;0
18302;0;0
18303;0;0
18304;0;0
18305;0;0
18306;0;0
18307;0;0
18308;0;0
18309;0;0
18310;0;0
18311;0;0
18312;0;0
18313;0;0
18314;0;0
18315;0;0
18316;0;0
18317;0;0
18318;0;0
18319;0;0
18320;0;0
18321;0;0
18322;0;0
18323;0;0
18324;0;0
18325;0;0
18326;0;0
18327;0;0
18328;0;0
18329;0;0
18330;0;0
18331;0;0
18332;0;0
18333;0;0
18334;0;0
18335;0;0
18336;0;0
18337;1;1
18338;1;0
18339;2;1
18340;2;0
18341;2;0
18342;2;0
18343;2;0
18344;5;3
18345;6;1
18346;6;0
18347;6;0
18348;6;0
18349;6;0
18350;6;0
18351;6;0
18352;9;3
18353;13;4
18354;13;0
18355;16;3
18356;16;0
18357;22;6
18358;26;4
18359;26;0
18360;26;0
18361;26;0
18362;35;9
18363;35;0
18364;35;0
18365;35;0
18366;35;0
18367;35;0
18368;35;0
18369;35;0
18370;35;0
18371;35;0
18372;54;19
18373;54;0
18374;54;0
18375;54;0
18376;54;0
18377;54;0
18378;64;10
18379;64;0
18380;64;0
18381;64;0
18382;64;0
18383;90;26
18384;90;0
18385;90;0
18386;96;6
18387;96;0
18388;96;0
18389;140;44
18390;242;102
18391;284;42
18392;319;35
18393;319;0
18394;327;8
18395;327;0
18396;339;12
18397;339;0
18398;339;0
18399;339;0
18400;339;0
18401;130;-209
18402;130;0
18403;135;5
18404;135;0
18405;135;0
18406;191;56
18407;191;0
18408;208;17
18409;210;2
18410;210;0
18411;224;14
18412;224;0
18413;232;8
18414;243;11
18415;244;1
18416;244;0
18417;261;17
18418;261;0
18419;261;0
18420;261;0
18421;288;27
18422;305;17
18423;305;0
18424;305;0
18425;388;83
18426;412;24
18427;442;30
18428;483;41
18429;532;49
18430;572;40
18431;597;25
18432;650;53
18433;650;0
18434;765;115
18435;807;42
18436;850;43
18437;902;52
18438;1017;115
18439;1053;36
18440;1124;71
18441;1149;25
18442;1187;38
18443;1199;12
18444;1199;0
18445;1199;0
18446;1199;0
18447;1199;0
18448;1199;0
18449;1199;0
18450;1199;0
18451;1199;0
18452;1285;86
18453;1285;0
18454;1378;93
18455;1378;0
18456;1378;0
18457;1378;0
18458;1378;0
18459;1463;85
18460;1602;139
18461;1602;0
18462;1602;0
18463;1602;0
18464;1602;0
18465;1690;88
18466;1694;4
18467;1694;0
18468;1694;0
18469;1770;76
18470;1770;0
18471;1770;0
18472;1805;35
18473;1805;0
18474;1805;0
18475;1805;0
18476;1805;0
18477;1805;0
18478;1914;109
18479;1936;22
18480;1936;0
18481;1936;0
18482;1936;0
18483;1936;0
18484;1936;0
18485;2001;65
18486;2014;13
18487;2014;0
18488;2014;0
18489;2063;49
18490;2063;0
18491;2063;0
18492;2063;0
18493;2095;32
18494;2095;0
18495;2095;0
18496;2115;20
18497;2115;0
18498;2115;0
18499;2115;0
18500;2145;30
18501;2145;0
18502;2145;0
18503;2145;0
18504;2145;0
18505;2145;0
18506;2145;0
18507;2194;49
18508;2194;0
18509;2194;0
18510;2213;19
18511;2213;0
18512;2213;0
18513;2213;0
18514;2242;29
18515;2242;0
18516;2242;0
18517;2242;0
18518;2267;25
18519;2267;0
18520;2267;0
18521;2280;13
18522;2280;0
18523;2280;0
18524;2280;0
18525;2280;0
18526;2294;14
18527;2294;0
18528;2325;31
18529;2325;0
18530;2325;0
18531;2325;0
