condition;measurement;ncases
18283;0;0
18284;0;0
18285;0;0
18286;0;0
18287;0;0
18288;0;0
18289;0;0
18290;0;0
18291;0;0
18292;0;0
18293;0;0
18294;0;0
18295;0;0
18296;0;0
18297;0;0
18298;0;0
18299;0;0
18300;0;0
18301;0;0
18302;0;0
18303;0;0
18304;0;0
18305;0;0
18306;0;0
18307;0;0
18308;0;0
18309;0;0
18310;0;0
18311;0;0
18312;0;0
18313;0;0
18314;0;0
18315;0;0
18316;0;0
18317;0;0
18318;0;0
18319;0;0
18320;0;0
18321;0;0
18322;0;0
18323;0;0
18324;0;0
18325;0;0
18326;0;0
18327;0;0
18328;0;0
18329;0;0
18330;0;0
18331;0;0
18332;2;2
18333;2;0
18334;3;1
18335;10;7
18336;10;0
18337;11;1
18338;11;0
18339;12;1
18340;12;0
18341;15;3
18342;19;4
18343;24;5
18344;27;3
18345;29;2
18346;32;3
18347;43;11
18348;61;18
18349;74;13
18350;81;7
18351;97;16
18352;107;10
18353;115;8
18354;123;8
18355;132;9
18356;139;7
18357;157;18
18358;183;26
18359;194;11
18360;210;16
18361;264;54
18362;268;4
18363;275;7
18364;300;25
18365;330;30
18366;354;24
18367;397;43
18368;441;44
18369;465;24
18370;493;28
18371;520;27
18372;564;44
18373;598;34
18374;609;11
18375;703;94
18376;807;104
18377;866;59
18378;950;84
18379;1014;64
18380;1053;39
18381;1110;57
18382;1167;57
18383;1229;62
18384;1470;241
18385;1594;124
18386;1681;87
18387;1802;121
18388;1886;84
18389;2081;195
18390;2266;185
18391;2437;171
18392;2556;119
18393;2831;275
18394;2964;133
18395;3148;184
18396;3372;224
18397;3577;205
18398;3826;249
18399;4088;262
18400;4263;175
18401;4481;218
18402;4919;438
18403;5187;268
18404;5579;392
18405;5915;336
18406;6263;348
18407;6660;397
18408;7136;476
18409;7768;632
18410;8387;619
18411;8731;344
18412;9592;861
18413;9982;390
18414;10531;549
18415;10991;460
18416;11638;647
18417;12245;607
18418;12728;483
18419;13358;630
18420;13643;285
18421;13949;306
18422;14644;695
18423;15281;637
18424;16165;884
18425;16929;764
18426;17842;913
18427;18459;617
18428;19073;614
18429;19883;810
18430;20685;802
18431;21499;814
18432;22476;977
18433;23512;1036
18434;24388;876
18435;25493;1105
18436;26389;896
18437;27487;1098
18438;28503;1016
18439;29423;920
18440;30676;1253
18441;31524;848
18442;32125;601
18443;33219;1094
18444;34227;1008
18445;35528;1301
18446;36818;1290
18447;38071;1253
18448;39297;1226
18449;40509;1212
18450;41545;1036
18451;42984;1439
18452;44113;1129
18453;45565;1452
18454;47200;1635
18455;48187;987
18456;49250;1063
18457;50867;1617
18458;52218;1351
18459;54156;1938
18460;56102;1946
18461;58138;2036
18462;59582;1444
18463;60991;1409
18464;62357;1366
18465;64135;1778
18466;65252;1117
18467;66456;1204
18468;68281;1825
18469;69429;1148
18470;71181;1752
18471;72327;1146
18472;73534;1207
18473;75234;1700
18474;76789;1555
18475;78793;2004
18476;80153;1360
18477;81846;1693
18478;83361;1515
18479;85141;1780
18480;86423;1282
18481;87891;1468
18482;89055;1164
18483;89999;944
18484;91635;1636
18485;93328;1693
18486;95071;1743
18487;96459;1388
18488;97950;1491
18489;99146;1196
18490;100344;1198
18491;101223;879
18492;103019;1796
18493;105050;2031
18494;106065;1015
18495;107435;1370
18496;108427;992
18497;109149;722
18498;110148;999
18499;110999;851
18500;112094;1095
18501;113129;1035
18502;114409;1280
18503;115354;945
18504;115968;614
18505;116598;630
18506;117267;669
18507;117928;661
18508;118781;853
18509;119580;799
18510;120241;661
18511;120769;528
18512;121604;835
18513;122308;704
18514;123345;1037
18515;124205;860
18516;125172;967
