condition;measurement;ncases
18283;0;0
18284;0;0
18285;0;0
18286;0;0
18287;0;0
18288;0;0
18289;0;0
18290;0;0
18291;0;0
18292;0;0
18293;0;0
18294;0;0
18295;0;0
18296;0;0
18297;0;0
18298;0;0
18299;0;0
18300;0;0
18301;0;0
18302;0;0
18303;0;0
18304;0;0
18305;0;0
18306;0;0
18307;0;0
18308;0;0
18309;0;0
18310;0;0
18311;0;0
18312;0;0
18313;0;0
18314;0;0
18315;0;0
18316;0;0
18317;0;0
18318;0;0
18319;0;0
18320;0;0
18321;0;0
18322;0;0
18323;0;0
18324;0;0
18325;0;0
18326;0;0
18327;0;0
18328;0;0
18329;0;0
18330;0;0
18331;0;0
18332;0;0
18333;0;0
18334;0;0
18335;0;0
18336;0;0
18337;0;0
18338;0;0
18339;0;0
18340;0;0
18341;0;0
18342;0;0
18343;0;0
18344;0;0
18345;0;0
18346;0;0
18347;0;0
18348;0;0
18349;0;0
18350;0;0
18351;3;3
18352;4;1
18353;4;0
18354;4;0
18355;4;0
18356;4;0
18357;6;2
18358;6;0
18359;6;0
18360;6;0
18361;13;7
18362;13;0
18363;13;0
18364;13;0
18365;13;0
18366;13;0
18367;13;0
18368;15;2
18369;15;0
18370;15;0
18371;20;5
18372;20;0
18373;20;0
18374;22;2
18375;22;0
18376;22;0
18377;22;0
18378;22;0
18379;22;0
18380;23;1
18381;23;0
18382;23;0
18383;23;0
18384;23;0
18385;23;0
18386;23;0
18387;23;0
18388;23;0
18389;23;0
18390;23;0
18391;23;0
18392;23;0
18393;24;1
18394;24;0
18395;24;0
18396;24;0
18397;24;0
18398;24;0
18399;25;1
18400;25;0
18401;25;0
18402;25;0
18403;29;4
18404;30;1
18405;30;0
18406;35;5
18407;35;0
18408;35;0
18409;35;0
18410;35;0
18411;35;0
18412;35;0
18413;35;0
18414;38;3
18415;40;2
18416;40;0
18417;40;0
18418;40;0
18419;40;0
18420;40;0
18421;42;2
18422;42;0
18423;48;6
18424;48;0
18425;48;0
18426;60;12
18427;60;0
18428;60;0
18429;60;0
18430;79;19
18431;79;0
18432;89;10
18433;89;0
18434;89;0
18435;89;0
18436;89;0
18437;92;3
18438;92;0
18439;92;0
18440;92;0
18441;92;0
18442;175;83
18443;227;52
18444;227;0
18445;227;0
18446;277;50
18447;277;0
18448;277;0
18449;314;37
18450;314;0
18451;314;0
18452;314;0
18453;314;0
18454;314;0
18455;399;85
18456;399;0
18457;399;0
18458;399;0
18459;522;123
18460;522;0
18461;522;0
18462;522;0
18463;522;0
18464;522;0
18465;522;0
18466;592;70
18467;686;94
18468;686;0
18469;686;0
18470;739;53
18471;739;0
18472;804;65
18473;804;0
18474;804;0
18475;804;0
18476;804;0
18477;804;0
18478;804;0
18479;804;0
18480;804;0
18481;804;0
18482;804;0
18483;804;0
18484;1066;262
18485;1066;0
18486;1066;0
18487;1214;148
18488;1214;0
18489;1214;0
18490;1214;0
18491;1308;94
18492;1308;0
18493;1308;0
18494;1308;0
18495;1308;0
18496;1308;0
18497;1308;0
18498;1562;254
18499;1562;0
18500;1562;0
18501;1562;0
18502;1562;0
18503;1562;0
18504;1633;71
18505;1633;0
18506;1724;91
18507;1724;0
18508;1724;0
18509;2002;278
18510;2002;0
18511;2002;0
18512;2126;124
18513;2126;0
18514;2126;0
18515;2252;126
18516;2252;0
18517;2252;0
18518;2252;0
18519;2463;211
18520;2463;0
18521;2463;0
18522;2567;104
18523;2567;0
18524;2567;0
18525;2567;0
18526;2567;0
18527;2567;0
18528;2567;0
18529;2921;354
18530;2921;0
18531;2921;0
18532;2921;0
18533;3172;251
18534;3172;0
18535;3172;0
18536;3172;0
