condition;measurement;ncases
18283;0;0
18284;0;0
18285;0;0
18286;0;0
18287;0;0
18288;0;0
18289;0;0
18290;0;0
18291;0;0
18292;0;0
18293;0;0
18294;0;0
18295;0;0
18296;0;0
18297;0;0
18298;0;0
18299;0;0
18300;0;0
18301;0;0
18302;0;0
18303;0;0
18304;0;0
18305;0;0
18306;0;0
18307;0;0
18308;0;0
18309;0;0
18310;0;0
18311;0;0
18312;0;0
18313;0;0
18314;0;0
18315;0;0
18316;0;0
18317;0;0
18318;1;1
18319;1;0
18320;1;0
18321;2;1
18322;2;0
18323;2;0
18324;2;0
18325;4;2
18326;4;0
18327;13;9
18328;13;0
18329;20;7
18330;25;5
18331;31;6
18332;38;7
18333;52;14
18334;151;99
18335;151;0
18336;162;11
18337;200;38
18338;321;121
18339;372;51
18340;621;249
18341;793;172
18342;1021;228
18343;1546;525
18344;1924;378
18345;2247;323
18346;2554;307
18347;2985;431
18348;3417;432
18349;3904;487
18350;4256;352
18351;4579;323
18352;5717;1138
18353;6836;1119
18354;8044;1208
18355;9056;1012
18356;10360;1304
18357;11130;770
18358;12161;1031
18359;14034;1873
18360;16170;2136
18361;18092;1922
18362;19638;1546
18363;20727;1089
18364;22192;1465
18365;23430;1238
18366;25262;1832
18367;28320;3058
18368;30425;2105
18369;33682;3257
18370;36658;2976
18371;38654;1996
18372;40743;2089
18373;43079;2336
18374;45757;2678
18375;50036;4279
18376;54043;4007
18377;59324;5281
18378;63100;3776
18379;67446;4346
18380;73235;5789
18381;79685;6450
18382;87187;7502
18383;92202;5015
18384;97100;4898
18385;101826;4726
18386;108620;6794
18387;115455;6835
18388;126611;11156
18389;135773;9162
18390;146894;11121
18391;156061;9167
18392;162699;6638
18393;169594;6895
18394;178214;8620
18395;190137;11923
18396;203165;13028
18397;220291;17126
18398;233511;13220
18399;241080;7569
18400;255368;14288
18401;271885;16517
18402;291579;19694
18403;310087;18508
18404;330890;20803
18405;347398;16508
18406;363211;15813
18407;374898;11687
18408;391222;16324
18409;411821;20599
18410;438238;26417
18411;465166;26928
18412;498440;33274
18413;514849;16409
18414;526447;11598
18415;555383;28936
18416;584016;28633
18417;614941;30925
18418;645771;30830
18419;672846;27075
18420;691758;18912
18421;707412;15654
18422;739503;32091
18423;772416;32913
18424;802828;30412
18425;828810;25982
18426;850514;21704
18427;867624;17110
18428;888271;20647
18429;923189;34918
18430;955377;32188
18431;978142;22765
18432;1032913;54771
18433;1067579;34666
18434;1083341;15762
18435;1106470;23129
18436;1145906;39436
18437;1188631;42725
18438;1228114;39483
18439;1274974;46860
18440;1313667;38693
18441;1344143;30476
18442;1368195;24052
18443;1402041;33846
18444;1448753;46712
18445;1496858;48105
18446;1539081;42223
18447;1577004;37923
18448;1603055;26051
18449;1623284;20229
18450;1668589;45305
18451;1713160;44571
18452;1755779;42619
18453;1800827;45048
18454;1839850;39023
18455;1864681;24831
18456;1884967;20286
18457;1926824;41857
18458;1966748;39924
18459;2012151;45403
18460;2046328;34177
18461;2074860;28532
18462;2098389;23529
18463;2118646;20257
18464;2159654;41008
18465;2227514;67860
18466;2287475;59961
18467;2343366;55891
18468;2394513;51147
18469;2419091;24578
18470;2442375;23284
18471;2483191;40816
18472;2552265;69074
18473;2610102;57837
18474;2662485;52383
18475;2707877;45392
18476;2733677;25800
18477;2750318;16641
18478;2801921;51603
18479;2859073;57152
18480;2912212;53139
18481;2962442;50230
18482;3012412;49970
18483;3035422;23010
18484;3057470;22048
18485;3109630;52160
18486;3164785;55155
18487;3224876;60091
18488;3275520;50644
18489;3317096;41576
18490;3340197;23101
18491;3359570;19373
18492;3407354;47784
18493;3456652;49298
