condition;measurement;ncases
18283;0;0
18284;0;0
18285;0;0
18286;0;0
18287;0;0
18288;0;0
18289;0;0
18290;0;0
18291;0;0
18292;0;0
18293;0;0
18294;0;0
18295;0;0
18296;0;0
18297;0;0
18298;0;0
18299;0;0
18300;0;0
18301;0;0
18302;0;0
18303;0;0
18304;0;0
18305;0;0
18306;0;0
18307;0;0
18308;0;0
18309;0;0
18310;0;0
18311;0;0
18312;0;0
18313;0;0
18314;0;0
18315;0;0
18316;0;0
18317;0;0
18318;0;0
18319;0;0
18320;0;0
18321;0;0
18322;0;0
18323;0;0
18324;0;0
18325;0;0
18326;0;0
18327;0;0
18328;0;0
18329;0;0
18330;1;1
18331;1;0
18332;11;10
18333;11;0
18334;37;26
18335;40;3
18336;50;10
18337;54;4
18338;56;2
18339;68;12
18340;75;7
18341;78;3
18342;83;5
18343;88;5
18344;91;3
18345;104;13
18346;109;5
18347;114;5
18348;115;1
18349;120;5
18350;126;6
18351;127;1
18352;129;2
18353;131;2
18354;133;2
18355;134;1
18356;135;1
18357;135;0
18358;135;0
18359;135;0
18360;135;0
18361;135;0
18362;136;1
18363;136;0
18364;136;0
18365;136;0
18366;136;0
18367;136;0
18368;136;0
18369;136;0
18370;137;1
18371;138;1
18372;138;0
18373;138;0
18374;138;0
18375;138;0
18376;138;0
18377;138;0
18378;138;0
18379;138;0
18380;138;0
18381;138;0
18382;138;0
18383;138;0
18384;138;0
18385;138;0
18386;138;0
18387;138;0
18388;139;1
18389;141;2
18390;141;0
18391;141;0
18392;141;0
18393;141;0
18394;141;0
18395;141;0
18396;141;0
18397;141;0
18398;141;0
18399;141;0
18400;141;0
18401;141;0
18402;141;0
18403;141;0
18404;141;0
18405;141;0
18406;141;0
18407;141;0
18408;141;0
18409;141;0
18410;141;0
18411;141;0
18412;141;0
18413;141;0
18414;141;0
18415;141;0
18416;141;0
18417;141;0
18418;141;0
18419;141;0
18420;141;0
18421;141;0
18422;141;0
18423;141;0
18424;141;0
18425;141;0
18426;141;0
18427;141;0
18428;141;0
18429;141;0
18430;141;0
18431;141;0
18432;141;0
18433;141;0
18434;141;0
18435;141;0
18436;141;0
18437;141;0
18438;141;0
18439;141;0
18440;141;0
18441;141;0
18442;141;0
18443;141;0
18444;141;0
18445;141;0
18446;141;0
18447;141;0
18448;141;0
18449;141;0
18450;141;0
18451;141;0
18452;141;0
18453;141;0
18454;141;0
18455;141;0
18456;141;0
18457;141;0
18458;141;0
18459;141;0
18460;141;0
18461;141;0
18462;141;0
18463;141;0
18464;141;0
18465;141;0
18466;141;0
18467;141;0
18468;141;0
18469;141;0
18470;141;0
18471;141;0
18472;141;0
18473;141;0
18474;141;0
18475;141;0
18476;141;0
18477;141;0
18478;141;0
18479;141;0
18480;141;0
18481;142;1
18482;142;0
18483;142;0
18484;142;0
18485;142;0
18486;142;0
18487;142;0
18488;142;0
18489;142;0
18490;142;0
18491;142;0
18492;142;0
18493;143;1
18494;143;0
18495;143;0
18496;143;0
18497;143;0
18498;143;0
18499;144;1
18500;144;0
18501;144;0
18502;144;0
18503;144;0
18504;144;0
18505;144;0
18506;144;0
18507;144;0
18508;145;1
18509;145;0
18510;145;0
18511;145;0
18512;145;0
18513;145;0
18514;145;0
18515;145;0
18516;145;0
18517;145;0
18518;145;0
18519;145;0
18520;145;0
18521;145;0
18522;145;0
18523;145;0
18524;145;0
18525;145;0
18526;145;0
18527;145;0
18528;145;0
18529;146;1
18530;146;0
18531;146;0
18532;146;0
18533;146;0
18534;146;0
18535;146;0
18536;146;0
18537;146;0
18538;146;0
18539;146;0
18540;146;0
18541;146;0
18542;146;0
18543;146;0
18544;146;0
