condition;measurement;ncases
18283;0;0
18284;0;0
18285;0;0
18286;0;0
18287;0;0
18288;0;0
18289;0;0
18290;0;0
18291;0;0
18292;0;0
18293;0;0
18294;0;0
18295;0;0
18296;0;0
18297;0;0
18298;0;0
18299;0;0
18300;0;0
18301;0;0
18302;0;0
18303;0;0
18304;0;0
18305;0;0
18306;0;0
18307;0;0
18308;0;0
18309;0;0
18310;0;0
18311;0;0
18312;0;0
18313;0;0
18314;0;0
18315;0;0
18316;0;0
18317;0;0
18318;0;0
18319;0;0
18320;0;0
18321;0;0
18322;0;0
18323;0;0
18324;0;0
18325;0;0
18326;0;0
18327;0;0
18328;0;0
18329;4;4
18330;4;0
18331;4;0
18332;7;3
18333;7;0
18334;23;16
18335;41;18
18336;51;10
18337;52;1
18338;67;15
18339;92;25
18340;94;2
18341;127;33
18342;163;36
18343;187;24
18344;201;14
18345;218;17
18346;242;24
18347;264;22
18348;293;29
18349;331;38
18350;346;15
18351;359;13
18352;399;40
18353;422;23
18354;457;35
18355;485;28
18356;503;18
18357;531;28
18358;549;18
18359;577;28
18360;593;16
18361;618;25
18362;635;17
18363;661;26
18364;675;14
18365;685;10
18366;713;28
18367;747;34
18368;800;53
18369;846;46
18370;878;32
18371;894;16
18372;929;35
18373;975;46
18374;1024;49
18375;1097;73
18376;1234;137
18377;1247;13
18378;1300;53
18379;1363;63
18380;1399;36
18381;1447;48
18382;1506;59
18383;1555;49
18384;1594;39
18385;1618;24
18386;1652;34
18387;1704;52
18388;1778;74
18389;1829;51
18390;1872;43
18391;1921;49
18392;1965;44
18393;1990;25
18394;2023;33
18395;2069;46
18396;2100;31
18397;2138;38
18398;2175;37
18399;2211;36
18400;2235;24
18401;2259;24
18402;2292;33
18403;2331;39
18404;2372;41
18405;2408;36
18406;2427;19
18407;2433;6
18408;2443;10
18409;2460;17
18410;2477;17
18411;2485;8
18412;2499;14
18413;2513;14
18414;2519;6
18415;2538;19
18416;2560;22
18417;2585;25
18418;2627;42
18419;2711;84
18420;2727;16
18421;2810;83
18422;2889;79
18423;2993;104
18424;3086;93
18425;3191;105
18426;3266;75
18427;3290;24
18428;3341;51
18429;3453;112
18430;3542;89
18431;3674;132
18432;3755;81
18433;3872;117
18434;3905;33
18435;3984;79
18436;4114;130
18437;4242;128
18438;4408;166
18439;4513;105
18440;4625;112
18441;4691;66
18442;4831;140
18443;4989;158
18444;5154;165
18445;5315;161
18446;5497;182
18447;5677;180
18448;5740;63
18449;5914;174
18450;6102;188
18451;6342;240
18452;6672;330
18453;6964;292
18454;7175;211
18455;7252;77
18456;7411;159
18457;7645;234
18458;7877;232
18459;8144;267
18460;8442;298
18461;8638;196
18462;8733;95
18463;8929;196
18464;9254;325
18465;9584;330
18466;9853;269
18467;10123;270
18468;10312;189
18469;10427;115
18470;10621;194
18471;10871;250
18472;11155;284
18473;11420;265
18474;11690;270
18475;11836;146
18476;11955;119
18477;12159;204
18478;12414;255
18479;12717;303
18480;13014;297
18481;13209;195
18482;13343;134
18483;13396;53
18484;13512;116
18485;13722;210
18486;13893;171
18487;13893;0
18488;14243;350
18489;14333;90
18490;14365;32
18491;14500;135
18492;14669;169
18493;14820;151
18494;14962;142
18495;15131;169
18496;15131;0
18497;15287;156
18498;15386;99
18499;15589;203
18500;15751;162
18501;15908;157
18502;16065;157
18503;16164;99
18504;16190;26
18505;16266;76
18506;16454;188
18507;16617;163
18508;16775;158
18509;16954;179
18510;17050;96
18511;17089;39
18512;17146;57
18513;17313;167
18514;17435;122
18515;17598;163
18516;17799;201
18517;17891;92
18518;17918;27
18519;18061;143
18520;18216;155
18521;18390;174
18522;18544;154
18523;18733;189
