condition;measurement;ncases
18283;0;0
18284;0;0
18285;0;0
18286;0;0
18287;0;0
18288;0;0
18289;0;0
18290;0;0
18291;0;0
18292;0;0
18293;0;0
18294;0;0
18295;0;0
18296;0;0
18297;0;0
18298;0;0
18299;0;0
18300;0;0
18301;0;0
18302;0;0
18303;0;0
18304;0;0
18305;0;0
18306;0;0
18307;0;0
18308;0;0
18309;0;0
18310;0;0
18311;0;0
18312;0;0
18313;0;0
18314;0;0
18315;0;0
18316;0;0
18317;0;0
18318;0;0
18319;0;0
18320;0;0
18321;0;0
18322;0;0
18323;0;0
18324;0;0
18325;0;0
18326;0;0
18327;0;0
18328;0;0
18329;0;0
18330;0;0
18331;1;1
18332;2;1
18333;2;0
18334;2;0
18335;2;0
18336;3;1
18337;15;12
18338;15;0
18339;20;5
18340;33;13
18341;40;7
18342;64;24
18343;75;11
18344;99;24
18345;114;15
18346;146;32
18347;152;6
18348;180;28
18349;207;27
18350;222;15
18351;246;24
18352;261;15
18353;282;21
18354;288;6
18355;302;14
18356;318;16
18357;345;27
18358;364;19
18359;384;20
18360;414;30
18361;443;29
18362;443;0
18363;484;41
18364;497;13
18365;497;0
18366;528;31
18367;542;14
18368;546;4
18369;557;11
18370;565;8
18371;576;11
18372;581;5
18373;600;19
18374;609;9
18375;616;7
18376;629;13
18377;629;0
18378;632;3
18379;635;3
18380;638;3
18381;641;3
18382;645;4
18383;649;4
18384;652;3
18385;662;10
18386;672;10
18387;688;16
18388;729;41
18389;736;7
18390;744;8
18391;748;4
18392;751;3
18393;760;9
18394;766;6
18395;773;7
18396;773;0
18397;780;7
18398;782;2
18399;796;14
18400;796;0
18401;796;0
18402;809;13
18403;812;3
18404;814;2
18405;814;0
18406;814;0
18407;832;18
18408;832;0
18409;845;13
18410;847;2
18411;847;0
18412;847;0
18413;847;0
18414;847;0
18415;881;34
18416;884;3
18417;885;1
18418;888;3
18419;888;0
18420;889;1
18421;890;1
18422;891;1
18423;891;0
18424;892;1
18425;892;0
18426;892;0
18427;894;2
18428;894;0
18429;895;1
18430;899;4
18431;899;0
18432;900;1
18433;901;1
18434;903;2
18435;903;0
18436;907;4
18437;919;12
18438;934;15
18439;941;7
18440;941;0
18441;959;18
18442;959;0
18443;962;3
18444;962;0
18445;967;5
18446;980;13
18447;987;7
18448;987;0
18449;1000;13
18450;1003;3
18451;1003;0
18452;1005;2
18453;1020;15
18454;1033;13
18455;1036;3
18456;1036;0
18457;1037;1
18458;1038;1
18459;1038;0
18460;1045;7
18461;1047;2
18462;1052;5
18463;1065;13
18464;1065;0
18465;1066;1
18466;1070;4
18467;1075;5
18468;1086;11
18469;1086;0
18470;1100;14
18471;1105;5
18472;1105;0
18473;1106;1
18474;1106;0
18475;1143;37
18476;1143;0
18477;1150;7
18478;1153;3
18479;1153;0
18480;1158;5
18481;1158;0
18482;1175;17
18483;1175;0
18484;1204;29
18485;1211;7
18486;1213;2
18487;1228;15
18488;1238;10
18489;1240;2
18490;1267;27
18491;1280;13
18492;1280;0
18493;1285;5
18494;1297;12
18495;1297;0
18496;1297;0
18497;1320;23
18498;1338;18
18499;1338;0
18500;1352;14
18501;1352;0
18502;1352;0
18503;1352;0
18504;1357;5
18505;1368;11
18506;1370;2
18507;1370;0
18508;1375;5
18509;1408;33
18510;1408;0
18511;1452;44
18512;1463;11
18513;1466;3
18514;1476;10
18515;1486;10
18516;1499;13
18517;1514;15
18518;1707;193
18519;1717;10
18520;1733;16
18521;1748;15
18522;1767;19
18523;1797;30
18524;1816;19
18525;1846;30
18526;1896;50
18527;1907;11
18528;1929;22
18529;1950;21
18530;1962;12
18531;1973;11
18532;2008;35
