condition;measurement;ncases
18283;0;0
18284;0;0
18285;0;0
18286;0;0
18287;0;0
18288;0;0
18289;0;0
18290;0;0
18291;0;0
18292;0;0
18293;0;0
18294;0;0
18295;0;0
18296;0;0
18297;0;0
18298;0;0
18299;0;0
18300;0;0
18301;0;0
18302;0;0
18303;0;0
18304;0;0
18305;0;0
18306;0;0
18307;0;0
18308;0;0
18309;0;0
18310;0;0
18311;0;0
18312;0;0
18313;0;0
18314;0;0
18315;0;0
18316;0;0
18317;0;0
18318;0;0
18319;0;0
18320;0;0
18321;0;0
18322;0;0
18323;0;0
18324;0;0
18325;0;0
18326;0;0
18327;0;0
18328;0;0
18329;0;0
18330;0;0
18331;0;0
18332;0;0
18333;0;0
18334;0;0
18335;0;0
18336;0;0
18337;0;0
18338;0;0
18339;0;0
18340;0;0
18341;0;0
18342;0;0
18343;0;0
18344;0;0
18345;0;0
18346;0;0
18347;0;0
18348;8;8
18349;8;0
18350;10;2
18351;14;4
18352;15;1
18353;15;0
18354;20;5
18355;20;0
18356;21;1
18357;21;0
18358;22;1
18359;22;0
18360;22;0
18361;23;1
18362;27;4
18363;38;11
18364;41;3
18365;62;21
18366;63;1
18367;74;11
18368;85;11
18369;88;3
18370;98;10
18371;111;13
18372;119;8
18373;121;2
18374;123;2
18375;139;16
18376;144;5
18377;146;2
18378;146;0
18379;146;0
18380;150;4
18381;150;0
18382;151;1
18383;151;0
18384;151;0
18385;155;4
18386;161;6
18387;161;0
18388;161;0
18389;176;15
18390;177;1
18391;178;1
18392;180;2
18393;180;0
18394;180;0
18395;181;1
18396;181;0
18397;182;1
18398;182;0
18399;184;2
18400;191;7
18401;193;2
18402;199;6
18403;199;0
18404;199;0
18405;201;2
18406;201;0
18407;203;2
18408;206;3
18409;206;0
18410;206;0
18411;207;1
18412;224;17
18413;224;0
18414;228;4
18415;232;4
18416;233;1
18417;236;3
18418;236;0
18419;240;4
18420;242;2
18421;244;2
18422;246;2
18423;248;2
18424;260;12
18425;261;1
18426;261;0
18427;261;0
18428;262;1
18429;262;0
18430;262;0
18431;286;24
18432;286;0
18433;287;1
18434;290;3
18435;291;1
18436;292;1
18437;293;1
18438;293;0
18439;293;0
18440;296;3
18441;299;3
18442;299;0
18443;299;0
18444;303;4
18445;304;1
18446;306;2
18447;313;7
18448;313;0
18449;316;3
18450;316;0
18451;317;1
18452;321;4
18453;326;5
18454;330;4
18455;331;1
18456;336;5
18457;337;1
18458;337;0
18459;339;2
18460;339;0
18461;340;1
18462;341;1
18463;341;0
18464;341;0
18465;343;2
18466;343;0
18467;346;3
18468;348;2
18469;350;2
18470;350;0
18471;351;1
18472;351;0
18473;353;2
18474;353;0
18475;353;0
18476;353;0
18477;355;2
18478;356;1
18479;357;1
18480;357;0
18481;359;2
18482;359;0
18483;360;1
18484;360;0
18485;360;0
18486;361;1
18487;369;8
18488;374;5
18489;374;0
18490;375;1
18491;376;1
18492;376;0
18493;394;18
18494;399;5
18495;435;36
18496;441;6
18497;450;9
18498;474;24
18499;504;30
18500;580;76
18501;602;22
18502;643;41
18503;749;106
18504;775;26
18505;882;107
18506;919;37
18507;995;76
18508;1111;116
18509;1171;60
18510;1319;148
18511;1419;100
18512;1518;99
18513;1807;289
18514;2009;202
18515;2150;141
18516;2422;272
18517;2796;374
18518;3015;219
18519;3195;180
18520;3636;441
18521;3894;258
18522;4299;405
18523;4621;322
18524;5263;642
18525;5805;542
18526;6471;666
18527;6959;488
18528;7827;868
18529;8515;688
18530;9112;597
18531;9991;879
18532;10734;743
18533;11631;897
18534;12425;794
18535;13373;948
18536;14383;1010
18537;15525;1142
18538;16503;978
18539;17794;1291
