condition;measurement;ncases
18283;0;0
18284;0;0
18285;0;0
18286;0;0
18287;0;0
18288;0;0
18289;0;0
18290;0;0
18291;0;0
18292;0;0
18293;0;0
18294;0;0
18295;0;0
18296;0;0
18297;0;0
18298;0;0
18299;0;0
18300;0;0
18301;0;0
18302;0;0
18303;0;0
18304;0;0
18305;0;0
18306;0;0
18307;0;0
18308;0;0
18309;0;0
18310;0;0
18311;0;0
18312;0;0
18313;0;0
18314;0;0
18315;0;0
18316;0;0
18317;0;0
18318;0;0
18319;0;0
18320;0;0
18321;0;0
18322;0;0
18323;0;0
18324;0;0
18325;0;0
18326;0;0
18327;0;0
18328;0;0
18329;0;0
18330;0;0
18331;0;0
18332;0;0
18333;0;0
18334;0;0
18335;0;0
18336;0;0
18337;0;0
18338;0;0
18339;0;0
18340;0;0
18341;0;0
18342;0;0
18343;0;0
18344;0;0
18345;0;0
18346;0;0
18347;0;0
18348;0;0
18349;0;0
18350;0;0
18351;0;0
18352;2;2
18353;2;0
18354;3;1
18355;3;0
18356;3;0
18357;3;0
18358;3;0
18359;3;0
18360;3;0
18361;3;0
18362;3;0
18363;5;2
18364;5;0
18365;5;0
18366;5;0
18367;5;0
18368;5;0
18369;5;0
18370;5;0
18371;5;0
18372;5;0
18373;5;0
18374;11;6
18375;11;0
18376;11;0
18377;11;0
18378;11;0
18379;11;0
18380;11;0
18381;11;0
18382;11;0
18383;11;0
18384;15;4
18385;15;0
18386;15;0
18387;15;0
18388;15;0
18389;15;0
18390;15;0
18391;15;0
18392;15;0
18393;15;0
18394;15;0
18395;15;0
18396;15;0
18397;15;0
18398;15;0
18399;23;8
18400;42;19
18401;42;0
18402;42;0
18403;42;0
18404;42;0
18405;42;0
18406;42;0
18407;42;0
18408;42;0
18409;42;0
18410;42;0
18411;42;0
18412;63;21
18413;63;0
18414;63;0
18415;63;0
18416;63;0
18417;63;0
18418;63;0
18419;83;20
18420;83;0
18421;83;0
18422;83;0
18423;83;0
18424;85;2
18425;85;0
18426;85;0
18427;85;0
18428;85;0
18429;104;19
18430;104;0
18431;104;0
18432;104;0
18433;104;0
18434;144;40
18435;144;0
18436;144;0
18437;144;0
18438;144;0
18439;144;0
18440;170;26
18441;170;0
18442;170;0
18443;170;0
18444;170;0
18445;170;0
18446;191;21
18447;191;0
18448;191;0
18449;191;0
18450;191;0
18451;191;0
18452;191;0
18453;191;0
18454;191;0
18455;191;0
18456;269;78
18457;269;0
18458;269;0
18459;303;34
18460;310;7
18461;310;0
18462;310;0
18463;322;12
18464;328;6
18465;328;0
18466;345;17
18467;345;0
18468;361;16
18469;361;0
18470;378;17
18471;378;0
18472;387;9
18473;387;0
18474;387;0
18475;395;8
18476;395;0
18477;395;0
18478;395;0
18479;395;0
18480;400;5
18481;400;0
18482;405;5
18483;408;3
18484;408;0
18485;408;0
18486;409;1
18487;410;1
18488;412;2
18489;412;0
18490;413;1
18491;413;0
18492;416;3
18493;422;6
18494;422;0
18495;426;4
18496;429;3
18497;430;1
18498;430;0
18499;430;0
18500;430;0
18501;431;1
18502;433;2
18503;445;12
18504;445;0
18505;445;0
18506;445;0
18507;448;3
18508;448;0
18509;451;3
18510;460;9
18511;462;2
18512;466;4
18513;466;0
18514;466;0
18515;469;3
18516;469;0
18517;471;2
18518;472;1
18519;472;0
18520;472;0
18521;472;0
18522;473;1
18523;473;0
18524;473;0
18525;473;0
18526;474;1
18527;474;0
18528;476;2
18529;477;1
18530;483;6
18531;485;2
18532;485;0
18533;502;17
18534;506;4
18535;508;2
18536;510;2
18537;513;3
18538;513;0
18539;513;0
18540;514;1
18541;514;0
18542;515;1
18543;515;0
18544;515;0
