condition;measurement;ncases
18283;0;0
18284;0;0
18285;0;0
18286;0;0
18287;0;0
18288;0;0
18289;0;0
18290;0;0
18291;0;0
18292;0;0
18293;0;0
18294;0;0
18295;0;0
18296;0;0
18297;0;0
18298;0;0
18299;0;0
18300;0;0
18301;0;0
18302;0;0
18303;0;0
18304;0;0
18305;0;0
18306;0;0
18307;0;0
18308;0;0
18309;0;0
18310;0;0
18311;0;0
18312;0;0
18313;0;0
18314;0;0
18315;0;0
18316;0;0
18317;0;0
18318;0;0
18319;0;0
18320;0;0
18321;0;0
18322;0;0
18323;0;0
18324;0;0
18325;0;0
18326;0;0
18327;0;0
18328;0;0
18329;0;0
18330;0;0
18331;0;0
18332;0;0
18333;0;0
18334;0;0
18335;0;0
18336;0;0
18337;0;0
18338;0;0
18339;0;0
18340;0;0
18341;1;1
18342;3;2
18343;3;0
18344;3;0
18345;3;0
18346;4;1
18347;4;0
18348;5;1
18349;5;0
18350;6;1
18351;6;0
18352;6;0
18353;6;0
18354;6;0
18355;6;0
18356;7;1
18357;7;0
18358;7;0
18359;7;0
18360;7;0
18361;7;0
18362;7;0
18363;8;1
18364;8;0
18365;10;2
18366;11;1
18367;56;45
18368;56;0
18369;56;0
18370;58;2
18371;61;3
18372;67;6
18373;68;1
18374;73;5
18375;82;9
18376;88;6
18377;90;2
18378;106;16
18379;109;3
18380;114;5
18381;114;0
18382;121;7
18383;122;1
18384;152;30
18385;165;13
18386;175;10
18387;186;11
18388;191;5
18389;218;27
18390;230;12
18391;236;6
18392;246;10
18393;260;14
18394;267;7
18395;289;22
18396;315;26
18397;326;11
18398;328;2
18399;328;0
18400;328;0
18401;335;7
18402;349;14
18403;356;7
18404;362;6
18405;371;9
18406;380;9
18407;390;10
18408;390;0
18409;390;0
18410;390;0
18411;405;15
18412;421;16
18413;435;14
18414;458;23
18415;466;8
18416;477;11
18417;502;25
18418;536;34
18419;542;6
18420;554;12
18421;567;13
18422;585;18
18423;615;30
18424;657;42
18425;697;40
18426;726;29
18427;750;24
18428;760;10
18429;781;21
18430;792;11
18431;823;31
18432;848;25
18433;863;15
18434;890;27
18435;944;54
18436;982;38
18437;999;17
18438;1003;4
18439;1027;24
18440;1091;64
18441;1155;64
18442;1165;10
18443;1227;62
18444;1267;40
18445;1301;34
18446;1382;81
18447;1421;39
18448;1451;30
18449;1463;12
18450;1499;36
18451;1542;43
18452;1552;10
18453;1591;39
18454;1623;32
18455;1623;0
18456;1698;75
18457;1722;24
18458;1780;58
18459;1894;114
18460;1939;45
18461;2014;75
18462;2045;31
18463;2071;26
18464;2107;36
18465;2154;47
18466;2190;36
18467;2220;30
18468;2258;38
18469;2307;49
18470;2328;21
18471;2354;26
18472;2373;19
18473;2418;45
18474;2451;33
18475;2480;29
18476;2547;67
18477;2583;36
18478;2631;48
18479;2689;58
18480;2734;45
18481;2780;46
18482;2835;55
18483;2858;23
18484;2883;25
18485;2920;37
18486;3000;80
18487;3073;73
18488;3136;63
18489;3163;27
18490;3179;16
18491;3203;24
18492;3253;50
18493;3321;68
18494;3368;47
18495;3412;44
18496;3455;43
18497;3509;54
18498;3532;23
18499;3568;36
18500;3630;62
18501;3699;69
18502;3745;46
18503;3778;33
18504;3852;74
18505;3884;32
18506;3970;86
18507;4048;78
18508;4125;77
18509;4200;75
18510;4275;75
18511;4330;55
18512;4358;28
18513;4400;42
18514;4473;73
18515;4557;84
18516;4651;94
18517;4711;60
18518;4813;102
18519;4839;26
18520;4904;65
18521;4978;74
18522;5063;85
18523;5141;78
18524;5186;45
18525;5257;71
18526;5281;24
18527;5337;56
18528;5412;75
18529;5479;67
18530;5628;149
18531;5701;73
