condition;measurement;ncases
18283;0;0
18284;0;0
18285;0;0
18286;0;0
18287;0;0
18288;0;0
18289;0;0
18290;0;0
18291;0;0
18292;0;0
18293;0;0
18294;0;0
18295;0;0
18296;0;0
18297;0;0
18298;0;0
18299;0;0
18300;0;0
18301;0;0
18302;0;0
18303;0;0
18304;0;0
18305;0;0
18306;0;0
18307;0;0
18308;0;0
18309;0;0
18310;0;0
18311;0;0
18312;0;0
18313;0;0
18314;0;0
18315;2;2
18316;2;0
18317;2;0
18318;2;0
18319;2;0
18320;2;0
18321;2;0
18322;9;7
18323;9;0
18324;10;1
18325;10;0
18326;13;3
18327;13;0
18328;13;0
18329;20;7
18330;20;0
18331;25;5
18332;35;10
18333;35;0
18334;55;20
18335;88;33
18336;101;13
18337;182;81
18338;228;46
18339;265;37
18340;265;0
18341;461;196
18342;592;131
18343;687;95
18344;801;114
18345;977;176
18346;1197;220
18347;1361;164
18348;1665;304
18349;2015;350
18350;2245;230
18351;2555;310
18352;2844;289
18353;3137;293
18354;3510;373
18355;3843;333
18356;4355;512
18357;4665;310
18358;5009;344
18359;5310;301
18360;5740;430
18361;6166;426
18362;6695;529
18363;7366;671
18364;7652;286
18365;7964;312
18366;8356;392
18367;8712;356
18368;9246;534
18369;9691;445
18370;10598;907
18371;10956;358
18372;11375;419
18373;11700;325
18374;12164;464
18375;12680;516
18376;13174;494
18377;14537;1363
18378;15010;473
18379;15492;482
18380;16044;552
18381;16564;520
18382;17702;1138
18383;18687;985
18384;21213;2526
18385;22441;1228
18386;23421;980
18387;24794;1373
18388;25826;1032
18389;27359;1533
18390;28750;1391
18391;32208;3458
18392;33855;1647
18393;35052;1197
18394;36710;1658
18395;39370;2660
18396;42029;2659
18397;44531;2502
18398;50016;5485
18399;52369;2353
18400;54647;2278
18401;58167;3520
18402;62205;4038
18403;66169;3964
18404;70445;4276
18405;80287;9842
18406;83996;3709
18407;88891;4895
18408;92855;3964
18409;97183;4328
18410;101837;4654
18411;105532;3695
18412;118720;13188
18413;123550;4830
18414;129020;5470
18415;132548;3528
18416;137490;4942
18417;142154;4664
18418;146361;4207
18419;160351;13990
18420;166756;6405
18421;171452;4696
18422;175365;3913
18423;181062;5697
18424;186698;5636
18425;193452;6754
18426;201634;8182
18427;208572;6938
18428;213715;5143
18429;218728;5013
18430;220628;1900
18431;225103;4475
18432;231393;6290
18433;236748;5355
18434;242355;5607
18435;246963;4608
18436;250767;3804
18437;254416;3649
18438;259064;4648
18439;263360;4296
18440;267766;4406
18441;271982;4216
18442;275999;4017
18443;279393;3394
18444;282043;2650
18445;284541;2498
18446;288089;3548
18447;291847;3758
18448;295532;3685
18449;298557;3025
18450;301019;2462
18451;303083;2064
18452;306216;3133
18453;309274;3058
18454;312029;2755
18455;315041;3012
18456;317657;2616
18457;319493;1836
18458;321205;1712
18459;323698;2493
18460;326439;2741
18461;328846;2407
18462;330930;2084
18463;333029;2099
18464;334683;1654
18465;336402;1719
18466;338759;2357
18467;341304;2545
18468;343592;2288
18469;345790;2198
18470;347923;2133
18471;349800;1877
18472;351575;1775
18473;353536;1961
18474;355667;2131
18475;357658;1991
18476;359731;2073
18477;361493;1762
18478;362962;1469
18479;364723;1761
18480;366671;1948
18481;368825;2154
18482;371023;2198
18483;373056;2033
18484;375044;1988
18485;376616;1572
18486;378168;1552
18487;380034;1866
18488;382111;2077
18489;383902;1791
18490;385946;2044
18491;387502;1556
18492;388855;1353
18493;390037;1182
18494;391849;1812
18495;393769;1920
18496;395708;1939
18497;397665;1957
18498;399568;1903
18499;400985;1417
18500;402365;1380
18501;404102;1737
18502;405972;1870
18503;408009;2037
18504;409974;1965
