condition;measurement;ncases
18283;548;548
18284;643;95
18285;920;277
18286;1406;486
18287;2075;669
18288;2877;802
18289;5509;2632
18290;6087;578
18291;8141;2054
18292;9802;1661
18293;11891;2089
18294;16630;4739
18295;19716;3086
18296;23707;3991
18297;27440;3733
18298;30587;3147
18299;34110;3523
18300;36814;2704
18301;39829;3015
18302;42354;2525
18303;44386;2032
18304;44759;373
18305;59895;15136
18306;66358;6463
18307;68413;2055
18308;70513;2100
18309;72434;1921
18310;74211;1777
18311;74619;408
18312;75077;458
18313;75550;473
18314;77001;1451
18315;77022;21
18316;77241;219
18317;77754;513
18318;78166;412
18319;78600;434
18320;78928;328
18321;79356;428
18322;79932;576
18323;80136;204
18324;80261;125
18325;80386;125
18326;80537;151
18327;80690;153
18328;80770;80
18329;80823;53
18330;80860;37
18331;80887;27
18332;80921;34
18333;80932;11
18334;80945;13
18335;80977;32
18336;81003;26
18337;81033;30
18338;81058;25
18339;81102;44
18340;81156;54
18341;81250;94
18342;81305;55
18343;81435;130
18344;81498;63
18345;81591;93
18346;81661;70
18347;81782;121
18348;81897;115
18349;81999;102
18350;82122;123
18351;82198;76
18352;82279;81
18353;82361;82
18354;82432;71
18355;82511;79
18356;82543;32
18357;82602;59
18358;82665;63
18359;82718;53
18360;82809;91
18361;82883;74
18362;82941;58
18363;83014;73
18364;83134;120
18365;83213;79
18366;83306;93
18367;83356;50
18368;83403;47
18369;83760;357
18370;83787;27
18371;83805;18
18372;83817;12
18373;83853;36
18374;83868;15
18375;83884;16
18376;83899;15
18377;83909;10
18378;83912;3
18379;83918;6
18380;83940;22
18381;83944;4
18382;83956;12
18383;83959;3
18384;83959;0
18385;83964;5
18386;83966;2
18387;83968;2
18388;83970;2
18389;83975;5
18390;83976;1
18391;83990;14
18392;84010;20
18393;84011;1
18394;84018;7
18395;84024;6
18396;84029;5
18397;84038;9
18398;84044;6
18399;84054;10
18400;84063;9
18401;84063;0
18402;84063;0
18403;84063;0
18404;84081;18
18405;84084;3
18406;84095;11
18407;84102;7
18408;84103;1
18409;84106;3
18410;84106;0
18411;84123;17
18412;84128;5
18413;84146;18
18414;84154;8
18415;84161;7
18416;84160;-1
18417;84171;11
18418;84177;6
18419;84186;9
18420;84191;5
18421;84195;4
18422;84198;3
18423;84209;11
18424;84216;7
18425;84228;12
18426;84286;58
18427;84335;49
18428;84378;43
18429;84422;44
18430;84458;36
18431;84494;36
18432;84494;0
18433;84553;59
18434;84572;19
18435;84624;52
18436;84653;29
18437;84673;20
18438;84701;28
18439;84725;24
18440;84743;18
18441;84757;14
18442;84780;23
18443;84785;5
18444;84816;31
18445;84830;14
18446;84838;8
18447;84857;19
18448;84871;14
18449;84889;18
18450;84917;28
18451;84950;33
18452;84992;42
18453;84992;0
18454;85071;79
18455;85117;46
18456;85117;0
18457;85226;109
18458;85246;20
18459;85327;81
18460;85402;75
18461;85418;16
18462;85503;85
18463;85622;119
18464;85708;86
18465;85906;198
18466;86045;139
18467;86202;157
18468;86381;179
18469;86570;189
18470;86783;213
18471;86990;207
18472;87213;223
18473;87489;276
18474;87655;166
18475;87827;172
