condition;measurement;ncases
18283;0;0
18284;0;0
18285;0;0
18286;0;0
18287;0;0
18288;0;0
18289;0;0
18290;0;0
18291;0;0
18292;0;0
18293;0;0
18294;0;0
18295;0;0
18296;0;0
18297;0;0
18298;0;0
18299;0;0
18300;0;0
18301;0;0
18302;0;0
18303;0;0
18304;0;0
18305;0;0
18306;0;0
18307;0;0
18308;0;0
18309;0;0
18310;0;0
18311;0;0
18312;0;0
18313;0;0
18314;0;0
18315;0;0
18316;0;0
18317;0;0
18318;0;0
18319;0;0
18320;0;0
18321;0;0
18322;0;0
18323;0;0
18324;0;0
18325;0;0
18326;0;0
18327;1;1
18328;1;0
18329;1;0
18330;1;0
18331;3;2
18332;9;6
18333;9;0
18334;13;4
18335;22;9
18336;34;12
18337;57;23
18338;75;18
18339;102;27
18340;108;6
18341;158;50
18342;196;38
18343;231;35
18344;277;46
18345;378;101
18346;470;92
18347;491;21
18348;539;48
18349;608;69
18350;702;94
18351;798;96
18352;906;108
18353;1065;159
18354;1161;96
18355;1267;106
18356;1406;139
18357;1485;79
18358;1579;94
18359;1780;201
18360;2054;274
18361;2223;169
18362;2473;250
18363;2709;236
18364;2776;67
18365;2852;76
18366;2979;127
18367;3105;126
18368;3233;128
18369;3439;206
18370;3621;182
18371;3792;171
18372;3977;185
18373;4149;172
18374;4356;207
18375;4561;205
18376;4881;320
18377;5142;261
18378;5379;237
18379;5597;218
18380;5949;352
18381;6207;258
18382;6507;300
18383;7006;499
18384;7285;279
18385;7668;383
18386;7973;305
18387;8613;640
18388;8959;346
18389;9456;497
18390;10051;595
18391;10495;444
18392;11063;568
18393;11613;550
18394;12272;659
18395;12930;658
18396;13610;680
18397;14216;606
18398;14939;723
18399;15574;635
18400;16295;721
18401;16935;640
18402;17687;752
18403;18330;643
18404;19131;801
18405;20177;1046
18406;21175;998
18407;21981;806
18408;23003;1022
18409;24104;1101
18410;25366;1262
18411;26688;1322
18412;28236;1548
18413;29383;1147
18414;30493;1110
18415;31833;1340
18416;33354;1521
18417;35120;1766
18418;36635;1515
18419;38027;1392
18420;39236;1209
18421;40719;1483
18422;42078;1359
18423;43682;1604
18424;45212;1530
18425;46858;1646
18426;48746;1888
18427;50939;2193
18428;53063;2124
18429;54931;1868
18430;57046;2115
18431;60217;3171
18432;63276;3059
18433;65633;2357
18434;68652;3019
18435;71183;2531
18436;73572;2389
18437;77113;3541
18438;80599;3486
18439;84442;3843
18440;88591;4149
18441;91769;3178
18442;95043;3274
18443;97846;2803
18444;102009;4163
18445;106110;4101
18446;109505;3395
18447;113389;3884
18448;117110;3721
18449;120281;3171
18450;124494;4213
18451;128638;4144
18452;133973;5335
18453;140776;6803
18454;145632;4856
18455;150445;4813
18456;154277;3832
18457;159898;5621
18458;165169;5271
18459;173206;8037
18460;182140;8934
18461;190700;8560
18462;197278;6578
18463;204005;6727
18464;211038;7033
18465;218428;7390
18466;226373;7945
18467;233541;7168
18468;240795;7254
18469;248976;8181
18470;257101;8125
18471;267385;10284
18472;276055;8670
18473;286020;9965
18474;295508;9488
18475;306181;10673
18476;317651;11470
18477;327850;10199
18478;334979;7129
18479;345714;10735
18480;357710;11996
18481;367204;9494
18482;376870;9666
18483;387481;10611
18484;397623;10142
18485;410453;12830
18486;422519;12066
18487;433805;11286
18488;445111;11306
18489;456689;11578
18490;468332;11643
18491;476660;8328
18492;489122;12462
18493;502178;13056
18494;513719;11541
18495;522138;8419
18496;533103;10965
18497;541139;8036
18498;551688;10549
18499;562113;10425
18500;572243;10130
18501;581995;9752
18502;590492;8497
18503;599884;9392
18504;607904;8020
18505;615094;7190
18506;624026;8932
18507;633321;9295
