condition;measurement;ncases
18283;0;0
18284;0;0
18285;0;0
18286;0;0
18287;0;0
18288;0;0
18289;0;0
18290;0;0
18291;0;0
18292;0;0
18293;0;0
18294;0;0
18295;0;0
18296;0;0
18297;0;0
18298;0;0
18299;0;0
18300;0;0
18301;0;0
18302;0;0
18303;0;0
18304;0;0
18305;0;0
18306;0;0
18307;0;0
18308;0;0
18309;0;0
18310;0;0
18311;0;0
18312;0;0
18313;0;0
18314;0;0
18315;0;0
18316;0;0
18317;0;0
18318;0;0
18319;0;0
18320;0;0
18321;0;0
18322;0;0
18323;0;0
18324;0;0
18325;0;0
18326;0;0
18327;0;0
18328;0;0
18329;0;0
18330;0;0
18331;0;0
18332;0;0
18333;3;3
18334;4;1
18335;4;0
18336;4;0
18337;4;0
18338;5;1
18339;7;2
18340;11;4
18341;16;5
18342;21;5
18343;35;14
18344;40;5
18345;48;8
18346;57;9
18347;67;10
18348;80;13
18349;119;39
18350;139;20
18351;170;31
18352;186;16
18353;212;26
18354;233;21
18355;269;36
18356;288;19
18357;320;32
18358;350;30
18359;396;46
18360;457;61
18361;515;58
18362;564;49
18363;620;56
18364;669;49
18365;726;57
18366;766;40
18367;814;48
18368;862;48
18369;923;61
18370;986;63
18371;1035;49
18372;1087;52
18373;1137;50
18374;1189;52
18375;1235;46
18376;1285;50
18377;1337;52
18378;1369;32
18379;1389;20
18380;1437;48
18381;1467;30
18382;1501;34
18383;1537;36
18384;1611;74
18385;1649;38
18386;1668;19
18387;1685;17
18388;1703;18
18389;1729;26
18390;1741;12
18391;1754;13
18392;1766;12
18393;1783;17
18394;1804;21
18395;1810;6
18396;1830;20
18397;1840;10
18398;1862;22
18399;1872;10
18400;1881;9
18401;1887;6
18402;1900;13
18403;1908;8
18404;1916;8
18405;1931;15
18406;1941;10
18407;1947;6
18408;1963;16
18409;1974;11
18410;1983;9
18411;2005;22
18412;2025;20
18413;2045;20
18414;2083;38
18415;2092;9
18416;2107;15
18417;2119;12
18418;2133;14
18419;2173;40
18420;2191;18
18421;2200;9
18422;2205;5
18423;2211;6
18424;2219;8
18425;2233;14
18426;2238;5
18427;2248;10
18428;2262;14
18429;2273;11
18430;2280;7
18431;2295;15
18432;2305;10
18433;2309;4
18434;2312;3
18435;2315;3
18436;2318;3
18437;2319;1
18438;2321;2
18439;2325;4
18440;2330;5
18441;2332;2
18442;2340;8
18443;2341;1
18444;2348;7
18445;2353;5
18446;2361;8
18447;2369;8
18448;2372;3
18449;2380;8
18450;2395;15
18451;2399;4
18452;2403;4
18453;2413;10
18454;2420;7
18455;2426;6
18456;2428;2
18457;2432;4
18458;2438;6
18459;2440;2
18460;2444;4
18461;2445;1
18462;2446;1
18463;2446;0
18464;2449;3
18465;2462;13
18466;2466;4
18467;2469;3
18468;2478;9
18469;2495;17
18470;2532;37
18471;2555;23
18472;2588;33
18473;2597;9
18474;2608;11
18475;2633;25
18476;2646;13
18477;2670;24
18478;2701;31
18479;2726;25
18480;2775;49
18481;2829;54
18482;2888;59
18483;2953;65
18484;3046;93
18485;3093;47
18486;3128;35
18487;3174;46
18488;3229;55
18489;3292;63
18490;3316;24
18491;3364;48
18492;3408;44
18493;3482;74
18494;3565;83
18495;3582;17
18496;3617;35
18497;3682;65
18498;3717;35
18499;3744;27
18500;3759;15
18501;3806;47
18502;3866;60
18503;3925;59
18504;3973;48
18505;4032;59
18506;4065;33
18507;4126;61
18508;4214;88
18509;4266;52
18510;4298;32
18511;4309;11
18512;4352;43
18513;4377;25
18514;4459;82
18515;4551;92
18516;4593;42
18517;4653;60
18518;4684;31
18519;4726;42
18520;4803;77
18521;4876;73
18522;4933;57
