condition;measurement;ncases
18283;0;0
18284;0;0
18285;0;0
18286;0;0
18287;0;0
18288;0;0
18289;0;0
18290;0;0
18291;0;0
18292;0;0
18293;0;0
18294;0;0
18295;0;0
18296;0;0
18297;0;0
18298;0;0
18299;0;0
18300;0;0
18301;0;0
18302;0;0
18303;0;0
18304;0;0
18305;0;0
18306;0;0
18307;0;0
18308;0;0
18309;0;0
18310;0;0
18311;0;0
18312;0;0
18313;0;0
18314;0;0
18315;0;0
18316;0;0
18317;0;0
18318;0;0
18319;0;0
18320;0;0
18321;0;0
18322;3;3
18323;3;0
18324;5;2
18325;8;3
18326;12;4
18327;18;6
18328;19;1
18329;31;12
18330;31;0
18331;41;10
18332;91;50
18333;94;3
18334;141;47
18335;189;48
18336;253;64
18337;298;45
18338;396;98
18339;464;68
18340;694;230
18341;833;139
18342;995;162
18343;1120;125
18344;1236;116
18345;1394;158
18346;1654;260
18347;1925;271
18348;2279;354
18349;2631;352
18350;2817;186
18351;3001;184
18352;3308;307
18353;3508;200
18354;3858;350
18355;4091;233
18356;4472;381
18357;4587;115
18358;4822;235
18359;5017;195
18360;5312;295
18361;5569;257
18362;5732;163
18363;5831;99
18364;5991;160
18365;6059;68
18366;6111;52
18367;6216;105
18368;6433;217
18369;6549;116
18370;6606;57
18371;6746;140
18372;6900;154
18373;7033;133
18374;7132;99
18375;7187;55
18376;7273;86
18377;7352;79
18378;7404;52
18379;7445;41
18380;7504;59
18381;7579;75
18382;7682;103
18383;7737;55
18384;7755;18
18385;7781;26
18386;7819;38
18387;7896;77
18388;7974;78
18389;8031;57
18390;8077;46
18391;8095;18
18392;8123;28
18393;8176;53
18394;8221;45
18395;8269;48
18396;8351;82
18397;8406;55
18398;8455;49
18399;8475;20
18400;8586;111
18401;8647;61
18402;8721;74
18403;8754;33
18404;8813;59
18405;8890;77
18406;8955;65
18407;9002;47
18408;9050;48
18409;9086;36
18410;9140;54
18411;9196;56
18412;9230;34
18413;9268;38
18414;9302;34
18415;9364;62
18416;9438;74
18417;9494;56
18418;9529;35
18419;9567;38
18420;9628;61
18421;9697;69
18422;9751;54
18423;9824;73
18424;9855;31
18425;9938;83
18426;9991;53
18427;10024;33
18428;10064;40
18429;10111;47
18430;10162;51
18431;10280;118
18432;10406;126
18433;10448;42
18434;10498;50
18435;10523;25
18436;10650;127
18437;10777;127
18438;10870;93
18439;11038;168
18440;11298;260
18441;11603;305
18442;11805;202
18443;11954;149
18444;12046;92
18445;12178;132
18446;12319;141
18447;12440;121
18448;12515;75
18449;12566;51
18450;12685;119
18451;12814;129
18452;12919;105
18453;13001;82
18454;13115;114
18455;13174;59
18456;13238;64
18457;13341;103
18458;13475;134
18459;13612;137
18460;13742;130
18461;13855;113
18462;13945;90
18463;14098;153
18464;14324;226
18465;14570;246
18466;14800;230
18467;15081;281
18468;15212;131
18469;15324;112
18470;15516;192
18471;15799;283
18472;16093;294
18473;16371;278
18474;16574;203
18475;16699;125
18476;16800;101
18477;17008;208
18478;17286;278
18479;17529;243
18480;17731;202
18481;18060;329
18482;18235;175
18483;18353;118
18484;18494;141
18485;18783;289
18486;19075;292
18487;19401;326
18488;19693;292
18489;19891;198
18490;20012;121
18491;20202;190
18492;20483;281
18493;20798;315
18494;21045;247
18495;21551;506
18496;21790;239
18497;21923;133
18498;22181;258
18499;22548;367
18500;22951;403
18501;23169;218
18502;23777;608
18503;24094;317
18504;24367;273
18505;24618;251
18506;25117;499
18507;25773;656
18508;26452;679
18509;27249;797
18510;27752;503
18511;28156;404
18512;28716;560
18513;29877;1161
18514;31036;1159
18515;32413;1377
18516;33860;1447
18517;35401;1541
18518;36188;787
