condition;measurement;ncases
18283;0;0
18284;0;0
18285;0;0
18286;0;0
18287;0;0
18288;0;0
18289;0;0
18290;0;0
18291;0;0
18292;0;0
18293;0;0
18294;0;0
18295;0;0
18296;0;0
18297;0;0
18298;0;0
18299;0;0
18300;0;0
18301;0;0
18302;0;0
18303;0;0
18304;0;0
18305;0;0
18306;0;0
18307;0;0
18308;0;0
18309;0;0
18310;0;0
18311;0;0
18312;0;0
18313;0;0
18314;0;0
18315;0;0
18316;0;0
18317;0;0
18318;0;0
18319;1;1
18320;1;0
18321;3;2
18322;4;1
18323;4;0
18324;6;2
18325;11;5
18326;11;0
18327;24;13
18328;24;0
18329;37;13
18330;92;55
18331;264;172
18332;444;180
18333;617;173
18334;804;187
18335;836;32
18336;875;39
18337;933;58
18338;1025;92
18339;1116;91
18340;1225;109
18341;1337;112
18342;1420;83
18343;1514;94
18344;1572;58
18345;1718;146
18346;1862;144
18347;2023;161
18348;2200;177
18349;2366;166
18350;2564;198
18351;2755;191
18352;3039;284
18353;3290;251
18354;3573;283
18355;3946;373
18356;4269;323
18357;4561;292
18358;4875;314
18359;5266;391
18360;5597;331
18361;5830;233
18362;6014;184
18363;6191;177
18364;6369;178
18365;6513;144
18366;6706;193
18367;6876;170
18368;7074;198
18369;7268;194
18370;7437;169
18371;7580;143
18372;7711;131
18373;7891;180
18374;8108;217
18375;8271;163
18376;8408;137
18377;8643;235
18378;8773;130
18379;8896;123
18380;9049;153
18381;9206;157
18382;9356;150
18383;9509;153
18384;9605;96
18385;9721;116
18386;9868;147
18387;10019;151
18388;10136;117
18389;10281;145
18390;10416;135
18391;10517;101
18392;10627;110
18393;10711;84
18394;10789;78
18395;10865;76
18396;10911;46
18397;10989;78
18398;11056;67
18399;11125;69
18400;11166;41
18401;11242;76
18402;11315;73
18403;11380;65
18404;11428;48
18405;11487;59
18406;11559;72
18407;11586;27
18408;11627;41
18409;11680;53
18410;11712;32
18411;11793;81
18412;11833;40
18413;11869;36
18414;11899;30
18415;11934;35
18416;11971;37
18417;12011;40
18418;12075;64
18419;12124;49
18420;12148;24
18421;12162;14
18422;12201;39
18423;12216;15
18424;12235;19
18425;12299;64
18426;12339;40
18427;12393;54
18428;12417;24
18429;12450;33
18430;12494;44
18431;12544;50
18432;12591;47
18433;12591;0
18434;12591;0
18435;12727;136
18436;12761;34
18437;12815;54
18438;12836;21
18439;12875;39
18440;12875;0
18441;12875;0
18442;12951;76
18443;12968;17
18444;12994;26
18445;13015;21
18446;13032;17
18447;13032;0
18448;13033;1
18449;13079;46
18450;13089;10
18451;13101;12
18452;13117;16
18453;13147;30
18454;13147;0
18455;13147;0
18456;13238;91
18457;13262;24
18458;13293;31
18459;13325;32
18460;13374;49
18461;13374;0
18462;13377;3
18463;13466;89
18464;13506;40
18465;13554;48
18466;13594;40
18467;13642;48
18468;13643;1
18469;13665;22
18470;13775;110
18471;13811;36
18472;13868;57
18473;13964;96
18474;14028;64
18475;14028;0
18476;14028;0
18477;14235;207
18478;14314;79
18479;14440;126
18480;14586;146
18481;14747;161
18482;14751;4
18483;14759;8
18484;15135;376
18485;15291;156
18486;15423;132
18487;15590;167
18488;15758;168
18489;15867;109
18490;16003;136
18491;16127;124
18492;16246;119
18493;16336;90
18494;16453;117
18495;16525;72
18496;16637;112
18497;16715;78
18498;16821;106
18499;16905;84
18500;16962;57
18501;17052;90
18502;17125;73
18503;17204;79
18504;17316;112
18505;17410;94
18506;17509;99
18507;17620;111
18508;17800;180
18509;17974;174
18510;18163;189
18511;18310;147
18512;18540;230
18513;18784;244
18514;19036;252
18515;19353;317
18516;19646;293
18517;19989;343
18518;20327;338
