condition;measurement;ncases
18283;0;0
18284;0;0
18285;0;0
18286;0;0
18287;0;0
18288;0;0
18289;0;0
18290;0;0
18291;0;0
18292;0;0
18293;0;0
18294;0;0
18295;0;0
18296;0;0
18297;0;0
18298;0;0
18299;61;61
18300;61;0
18301;64;3
18302;135;71
18303;135;0
18304;175;40
18305;175;0
18306;218;43
18307;285;67
18308;355;70
18309;454;99
18310;542;88
18311;621;79
18312;634;13
18313;634;0
18314;634;0
18315;691;57
18316;691;0
18317;691;0
18318;705;14
18319;705;0
18320;705;0
18321;705;0
18322;705;0
18323;705;0
18324;706;1
18325;706;0
18326;706;0
18327;706;0
18328;706;0
18329;706;0
18330;706;0
18331;706;0
18332;706;0
18333;706;0
18334;706;0
18335;706;0
18336;706;0
18337;706;0
18338;706;0
18339;712;6
18340;712;0
18341;712;0
18342;712;0
18343;712;0
18344;712;0
18345;712;0
18346;712;0
18347;712;0
18348;712;0
18349;712;0
18350;712;0
18351;712;0
18352;712;0
18353;712;0
18354;712;0
18355;712;0
18356;712;0
18357;712;0
18358;712;0
18359;712;0
18360;712;0
18361;712;0
18362;712;0
18363;712;0
18364;712;0
18365;712;0
18366;712;0
18367;712;0
18368;712;0
18369;712;0
18370;712;0
18371;712;0
18372;712;0
18373;712;0
18374;712;0
18375;712;0
18376;712;0
18377;712;0
18378;712;0
18379;712;0
18380;712;0
18381;712;0
18382;712;0
18383;712;0
18384;712;0
18385;712;0
18386;712;0
18387;712;0
18388;712;0
18389;712;0
18390;712;0
18391;712;0
18392;712;0
18393;712;0
18394;712;0
18395;712;0
18396;712;0
18397;712;0
18398;712;0
18399;712;0
18400;712;0
18401;712;0
18402;712;0
18403;712;0
18404;712;0
18405;712;0
18406;712;0
18407;712;0
18408;712;0
18409;712;0
18410;712;0
18411;712;0
18412;712;0
18413;712;0
18414;712;0
18415;712;0
18416;712;0
18417;712;0
18418;712;0
18419;712;0
18420;712;0
18421;712;0
18422;712;0
18423;712;0
18424;712;0
18425;712;0
18426;712;0
18427;712;0
18428;712;0
18429;712;0
18430;712;0
18431;712;0
18432;712;0
18433;712;0
18434;712;0
18435;712;0
18436;712;0
18437;712;0
18438;712;0
18439;712;0
18440;712;0
18441;712;0
18442;712;0
18443;712;0
18444;712;0
18445;712;0
18446;712;0
18447;712;0
18448;712;0
18449;712;0
18450;712;0
18451;712;0
18452;712;0
18453;712;0
18454;712;0
18455;712;0
18456;712;0
18457;712;0
18458;712;0
18459;712;0
18460;712;0
18461;712;0
18462;712;0
18463;712;0
18464;712;0
18465;712;0
18466;712;0
18467;712;0
18468;712;0
18469;712;0
18470;712;0
18471;712;0
18472;712;0
18473;712;0
18474;712;0
18475;712;0
18476;712;0
18477;712;0
18478;712;0
18479;712;0
18480;712;0
18481;712;0
18482;712;0
18483;712;0
18484;712;0
18485;712;0
18486;712;0
18487;712;0
18488;712;0
18489;712;0
18490;712;0
18491;712;0
18492;712;0
18493;712;0
18494;712;0
18495;712;0
18496;712;0
18497;712;0
18498;712;0
18499;712;0
18500;712;0
18501;712;0
18502;712;0
18503;712;0
18504;712;0
18505;712;0
18506;712;0
18507;712;0
18508;712;0
18509;712;0
18510;712;0
18511;712;0
18512;712;0
18513;712;0
18514;712;0
18515;712;0
18516;712;0
18517;712;0
18518;712;0
18519;712;0
18520;712;0
18521;712;0
18522;712;0
18523;712;0
18524;712;0
18525;712;0
18526;712;0
18527;712;0
18528;712;0
18529;712;0
18530;712;0
18531;712;0
18532;712;0
18533;712;0
18534;712;0
18535;712;0
18536;712;0
18537;712;0
18538;712;0
18539;712;0
18540;712;0
18541;712;0
18542;712;0
18543;712;0
18544;712;0
