condition;measurement;ncases
18283;0;0
18284;0;0
18285;0;0
18286;0;0
18287;0;0
18288;0;0
18289;0;0
18290;0;0
18291;0;0
18292;0;0
18293;0;0
18294;0;0
18295;0;0
18296;0;0
18297;0;0
18298;0;0
18299;0;0
18300;0;0
18301;0;0
18302;0;0
18303;0;0
18304;0;0
18305;0;0
18306;0;0
18307;0;0
18308;0;0
18309;0;0
18310;0;0
18311;0;0
18312;0;0
18313;0;0
18314;0;0
18315;0;0
18316;0;0
18317;0;0
18318;0;0
18319;0;0
18320;0;0
18321;0;0
18322;0;0
18323;0;0
18324;0;0
18325;0;0
18326;0;0
18327;0;0
18328;0;0
18329;0;0
18330;0;0
18331;0;0
18332;0;0
18333;0;0
18334;0;0
18335;0;0
18336;0;0
18337;0;0
18338;0;0
18339;1;1
18340;1;0
18341;1;0
18342;1;0
18343;1;0
18344;3;2
18345;3;0
18346;11;8
18347;11;0
18348;12;1
18349;14;2
18350;18;4
18351;18;0
18352;30;12
18353;33;3
18354;40;7
18355;49;9
18356;50;1
18357;59;9
18358;90;31
18359;90;0
18360;135;45
18361;135;0
18362;150;15
18363;187;37
18364;214;27
18365;298;84
18366;363;65
18367;435;72
18368;591;156
18369;732;141
18370;732;0
18371;846;114
18372;846;0
18373;945;99
18374;974;29
18375;986;12
18376;999;13
18377;1008;9
18378;1023;15
18379;1035;12
18380;1072;37
18381;1077;5
18382;1089;12
18383;1097;8
18384;1112;15
18385;1112;0
18386;1116;4
18387;1120;4
18388;1124;4
18389;1133;9
18390;1135;2
18391;1189;54
18392;1210;21
18393;1227;17
18394;1256;29
18395;1268;12
18396;1284;16
18397;1309;25
18398;1331;22
18399;1401;70
18400;1518;117
18401;1618;100
18402;1828;210
18403;2047;219
18404;2270;223
18405;2270;0
18406;2270;0
18407;2468;198
18408;2468;0
18409;2697;229
18410;2914;217
18411;2914;0
18412;3194;280
18413;3354;160
18414;3569;215
18415;3779;210
18416;3935;156
18417;4054;119
18418;4123;69
18419;4169;46
18420;4207;38
18421;4278;71
18422;4331;53
18423;4373;42
18424;4398;25
18425;4441;43
18426;4449;8
18427;4465;16
18428;4501;36
18429;4539;38
18430;4545;6
18431;4557;12
18432;4565;8
18433;4565;0
18434;4582;17
18435;4599;17
18436;4617;18
18437;4630;13
18438;4635;5
18439;4643;8
18440;4643;0
18441;4643;0
18442;4656;13
18443;4682;26
18444;4704;22
18445;4715;11
18446;4736;21
18447;4736;0
18448;4792;56
18449;4822;30
18450;4878;56
18451;4889;11
18452;4955;66
18453;4968;13
18454;4968;0
18455;4972;4
18456;4977;5
18457;4979;2
18458;4985;6
18459;4993;8
18460;5003;10
18461;5003;0
18462;5011;8
18463;5020;9
18464;5027;7
18465;5030;3
18466;5031;1
18467;5039;8
18468;5039;0
18469;5050;11
18470;5059;9
18471;5068;9
18472;5081;13
18473;5081;0
18474;5084;3
18475;5084;0
18476;5161;77
18477;5240;79
18478;5248;8
18479;5330;82
18480;5330;0
18481;5338;8
18482;5338;0
18483;5344;6
18484;5347;3
18485;5348;1
18486;5358;10
18487;5358;0
18488;5367;9
18489;5367;0
18490;5369;2
18491;5372;3
18492;5374;2
18493;5374;0
18494;5374;0
18495;5382;8
18496;5382;0
18497;5382;0
18498;5383;1
18499;5383;0
18500;5383;0
18501;5383;0
18502;5383;0
18503;5385;2
18504;5385;0
18505;5387;2
18506;5387;0
18507;5387;0
18508;5387;0
18509;5387;0
18510;5387;0
18511;5388;1
18512;5388;0
18513;5388;0
18514;5391;3
18515;5394;3
18516;5394;0
18517;5394;0
18518;5395;1
18519;5396;1
18520;5396;0
18521;5399;3
18522;5399;0
18523;5403;4
