condition;measurement;ncases
18283;0;0
18284;0;0
18285;0;0
18286;0;0
18287;0;0
18288;0;0
18289;0;0
18290;0;0
18291;0;0
18292;0;0
18293;0;0
18294;0;0
18295;0;0
18296;0;0
18297;0;0
18298;0;0
18299;0;0
18300;0;0
18301;0;0
18302;0;0
18303;0;0
18304;0;0
18305;0;0
18306;0;0
18307;0;0
18308;0;0
18309;0;0
18310;0;0
18311;0;0
18312;0;0
18313;0;0
18314;0;0
18315;0;0
18316;0;0
18317;0;0
18318;0;0
18319;0;0
18320;0;0
18321;0;0
18322;0;0
18323;0;0
18324;0;0
18325;0;0
18326;0;0
18327;0;0
18328;0;0
18329;0;0
18330;0;0
18331;0;0
18332;0;0
18333;0;0
18334;0;0
18335;0;0
18336;0;0
18337;0;0
18338;0;0
18339;0;0
18340;0;0
18341;0;0
18342;0;0
18343;1;1
18344;2;1
18345;2;0
18346;7;5
18347;11;4
18348;11;0
18349;11;0
18350;11;0
18351;11;0
18352;12;1
18353;12;0
18354;12;0
18355;12;0
18356;14;2
18357;14;0
18358;15;1
18359;15;0
18360;15;0
18361;15;0
18362;16;1
18363;16;0
18364;16;0
18365;16;0
18366;16;0
18367;16;0
18368;16;0
18369;16;0
18370;16;0
18371;16;0
18372;16;0
18373;16;0
18374;16;0
18375;16;0
18376;16;0
18377;16;0
18378;16;0
18379;16;0
18380;16;0
18381;16;0
18382;16;0
18383;16;0
18384;16;0
18385;16;0
18386;16;0
18387;16;0
18388;16;0
18389;16;0
18390;16;0
18391;16;0
18392;16;0
18393;16;0
18394;16;0
18395;16;0
18396;16;0
18397;16;0
18398;16;0
18399;16;0
18400;16;0
18401;16;0
18402;16;0
18403;16;0
18404;16;0
18405;16;0
18406;16;0
18407;16;0
18408;16;0
18409;16;0
18410;16;0
18411;16;0
18412;16;0
18413;16;0
18414;16;0
18415;18;2
18416;18;0
18417;18;0
18418;18;0
18419;18;0
18420;18;0
18421;18;0
18422;18;0
18423;18;0
18424;18;0
18425;18;0
18426;18;0
18427;18;0
18428;18;0
18429;18;0
18430;18;0
18431;18;0
18432;18;0
18433;18;0
18434;18;0
18435;18;0
18436;18;0
18437;18;0
18438;18;0
18439;18;0
18440;18;0
18441;18;0
18442;18;0
18443;18;0
18444;18;0
18445;18;0
18446;18;0
18447;18;0
18448;18;0
18449;18;0
18450;18;0
18451;18;0
18452;18;0
18453;18;0
18454;18;0
18455;18;0
18456;18;0
18457;18;0
18458;18;0
18459;18;0
18460;18;0
18461;18;0
18462;18;0
18463;18;0
18464;18;0
18465;18;0
18466;18;0
18467;18;0
18468;18;0
18469;18;0
18470;18;0
18471;18;0
18472;18;0
18473;18;0
18474;18;0
18475;18;0
18476;18;0
18477;18;0
18478;18;0
18479;18;0
18480;18;0
18481;18;0
18482;18;0
18483;18;0
18484;18;0
18485;18;0
18486;18;0
18487;18;0
18488;18;0
18489;18;0
18490;18;0
18491;18;0
18492;18;0
18493;18;0
18494;18;0
18495;18;0
18496;19;1
18497;19;0
18498;20;1
18499;20;0
18500;20;0
18501;20;0
18502;20;0
18503;20;0
18504;20;0
18505;20;0
18506;20;0
18507;20;0
18508;20;0
18509;20;0
18510;22;2
18511;22;0
18512;22;0
18513;22;0
18514;22;0
18515;24;2
18516;24;0
18517;24;0
18518;24;0
18519;24;0
18520;24;0
18521;24;0
18522;24;0
18523;24;0
18524;24;0
18525;24;0
18526;24;0
18527;24;0
18528;24;0
18529;24;0
18530;24;0
18531;24;0
18532;30;6
18533;30;0
18534;30;0
18535;30;0
18536;31;1
18537;31;0
18538;31;0
18539;31;0
18540;31;0
18541;31;0
18542;31;0
18543;31;0
18544;32;1
