condition;measurement;ncases
18283;0;0
18284;0;0
18285;0;0
18286;0;0
18287;0;0
18288;0;0
18289;0;0
18290;0;0
18291;0;0
18292;0;0
18293;0;0
18294;0;0
18295;0;0
18296;0;0
18297;0;0
18298;0;0
18299;0;0
18300;0;0
18301;0;0
18302;0;0
18303;0;0
18304;0;0
18305;0;0
18306;0;0
18307;0;0
18308;0;0
18309;0;0
18310;0;0
18311;0;0
18312;0;0
18313;0;0
18314;0;0
18315;0;0
18316;0;0
18317;0;0
18318;0;0
18319;0;0
18320;0;0
18321;0;0
18322;1;1
18323;1;0
18324;1;0
18325;1;0
18326;1;0
18327;2;1
18328;2;0
18329;5;3
18330;5;0
18331;5;0
18332;5;0
18333;5;0
18334;5;0
18335;11;6
18336;11;0
18337;11;0
18338;21;10
18339;21;0
18340;34;13
18341;72;38
18342;112;40
18343;202;90
18344;245;43
18345;312;67
18346;392;80
18347;488;96
18348;581;93
18349;719;138
18350;859;140
18351;901;42
18352;1109;208
18353;1284;175
18354;1380;96
18355;1488;108
18356;1488;0
18357;1745;257
18358;1828;83
18359;1956;128
18360;2111;155
18361;2349;238
18362;2620;271
18363;2759;139
18364;2967;208
18365;3167;200
18366;3286;119
18367;3614;328
18368;3755;141
18369;4126;371
18370;4335;209
18371;4680;345
18372;4964;284
18373;5044;80
18374;5300;256
18375;5543;243
18376;5749;206
18377;5926;177
18378;6135;209
18379;6293;158
18380;6416;123
18381;6652;236
18382;6972;320
18383;7288;316
18384;7578;290
18385;7954;376
18386;8235;281
18387;8480;245
18388;8807;327
18389;9095;288
18390;9376;281
18391;9882;506
18392;10347;465
18393;10634;287
18394;10900;266
18395;11196;296
18396;11320;124
18397;11739;419
18398;12110;371
18399;12314;204
18400;12725;411
18401;13223;498
18402;13477;254
18403;13657;180
18404;13989;332
18405;14422;433
18406;14801;379
18407;15073;272
18408;15264;191
18409;15723;459
18410;16068;345
18411;16531;463
18412;16908;377
18413;17285;377
18414;17572;287
18415;17752;180
18416;18040;288
18417;18319;279
18418;18708;389
18419;19195;487
18420;19600;405
18421;20126;526
18422;20415;289
18423;20808;393
18424;21437;629
18425;22008;571
18426;22572;564
18427;22962;390
18428;23271;309
18429;23686;415
18430;24105;419
18431;24645;540
18432;25068;423
18433;25778;710
18434;26677;899
18435;27370;693
18436;27936;566
18437;28631;695
18438;29141;510
18439;29764;623
18440;30619;855
18441;31373;754
18442;31816;443
18443;32568;752
18444;33387;819
18445;34197;810
18446;35148;951
18447;36184;1036
18448;37425;1241
18449;38128;703
18450;38430;302
18451;39588;1158
18452;40790;1202
18453;41915;1125
18454;43114;1199
18455;44532;1418
18456;45506;974
18457;46305;799
18458;47671;1366
18459;48743;1072
18460;50113;1370
18461;51519;1406
18462;52855;1336
18463;53956;1101
18464;54797;841
18465;56043;1246
18466;57615;1572
18467;59077;1462
18468;60896;1819
18469;62908;2012
18470;64156;1248
18471;64690;534
18472;66182;1492
18473;67915;1733
18474;69649;1734
18475;71415;1766
18476;72243;828
18477;73117;874
18478;74295;1178
18479;75660;1365
18480;76536;876
18481;77709;1173
18482;78778;1069
18483;79732;954
18484;80499;767
18485;81094;595
18486;82224;1130
18487;83134;910
18488;84488;1354
18489;85545;1057
18490;86309;764
18491;86737;428
18492;87123;386
18493;88127;1004
18494;89010;883
18495;89867;857
18496;90561;694
18497;91161;600
18498;91608;447
18499;92217;609
18500;92557;340
18501;92964;407
18502;93390;426
18503;93732;342
18504;94241;509
18505;94715;474
18506;94979;264
18507;95627;648
18508;96629;1002
18509;96629;0
18510;98776;2147
18511;99333;557
18512;99898;565
18513;100131;233
18514;100937;806
18515;101716;779
18516;102232;516
