condition;measurement;ncases
18283;0;0
18284;0;0
18285;0;0
18286;0;0
18287;0;0
18288;0;0
18289;0;0
18290;0;0
18291;0;0
18292;0;0
18293;0;0
18294;0;0
18295;0;0
18296;0;0
18297;0;0
18298;0;0
18299;0;0
18300;0;0
18301;0;0
18302;0;0
18303;0;0
18304;0;0
18305;0;0
18306;0;0
18307;0;0
18308;0;0
18309;0;0
18310;0;0
18311;0;0
18312;0;0
18313;0;0
18314;0;0
18315;0;0
18316;0;0
18317;0;0
18318;0;0
18319;0;0
18320;0;0
18321;0;0
18322;6;6
18323;6;0
18324;7;1
18325;10;3
18326;13;3
18327;13;0
18328;13;0
18329;14;1
18330;15;1
18331;15;0
18332;17;2
18333;17;0
18334;17;0
18335;28;11
18336;28;0
18337;37;9
18338;58;21
18339;111;53
18340;199;88
18341;367;168
18342;506;139
18343;789;283
18344;981;192
18345;1082;101
18346;1173;91
18347;1403;230
18348;1595;192
18349;1823;228
18350;1924;101
18351;1962;38
18352;2240;278
18353;2748;508
18354;3163;415
18355;3368;205
18356;3465;97
18357;3646;181
18358;3747;101
18359;3747;0
18360;4450;703
18361;4965;515
18362;7161;2196
18363;7257;96
18364;7466;209
18365;7529;63
18366;7603;74
18367;7858;255
18368;8225;367
18369;8450;225
18370;9022;572
18371;9468;446
18372;10128;660
18373;10398;270
18374;10850;452
18375;11183;333
18376;22719;11536
18377;22719;0
18378;22719;0
18379;23240;521
18380;24258;1018
18381;24675;417
18382;24934;259
18383;26336;1402
18384;27464;1128
18385;29538;2074
18386;31881;2343
18387;31881;0
18388;31881;0
18389;30298;-1583
18390;28818;-1480
18391;29071;253
18392;29559;488
18393;29509;-50
18394;30419;910
18395;30486;67
18396;30502;16
18397;31467;965
18398;32763;1296
18399;33182;419
18400;33582;400
18401;34151;569
18402;34854;703
18403;35306;452
18404;35828;522
18405;36258;430
18406;36756;498
18407;37355;599
18408;37355;0
18409;38103;748
18410;38471;368
18411;38571;100
18412;38571;0
18413;39098;527
18414;39098;0
18415;40414;1316
18416;40966;552
18417;40966;0
18418;41575;609
18419;42728;1153
18420;43120;392
18421;43378;258
18422;43917;539
18423;44440;523
18424;44440;0
18425;45778;1338
18426;46356;578
18427;46751;395
18428;47322;571
18429;47943;621
18430;48490;547
18431;49097;607
18432;49731;634
18433;49731;0
18434;50640;909
18435;50640;0
18436;51643;1003
18437;51643;0
18438;53156;1513
18439;53856;700
18440;54574;718
18441;55255;681
18442;55665;410
18443;56432;767
18444;58257;1825
18445;59468;1211
18446;60657;1189
18447;61535;878
18448;61958;423
18449;62380;422
18450;63245;865
18451;63245;0
18452;64221;976
18453;65018;797
18454;67209;2191
18455;67870;661
18456;68459;589
18457;69570;1111
18458;70329;759
18459;71365;1036
18460;72444;1079
18461;73382;938
18462;74013;631
18463;74620;607
18464;76217;1597
18465;77257;1040
18466;78148;891
18467;79049;901
18468;80036;987
18469;80694;658
18470;81161;467
18471;82279;1118
18472;83193;914
18473;84370;1177
18474;85355;985
18475;86232;877
18476;86232;0
18477;87041;809
18478;87963;922
18479;88866;903
18480;90537;1671
18481;91969;1432
18482;93572;1603
18483;94459;887
18484;94701;242
18485;95563;862
18486;97110;1547
18487;98343;1233
18488;99409;1066
18489;100688;1279
18490;101542;854
18491;101751;209
18492;102941;1190
18493;104475;1534
18494;105508;1033
18495;106481;973
18496;107089;608
18497;107769;680
18498;108289;520
18499;109030;741
18500;110549;1519
18501;111219;670
18502;112141;922
18503;112906;765
18504;113648;742
18505;113767;119
18506;114309;542
18507;115457;1148
18508;116360;903
18509;117175;815
18510;118045;870
18511;118045;0
18512;110092;-7953
18513;110757;665
18514;112166;1409
