condition;measurement;ncases
18283;0;0
18284;0;0
18285;0;0
18286;0;0
18287;0;0
18288;0;0
18289;0;0
18290;0;0
18291;0;0
18292;0;0
18293;0;0
18294;0;0
18295;0;0
18296;0;0
18297;0;0
18298;0;0
18299;0;0
18300;0;0
18301;0;0
18302;0;0
18303;0;0
18304;0;0
18305;0;0
18306;1;1
18307;1;0
18308;1;0
18309;1;0
18310;1;0
18311;1;0
18312;1;0
18313;1;0
18314;1;0
18315;1;0
18316;1;0
18317;1;0
18318;1;0
18319;1;0
18320;1;0
18321;1;0
18322;2;1
18323;2;0
18324;2;0
18325;2;0
18326;3;1
18327;15;12
18328;15;0
18329;49;34
18330;55;6
18331;59;4
18332;60;1
18333;67;7
18334;80;13
18335;109;29
18336;110;1
18337;150;40
18338;196;46
18339;196;0
18340;256;60
18341;285;29
18342;294;9
18343;327;33
18344;366;39
18345;402;36
18346;456;54
18347;495;39
18348;536;41
18349;576;40
18350;609;33
18351;656;47
18352;710;54
18353;779;69
18354;865;86
18355;985;120
18356;1070;85
18357;1173;103
18358;1322;149
18359;1450;128
18360;1560;110
18361;1699;139
18362;1794;95
18363;1939;145
18364;2065;126
18365;2190;125
18366;2350;160
18367;2505;155
18368;2673;168
18369;2844;171
18370;3032;188
18371;3144;112
18372;3333;189
18373;3490;157
18374;3659;169
18375;3891;232
18376;4092;201
18377;4319;227
18378;4534;215
18379;4782;248
18380;5042;260
18381;5268;226
18382;5537;269
18383;5895;358
18384;6193;298
18385;6465;272
18386;6813;348
18387;7201;388
18388;7588;387
18389;7981;393
18390;8476;495
18391;8964;488
18392;9400;436
18393;9746;346
18394;10093;347
18395;10431;338
18396;10829;398
18397;11228;399
18398;11719;491
18399;12229;510
18400;12764;535
18401;13484;720
18402;14229;745
18403;15003;774
18404;15786;783
18405;16513;727
18406;17265;752
18407;17967;702
18408;18756;789
18409;19666;910
18410;20793;1127
18411;22082;1289
18412;23449;1367
18413;24985;1536
18414;26384;1399
18415;27536;1152
18416;28615;1079
18417;29767;1152
18418;31115;1348
18419;32612;1497
18420;34079;1467
18421;35444;1365
18422;36829;1385
18423;38284;1455
18424;39726;1442
18425;41303;1577
18426;42980;1677
18427;44598;1618
18428;46289;1691
18429;47856;1567
18430;49219;1363
18431;50437;1218
18432;52211;1774
18433;53758;1547
18434;55233;1475
18435;56809;1576
18436;58141;1332
18437;59561;1420
18438;61130;1569
18439;62755;1625
18440;63923;1168
18441;65188;1265
18442;66754;1566
18443;68311;1557
18444;69814;1503
18445;71299;1485
18446;72711;1412
18447;74035;1324
18448;75253;1218
18449;76222;969
18450;77279;1057
18451;78304;1025
18452;79254;950
18453;80235;981
18454;81158;923
18455;82070;912
18456;83001;931
18457;83930;929
18458;84843;913
18459;85771;928
18460;86474;703
18461;87172;698
18462;87775;603
18463;88402;627
18464;89078;676
18465;89745;667
18466;90413;668
18467;91072;659
18468;91583;511
18469;92062;479
18470;92482;420
18471;92947;465
18472;93356;409
18473;93757;401
18474;94078;321
18475;94316;238
18476;94483;167
18477;94640;157
18478;94752;112
18479;94875;123
18480;95006;131
18481;95147;141
18482;95314;167
18483;95492;178
18484;95666;174
18485;95834;168
18486;95963;129
18487;96108;145
18488;96220;112
18489;96336;116
18490;96475;139
18491;96590;115
18492;96753;163
18493;96914;161
18494;97025;111
18495;97148;123
18496;97237;89
18497;97340;103
18498;97478;138
18499;97619;141
18500;97825;206
18501;98062;237
18502;98285;223
18503;98497;212
18504;98727;230
18505;98939;212
18506;99115;176
18507;99280;165
18508;99425;145
18509;99582;157
18510;99712;130
18511;99863;151
18512;100041;178
18513;100228;187
18514;100403;175
18515;100557;154
