condition;measurement;ncases
18283;0;0
18284;0;0
18285;0;0
18286;0;0
18287;0;0
18288;0;0
18289;0;0
18290;0;0
18291;0;0
18292;0;0
18293;0;0
18294;0;0
18295;0;0
18296;0;0
18297;0;0
18298;0;0
18299;0;0
18300;0;0
18301;0;0
18302;0;0
18303;0;0
18304;0;0
18305;0;0
18306;0;0
18307;0;0
18308;0;0
18309;0;0
18310;0;0
18311;0;0
18312;0;0
18313;0;0
18314;0;0
18315;0;0
18316;0;0
18317;0;0
18318;0;0
18319;0;0
18320;0;0
18321;0;0
18322;0;0
18323;0;0
18324;0;0
18325;0;0
18326;0;0
18327;0;0
18328;0;0
18329;0;0
18330;0;0
18331;0;0
18332;0;0
18333;0;0
18334;0;0
18335;0;0
18336;1;1
18337;1;0
18338;1;0
18339;4;3
18340;6;2
18341;6;0
18342;6;0
18343;6;0
18344;9;3
18345;9;0
18346;9;0
18347;12;3
18348;12;0
18349;12;0
18350;12;0
18351;12;0
18352;12;0
18353;15;3
18354;15;0
18355;16;1
18356;16;0
18357;16;0
18358;16;0
18359;16;0
18360;18;2
18361;18;0
18362;18;0
18363;18;0
18364;21;3
18365;21;0
18366;41;20
18367;51;10
18368;51;0
18369;79;28
18370;79;0
18371;79;0
18372;79;0
18373;83;4
18374;84;1
18375;84;0
18376;214;130
18377;258;44
18378;258;0
18379;258;0
18380;315;57
18381;315;0
18382;315;0
18383;315;0
18384;315;0
18385;315;0
18386;315;0
18387;315;0
18388;439;124
18389;439;0
18390;439;0
18391;439;0
18392;439;0
18393;439;0
18394;439;0
18395;522;83
18396;583;61
18397;594;11
18398;594;0
18399;594;0
18400;719;125
18401;825;106
18402;890;65
18403;903;13
18404;960;57
18405;960;0
18406;960;0
18407;1043;83
18408;1043;0
18409;1043;0
18410;1043;0
18411;1306;263
18412;1306;0
18413;1306;0
18414;1306;0
18415;1306;0
18416;1306;0
18417;1306;0
18418;1306;0
18419;1306;0
18420;1306;0
18421;1306;0
18422;1306;0
18423;1306;0
18424;1306;0
18425;1306;0
18426;1306;0
18427;1306;0
18428;1306;0
18429;1664;358
18430;1664;0
18431;1664;0
18432;1664;0
18433;1664;0
18434;1664;0
18435;1664;0
18436;1664;0
18437;1664;0
18438;2001;337
18439;2001;0
18440;2001;0
18441;2001;0
18442;2001;0
18443;2001;0
18444;2001;0
18445;3071;1070
18446;3071;0
18447;3071;0
18448;3071;0
18449;3071;0
18450;3071;0
18451;3071;0
18452;3071;0
18453;3071;0
18454;3071;0
18455;3071;0
18456;3071;0
18457;3071;0
18458;3071;0
18459;3071;0
18460;3071;0
18461;3071;0
18462;3071;0
18463;3071;0
18464;3071;0
18465;3071;0
18466;3071;0
18467;3071;0
18468;3071;0
18469;3071;0
18470;3071;0
18471;3071;0
18472;3071;0
18473;3071;0
18474;4821;1750
18475;4821;0
18476;4821;0
18477;4821;0
18478;4821;0
18479;4821;0
18480;4821;0
18481;4821;0
18482;4821;0
18483;4821;0
18484;4821;0
18485;4821;0
18486;4821;0
18487;4821;0
18488;4821;0
18489;4821;0
18490;4821;0
18491;4821;0
18492;4821;0
18493;4892;71
18494;4892;0
18495;4926;34
18496;4926;0
18497;4926;0
18498;4926;0
18499;4926;0
18500;4928;2
18501;4928;0
18502;4941;13
18503;4941;0
18504;4941;0
18505;4941;0
18506;4965;24
18507;4965;0
18508;4965;0
18509;4972;7
18510;4972;0
18511;4972;0
18512;4985;13
18513;4985;0
18514;4990;5
18515;4990;0
18516;4996;6
18517;4996;0
18518;4996;0
18519;5000;4
18520;5000;0
18521;5000;0
18522;5002;2
18523;5002;0
18524;5002;0
18525;5002;0
18526;5002;0
18527;5018;16
