condition;measurement;ncases
18283;0;0
18284;0;0
18285;0;0
18286;0;0
18287;0;0
18288;0;0
18289;0;0
18290;0;0
18291;0;0
18292;0;0
18293;0;0
18294;0;0
18295;0;0
18296;0;0
18297;0;0
18298;0;0
18299;0;0
18300;0;0
18301;0;0
18302;0;0
18303;0;0
18304;0;0
18305;0;0
18306;0;0
18307;0;0
18308;0;0
18309;0;0
18310;0;0
18311;0;0
18312;0;0
18313;0;0
18314;0;0
18315;0;0
18316;0;0
18317;0;0
18318;0;0
18319;0;0
18320;0;0
18321;0;0
18322;0;0
18323;0;0
18324;0;0
18325;0;0
18326;0;0
18327;0;0
18328;0;0
18329;0;0
18330;0;0
18331;0;0
18332;0;0
18333;0;0
18334;0;0
18335;0;0
18336;0;0
18337;0;0
18338;0;0
18339;0;0
18340;0;0
18341;0;0
18342;1;1
18343;1;0
18344;1;0
18345;1;0
18346;4;3
18347;6;2
18348;6;0
18349;6;0
18350;12;6
18351;12;0
18352;15;3
18353;15;0
18354;22;7
18355;22;0
18356;29;7
18357;29;0
18358;31;2
18359;31;0
18360;33;2
18361;33;0
18362;34;1
18363;34;0
18364;34;0
18365;34;0
18366;34;0
18367;35;1
18368;35;0
18369;35;0
18370;39;4
18371;39;0
18372;39;0
18373;39;0
18374;39;0
18375;39;0
18376;39;0
18377;39;0
18378;39;0
18379;39;0
18380;39;0
18381;39;0
18382;39;0
18383;39;0
18384;39;0
18385;39;0
18386;39;0
18387;39;0
18388;39;0
18389;39;0
18390;39;0
18391;39;0
18392;39;0
18393;39;0
18394;39;0
18395;39;0
18396;39;0
18397;39;0
18398;39;0
18399;39;0
18400;39;0
18401;39;0
18402;39;0
18403;39;0
18404;39;0
18405;39;0
18406;39;0
18407;39;0
18408;39;0
18409;39;0
18410;39;0
18411;39;0
18412;39;0
18413;39;0
18414;39;0
18415;39;0
18416;39;0
18417;39;0
18418;39;0
18419;39;0
18420;39;0
18421;39;0
18422;39;0
18423;41;2
18424;41;0
18425;41;0
18426;65;24
18427;96;31
18428;109;13
18429;121;12
18430;131;10
18431;142;11
18432;142;0
18433;143;1
18434;143;0
18435;143;0
18436;143;0
18437;144;1
18438;144;0
18439;167;23
18440;191;24
18441;191;0
18442;191;0
18443;203;12
18444;203;0
18445;215;12
18446;215;0
18447;215;0
18448;215;0
18449;215;0
18450;215;0
18451;215;0
18452;232;17
18453;232;0
18454;232;0
18455;232;0
18456;232;0
18457;232;0
18458;232;0
18459;251;19
18460;251;0
18461;251;0
18462;251;0
18463;251;0
18464;251;0
18465;251;0
18466;261;10
18467;261;0
18468;263;2
18469;263;0
18470;265;2
18471;265;0
18472;265;0
18473;279;14
18474;279;0
18475;279;0
18476;279;0
18477;282;3
18478;282;0
18479;282;0
18480;282;0
18481;285;3
18482;285;0
18483;285;0
18484;285;0
18485;285;0
18486;285;0
18487;285;0
18488;285;0
18489;285;0
18490;285;0
18491;285;0
18492;304;19
18493;304;0
18494;306;2
18495;306;0
18496;306;0
18497;306;0
18498;306;0
18499;315;9
18500;315;0
18501;317;2
18502;317;0
18503;318;1
18504;318;0
18505;319;1
18506;319;0
18507;319;0
18508;330;11
18509;330;0
18510;330;0
18511;330;0
18512;330;0
18513;341;11
18514;341;0
18515;361;20
18516;361;0
18517;361;0
18518;361;0
18519;361;0
18520;364;3
18521;364;0
18522;364;0
18523;364;0
18524;364;0
18525;364;0
18526;364;0
18527;364;0
18528;364;0
18529;369;5
18530;369;0
18531;375;6
18532;375;0
18533;375;0
18534;375;0
18535;375;0
18536;381;6
18537;381;0
18538;398;17
18539;398;0
18540;398;0
18541;398;0
18542;398;0
18543;405;7
18544;405;0
