condition;measurement;ncases
18283;0;0
18284;0;0
18285;0;0
18286;0;0
18287;0;0
18288;0;0
18289;0;0
18290;0;0
18291;0;0
18292;0;0
18293;0;0
18294;0;0
18295;0;0
18296;0;0
18297;0;0
18298;0;0
18299;0;0
18300;0;0
18301;0;0
18302;0;0
18303;0;0
18304;0;0
18305;0;0
18306;0;0
18307;0;0
18308;0;0
18309;0;0
18310;0;0
18311;0;0
18312;0;0
18313;0;0
18314;0;0
18315;0;0
18316;0;0
18317;0;0
18318;0;0
18319;0;0
18320;0;0
18321;0;0
18322;0;0
18323;0;0
18324;0;0
18325;0;0
18326;0;0
18327;0;0
18328;0;0
18329;0;0
18330;0;0
18331;0;0
18332;0;0
18333;0;0
18334;0;0
18335;0;0
18336;0;0
18337;0;0
18338;0;0
18339;0;0
18340;1;1
18341;1;0
18342;1;0
18343;2;1
18344;3;1
18345;4;1
18346;5;1
18347;5;0
18348;5;0
18349;5;0
18350;5;0
18351;5;0
18352;5;0
18353;5;0
18354;7;2
18355;7;0
18356;12;5
18357;12;0
18358;14;2
18359;15;1
18360;15;0
18361;15;0
18362;16;1
18363;16;0
18364;16;0
18365;16;0
18366;16;0
18367;16;0
18368;17;1
18369;17;0
18370;17;0
18371;17;0
18372;18;1
18373;18;0
18374;18;0
18375;18;0
18376;18;0
18377;18;0
18378;18;0
18379;18;0
18380;18;0
18381;18;0
18382;18;0
18383;18;0
18384;18;0
18385;18;0
18386;18;0
18387;18;0
18388;18;0
18389;18;0
18390;18;0
18391;18;0
18392;18;0
18393;18;0
18394;18;0
18395;18;0
18396;18;0
18397;18;0
18398;18;0
18399;18;0
18400;18;0
18401;18;0
18402;18;0
18403;18;0
18404;18;0
18405;18;0
18406;18;0
18407;18;0
18408;18;0
18409;18;0
18410;18;0
18411;18;0
18412;18;0
18413;18;0
18414;18;0
18415;18;0
18416;18;0
18417;18;0
18418;18;0
18419;18;0
18420;18;0
18421;18;0
18422;18;0
18423;18;0
18424;18;0
18425;18;0
18426;18;0
18427;18;0
18428;18;0
18429;18;0
18430;18;0
18431;18;0
18432;18;0
18433;18;0
18434;18;0
18435;18;0
18436;18;0
18437;18;0
18438;18;0
18439;18;0
18440;18;0
18441;18;0
18442;18;0
18443;18;0
18444;18;0
18445;18;0
18446;18;0
18447;18;0
18448;19;1
18449;21;2
18450;21;0
18451;21;0
18452;26;5
18453;26;0
18454;26;0
18455;26;0
18456;26;0
18457;26;0
18458;26;0
18459;26;0
18460;26;0
18461;26;0
18462;27;1
18463;27;0
18464;27;0
18465;27;0
18466;27;0
18467;27;0
18468;27;0
18469;27;0
18470;27;0
18471;27;0
18472;27;0
18473;27;0
18474;27;0
18475;27;0
18476;27;0
18477;27;0
18478;27;0
18479;27;0
18480;27;0
18481;27;0
18482;27;0
18483;27;0
18484;27;0
18485;27;0
18486;27;0
18487;28;1
18488;28;0
18489;28;0
18490;28;0
18491;28;0
18492;28;0
18493;28;0
18494;28;0
18495;28;0
18496;28;0
18497;28;0
18498;28;0
18499;28;0
18500;28;0
18501;28;0
18502;28;0
18503;28;0
18504;28;0
18505;28;0
18506;29;1
18507;29;0
18508;29;0
18509;29;0
18510;31;2
18511;31;0
18512;31;0
18513;31;0
18514;32;1
18515;32;0
18516;32;0
18517;32;0
18518;32;0
18519;32;0
18520;32;0
18521;32;0
18522;32;0
18523;32;0
18524;32;0
18525;32;0
18526;32;0
18527;32;0
18528;32;0
18529;32;0
18530;32;0
18531;32;0
18532;32;0
18533;32;0
18534;32;0
18535;32;0
18536;32;0
18537;32;0
18538;32;0
18539;32;0
18540;32;0
18541;32;0
18542;32;0
18543;32;0
18544;32;0
