condition;measurement;ncases
18283;0;0
18284;0;0
18285;2;2
18286;3;1
18287;3;0
18288;3;0
18289;4;1
18290;5;1
18291;5;0
18292;5;0
18293;6;1
18294;6;0
18295;6;0
18296;6;0
18297;6;0
18298;6;0
18299;6;0
18300;11;5
18301;11;0
18302;11;0
18303;11;0
18304;11;0
18305;11;0
18306;11;0
18307;12;1
18308;12;0
18309;12;0
18310;12;0
18311;12;0
18312;12;0
18313;12;0
18314;12;0
18315;12;0
18316;12;0
18317;14;2
18318;18;4
18319;38;20
18320;57;19
18321;100;43
18322;130;30
18323;191;61
18324;212;21
18325;288;76
18326;426;138
18327;616;190
18328;948;332
18329;1125;177
18330;1411;286
18331;1783;372
18332;2293;510
18333;2293;0
18334;3681;1388
18335;4496;815
18336;4532;36
18337;6683;2151
18338;7715;1032
18339;9124;1409
18340;10970;1846
18341;12758;1788
18342;14463;1705
18343;16758;2295
18344;20123;3365
18345;22372;2249
18346;25334;2962
18347;29252;3918
18348;33047;3795
18349;37692;4645
18350;40295;2603
18351;44649;4354
18352;52278;7629
18353;57122;4844
18354;59228;2106
18355;64452;5224
18356;47378;-17074
18357;48233;855
18358;50887;2654
18359;47396;-3491
18360;51251;3855
18361;55035;3784
18362;56600;1565
18363;58045;1445
18364;108791;50746
18365;111932;3141
18366;129380;17448
18367;132588;3208
18368;145166;12578
18369;147057;1891
18370;150863;3806
18371;151955;1092
18372;154402;2447
18373;157068;2666
18374;158868;1800
18375;157158;-1710
18376;159969;2811
18377;161647;1678
18378;162280;633
18379;165966;3686
18380;169098;3132
18381;167643;-1455
18382;168861;1218
18383;169387;526
18384;170179;792
18385;170540;361
18386;171102;562
18387;172219;1117
18388;176355;4136
18389;177096;741
18390;177627;531
18391;178156;529
18392;178405;249
18393;178719;314
18394;179472;753
18395;179993;521
18396;180635;642
18397;181148;513
18398;181563;415
18399;181703;140
18400;182147;444
18401;182648;501
18402;183130;482
18403;183397;267
18404;184153;756
18405;184699;546
18406;184260;-439
18407;184585;325
18408;184840;255
18409;185012;172
18410;188355;3343
18411;188949;594
18412;190744;1795
18413;190975;231
18414;191382;407
18415;190735;-647
18416;187509;-3226
18417;191869;4360
18418;192450;581
18419;193022;572
18420;193363;341
18421;193637;274
18422;194190;553
18423;194815;625
18424;195179;364
18425;195981;802
18426;196478;497
18427;196868;390
18428;197004;136
18429;197667;663
18430;198155;488
18431;198741;586
18432;199528;787
18433;200147;619
18434;200490;343
18435;200632;142
18436;201330;698
18437;201598;268
18438;201853;255
18439;203116;1263
18440;203564;448
18441;203158;-406
18442;203803;645
18443;204244;441
18444;205234;990
18445;205773;539
18446;206312;539
18447;206670;358
18448;206681;11
18449;207699;1018
18450;208153;454
18451;208975;822
18452;209419;444
18453;210134;715
18454;210385;251
18455;210401;16
18456;211824;1423
18457;211886;62
18458;212613;727
18459;213182;569
18460;214011;829
18461;214174;163
18462;214178;4
18463;216089;1911
18464;216684;595
18465;217605;921
18466;218841;1236
18467;219932;1091
18468;220020;88
18469;220020;0
18470;222508;2488
18471;223072;564
18472;224542;1470
18473;225931;1389
18474;227239;1308
18475;227302;63
18476;227305;3
18477;230665;3360
18478;231636;971
18479;233344;1708
18480;234945;1601
18481;237332;2387
18482;237402;70
18483;237437;35
18484;242168;4731
18485;243582;1414
18486;246180;2598
18487;248858;2678
18488;251781;2923
18489;254991;3210
18490;257994;3003
18491;258644;650
18492;260763;2119
18493;264535;3772
18494;269335;4800
18495;274344;5009
18496;277818;3474
18497;282498;4680
18498;284474;1976
18499;288090;3616
18500;288377;287
18501;299580;11203
18502;307221;7641
18503;312681;5460
18504;318047;5366
18505;321160;3113
