condition;measurement;ncases
18283;0;0
18284;0;0
18285;0;0
18286;0;0
18287;0;0
18288;0;0
18289;0;0
18290;0;0
18291;0;0
18292;0;0
18293;0;0
18294;0;0
18295;0;0
18296;0;0
18297;0;0
18298;0;0
18299;0;0
18300;0;0
18301;0;0
18302;0;0
18303;0;0
18304;0;0
18305;0;0
18306;0;0
18307;0;0
18308;0;0
18309;0;0
18310;0;0
18311;0;0
18312;0;0
18313;0;0
18314;0;0
18315;0;0
18316;0;0
18317;0;0
18318;0;0
18319;0;0
18320;0;0
18321;0;0
18322;0;0
18323;0;0
18324;0;0
18325;0;0
18326;0;0
18327;0;0
18328;0;0
18329;0;0
18330;0;0
18331;0;0
18332;0;0
18333;0;0
18334;0;0
18335;1;1
18336;1;0
18337;1;0
18338;1;0
18339;1;0
18340;1;0
18341;3;2
18342;4;1
18343;5;1
18344;5;0
18345;6;1
18346;6;0
18347;7;1
18348;7;0
18349;7;0
18350;7;0
18351;7;0
18352;16;9
18353;18;2
18354;21;3
18355;21;0
18356;21;0
18357;21;0
18358;24;3
18359;30;6
18360;34;4
18361;44;10
18362;44;0
18363;46;2
18364;49;3
18365;57;8
18366;57;0
18367;80;23
18368;80;0
18369;108;28
18370;108;0
18371;109;1
18372;120;11
18373;156;36
18374;166;10
18375;167;1
18376;172;5
18377;176;4
18378;176;0
18379;211;35
18380;238;27
18381;276;38
18382;276;0
18383;276;0
18384;335;59
18385;335;0
18386;367;32
18387;397;30
18388;397;0
18389;504;107
18390;620;116
18391;661;41
18392;661;0
18393;802;141
18394;863;61
18395;1004;141
18396;1104;100
18397;1209;105
18398;1320;111
18399;1320;0
18400;1432;112
18401;1502;70
18402;1567;65
18403;1567;0
18404;1728;161
18405;1934;206
18406;1934;0
18407;2135;201
18408;2238;103
18409;2319;81
18410;2431;112
18411;2613;182
18412;2655;42
18413;2655;0
18414;2655;0
18415;2803;148
18416;2902;99
18417;2955;53
18418;3101;146
18419;3101;0
18420;3101;0
18421;3101;0
18422;3247;146
18423;3375;128
18424;3463;88
18425;3463;0
18426;3463;0
18427;3463;0
18428;4033;570
18429;4114;81
18430;4229;115
18431;4340;111
18432;4428;88
18433;4428;0
18434;4428;0
18435;4739;311
18436;4849;110
18437;4956;107
18438;5087;131
18439;5209;122
18440;5209;0
18441;5209;0
18442;5394;185
18443;5394;0
18444;5513;119
18445;5513;0
18446;5620;107
18447;5620;0
18448;5620;0
18449;5743;123
18450;5743;0
18451;5871;128
18452;5871;0
18453;5942;71
18454;5942;0
18455;5942;0
18456;6026;84
18457;6026;0
18458;6121;95
18459;6121;0
18460;6315;194
18461;6315;0
18462;6315;0
18463;6433;118
18464;6433;0
18465;6588;155
18466;6588;0
18467;6984;396
18468;6984;0
18469;6984;0
18470;7189;205
18471;7189;0
18472;7352;163
18473;7352;0
18474;7352;0
18475;7531;179
18476;7531;0
18477;7646;115
18478;7646;0
18479;7787;141
18480;7787;0
18481;7923;136
18482;7923;0
18483;7923;0
18484;8006;83
18485;8006;0
18486;8077;71
18487;8077;0
18488;8225;148
18489;8225;0
18490;8225;0
18491;8270;45
18492;8270;0
18493;8319;49
18494;8319;0
18495;8388;69
18496;8388;0
18497;8388;0
18498;8409;21
18499;8409;0
18500;8468;59
18501;8468;0
18502;8505;37
18503;8505;0
18504;8505;0
18505;8533;28
18506;8533;0
18507;8538;5
18508;8538;0
18509;8601;63
18510;8601;0
18511;8601;0
18512;8608;7
18513;8608;0
18514;8621;13
18515;8621;0
18516;8643;22
18517;8643;0
18518;8643;0
18519;8654;11
18520;8654;0
18521;8678;24
18522;8678;0
18523;8696;18
18524;8696;0
18525;8696;0
