condition;measurement;ncases
18283;0;0
18284;0;0
18285;0;0
18286;0;0
18287;0;0
18288;0;0
18289;0;0
18290;0;0
18291;0;0
18292;0;0
18293;0;0
18294;0;0
18295;0;0
18296;0;0
18297;0;0
18298;0;0
18299;0;0
18300;0;0
18301;0;0
18302;0;0
18303;0;0
18304;0;0
18305;0;0
18306;0;0
18307;0;0
18308;0;0
18309;0;0
18310;0;0
18311;0;0
18312;0;0
18313;0;0
18314;0;0
18315;0;0
18316;0;0
18317;0;0
18318;0;0
18319;0;0
18320;0;0
18321;0;0
18322;0;0
18323;0;0
18324;0;0
18325;0;0
18326;0;0
18327;0;0
18328;0;0
18329;0;0
18330;0;0
18331;0;0
18332;0;0
18333;0;0
18334;0;0
18335;3;3
18336;6;3
18337;6;0
18338;7;1
18339;7;0
18340;11;4
18341;16;5
18342;19;3
18343;23;4
18344;27;4
18345;53;26
18346;93;40
18347;132;39
18348;137;5
18349;141;4
18350;152;11
18351;152;0
18352;161;9
18353;195;34
18354;204;9
18355;205;1
18356;205;0
18357;214;9
18358;214;0
18359;287;73
18360;313;26
18361;378;65
18362;378;0
18363;408;30
18364;566;158
18365;566;0
18366;636;70
18367;636;0
18368;641;5
18369;641;0
18370;834;193
18371;1042;208
18372;1042;0
18373;1042;0
18374;1154;112
18375;1154;0
18376;1279;125
18377;1279;0
18378;1550;271
18379;1550;0
18380;1671;121
18381;1671;0
18382;2074;403
18383;2074;0
18384;2169;95
18385;2169;0
18386;2719;550
18387;2719;0
18388;3091;372
18389;3091;0
18390;4012;921
18391;4263;251
18392;4263;0
18393;4700;437
18394;5127;427
18395;5408;281
18396;5530;122
18397;5638;108
18398;5735;97
18399;5735;0
18400;5735;0
18401;6096;361
18402;6269;173
18403;6269;0
18404;6486;217
18405;6617;131
18406;6683;66
18407;6808;125
18408;7117;309
18409;7303;186
18410;7303;0
18411;7616;313
18412;7768;152
18413;8070;302
18414;8070;0
18415;8297;227
18416;8548;251
18417;8885;337
18418;9168;283
18419;9462;294
18420;9638;176
18421;9910;272
18422;10201;291
18423;10201;0
18424;10358;157
18425;10856;498
18426;11118;262
18427;11964;846
18428;11964;0
18429;12193;229
18430;12590;397
18431;12929;339
18432;13203;274
18433;13717;514
18434;14154;437
18435;14154;0
18436;14568;414
18437;15013;445
18438;15473;460
18439;15834;361
18440;16431;597
18441;16742;311
18442;17351;609
18443;17741;390
18444;18134;393
18445;18134;0
18446;19388;1254
18447;19388;0
18448;20085;697
18449;21077;992
18450;21968;891
18451;22822;854
18452;23463;641
18453;23834;371
18454;24248;414
18455;24518;270
18456;24988;470
18457;24988;0
18458;25430;442
18459;26125;695
18460;26572;447
18461;27060;488
18462;27667;607
18463;28430;763
18464;28989;559
18465;29672;683
18466;29672;0
18467;31057;1385
18468;31851;794
18469;32969;1118
18470;33624;655
18471;34406;782
18472;35142;736
18473;35142;0
18474;35501;359
18475;37014;1513
18476;37014;0
18477;37812;798
18478;37812;0
18479;39075;1263
18480;39642;567
18481;40097;455
18482;40533;436
18483;41003;470
18484;41212;209
18485;41404;192
18486;41572;168
18487;41725;153
18488;41847;122
18489;42210;363
18490;42532;322
18491;42653;121
18492;42993;340
18493;43094;101
18494;43260;166
18495;43325;65
18496;43325;0
18497;43505;180
18498;43622;117
18499;43717;95
18500;43769;52
18501;43841;72
18502;43949;108
18503;44118;169
18504;44205;87
18505;44298;93
18506;44460;162
18507;44658;198
18508;44713;55
18509;44777;64
18510;44777;0
18511;44777;0
18512;44869;92
18513;45012;143
18514;45313;301
18515;45313;0
18516;45388;75
18517;45434;46
18518;45434;0
18519;45601;167
18520;45655;54
18521;45655;0
18522;45714;59
