condition;measurement;ncases
18283;0;0
18284;0;0
18285;0;0
18286;0;0
18287;0;0
18288;0;0
18289;0;0
18290;0;0
18291;0;0
18292;0;0
18293;0;0
18294;0;0
18295;0;0
18296;0;0
18297;0;0
18298;0;0
18299;0;0
18300;0;0
18301;0;0
18302;0;0
18303;0;0
18304;0;0
18305;0;0
18306;0;0
18307;0;0
18308;0;0
18309;0;0
18310;0;0
18311;0;0
18312;0;0
18313;0;0
18314;0;0
18315;0;0
18316;0;0
18317;0;0
18318;0;0
18319;0;0
18320;0;0
18321;0;0
18322;0;0
18323;0;0
18324;0;0
18325;0;0
18326;0;0
18327;0;0
18328;0;0
18329;0;0
18330;0;0
18331;0;0
18332;0;0
18333;1;1
18334;1;0
18335;1;0
18336;4;3
18337;4;0
18338;7;3
18339;7;0
18340;7;0
18341;7;0
18342;7;0
18343;19;12
18344;20;1
18345;5;-15
18346;5;0
18347;5;0
18348;5;0
18349;8;3
18350;8;0
18351;8;0
18352;12;4
18353;19;7
18354;19;0
18355;23;4
18356;23;0
18357;24;1
18358;31;7
18359;33;2
18360;37;4
18361;37;0
18362;37;0
18363;45;8
18364;45;0
18365;45;0
18366;47;2
18367;55;8
18368;55;0
18369;63;8
18370;63;0
18371;65;2
18372;65;0
18373;66;1
18374;67;1
18375;70;3
18376;73;3
18377;73;0
18378;74;1
18379;74;0
18380;74;0
18381;78;4
18382;82;4
18383;82;0
18384;82;0
18385;82;0
18386;92;10
18387;93;1
18388;93;0
18389;93;0
18390;94;1
18391;94;0
18392;104;10
18393;109;5
18394;113;4
18395;113;0
18396;113;0
18397;116;3
18398;117;1
18399;117;0
18400;124;7
18401;125;1
18402;125;0
18403;127;2
18404;127;0
18405;127;0
18406;135;8
18407;137;2
18408;139;2
18409;139;0
18410;150;11
18411;150;0
18412;152;2
18413;153;1
18414;153;0
18415;153;0
18416;153;0
18417;153;0
18418;153;0
18419;154;1
18420;154;0
18421;154;0
18422;156;2
18423;156;0
18424;158;2
18425;159;1
18426;159;0
18427;159;0
18428;159;0
18429;171;12
18430;171;0
18431;183;12
18432;183;0
18433;183;0
18434;184;1
18435;205;21
18436;206;1
18437;209;3
18438;215;6
18439;215;0
18440;230;15
18441;230;0
18442;235;5
18443;245;10
18444;248;3
18445;250;2
18446;256;6
18447;272;16
18448;273;1
18449;273;0
18450;284;11
18451;284;0
18452;286;2
18453;290;4
18454;291;1
18455;297;6
18456;300;3
18457;308;8
18458;313;5
18459;315;2
18460;320;5
18461;327;7
18462;336;9
18463;337;1
18464;339;2
18465;350;11
18466;351;1
18467;352;1
18468;360;8
18469;370;10
18470;389;19
18471;396;7
18472;398;2
18473;401;3
18474;413;12
18475;430;17
18476;474;44
18477;474;0
18478;497;23
18479;509;12
18480;538;29
18481;538;0
18482;554;16
18483;568;14
18484;568;0
18485;602;34
18486;623;21
18487;631;8
18488;649;18
18489;674;25
18490;709;35
18491;709;0
18492;737;28
18493;776;39
18494;846;70
18495;881;35
18496;925;44
18497;955;30
18498;1029;74
18499;1060;31
18500;1093;33
18501;1140;47
18502;1180;40
18503;1184;4
18504;1234;50
18505;1306;72
18506;1373;67
18507;1382;9
18508;1401;19
18509;1401;0
18510;1459;58
18511;1468;9
18512;1560;92
18513;1613;53
18514;1703;90
18515;1750;47
18516;1763;13
18517;1812;49
18518;1853;41
18519;1884;31
18520;1958;74
18521;1958;0
18522;2027;69
18523;2102;75
18524;2168;66
18525;2269;101
18526;2402;133
18527;2437;35
18528;2535;98
18529;2579;44
18530;2709;130
18531;2725;16
18532;2772;47
18533;2787;15
18534;2846;59
18535;2894;48
18536;2929;35
18537;2968;39
18538;2968;0
