condition;measurement;ncases
18283;0;0
18284;0;0
18285;0;0
18286;0;0
18287;0;0
18288;0;0
18289;0;0
18290;0;0
18291;0;0
18292;0;0
18293;0;0
18294;0;0
18295;0;0
18296;0;0
18297;0;0
18298;0;0
18299;0;0
18300;0;0
18301;0;0
18302;0;0
18303;0;0
18304;0;0
18305;0;0
18306;0;0
18307;0;0
18308;0;0
18309;0;0
18310;0;0
18311;0;0
18312;0;0
18313;0;0
18314;0;0
18315;0;0
18316;0;0
18317;0;0
18318;0;0
18319;0;0
18320;0;0
18321;0;0
18322;0;0
18323;0;0
18324;0;0
18325;0;0
18326;0;0
18327;0;0
18328;0;0
18329;0;0
18330;0;0
18331;0;0
18332;0;0
18333;0;0
18334;0;0
18335;0;0
18336;0;0
18337;0;0
18338;0;0
18339;0;0
18340;0;0
18341;2;2
18342;2;0
18343;2;0
18344;2;0
18345;7;5
18346;7;0
18347;8;1
18348;8;0
18349;8;0
18350;8;0
18351;15;7
18352;15;0
18353;15;0
18354;16;1
18355;16;0
18356;18;2
18357;18;0
18358;21;3
18359;24;3
18360;25;1
18361;27;2
18362;30;3
18363;30;0
18364;31;1
18365;31;0
18366;40;9
18367;40;0
18368;41;1
18369;41;0
18370;43;2
18371;44;1
18372;44;0
18373;47;3
18374;57;10
18375;58;1
18376;62;4
18377;72;10
18378;72;0
18379;72;0
18380;74;2
18381;76;2
18382;76;0
18383;76;0
18384;81;5
18385;85;4
18386;85;0
18387;88;3
18388;100;12
18389;101;1
18390;108;7
18391;129;21
18392;146;17
18393;151;5
18394;172;21
18395;209;37
18396;219;10
18397;234;15
18398;273;39
18399;310;37
18400;358;48
18401;456;98
18402;533;77
18403;596;63
18404;663;67
18405;734;71
18406;812;78
18407;865;53
18408;958;93
18409;1063;105
18410;1174;111
18411;1320;146
18412;1443;123
18413;1584;141
18414;1865;281
18415;2124;259
18416;2226;102
18417;2507;281
18418;2604;97
18419;2640;36
18420;2924;284
18421;3072;148
18422;3334;262
18423;3538;204
18424;3662;124
18425;3796;134
18426;3941;145
18427;3941;0
18428;4165;224
18429;4309;144
18430;4441;132
18431;4547;106
18432;4688;141
18433;4916;228
18434;4980;64
18435;5077;97
18436;5211;134
18437;5216;5
18438;5324;108
18439;5429;105
18440;5543;114
18441;5722;179
18442;5722;0
18443;5847;125
18444;5933;86
18445;5975;42
18446;6040;65
18447;6101;61
18448;6230;129
18449;6294;64
18450;6333;39
18451;6371;38
18452;6432;61
18453;6486;54
18454;6582;96
18455;6617;35
18456;6690;73
18457;6727;37
18458;6727;0
18459;6831;104
18460;6902;71
18461;6948;46
18462;6975;27
18463;7053;78
18464;7063;10
18465;7100;37
18466;7146;46
18467;7167;21
18468;7197;30
18469;7260;63
18470;7297;37
18471;7315;18
18472;7340;25
18473;7371;31
18474;7378;7
18475;7412;34
18476;7424;12
18477;7468;44
18478;7476;8
18479;7511;35
18480;7532;21
18481;7544;12
18482;7582;38
18483;7599;17
18484;7611;12
18485;7634;23
18486;7649;15
18487;7743;94
18488;7781;38
18489;7810;29
18490;7831;21
18491;7879;48
18492;7897;18
18493;7921;24
18494;7949;28
18495;7997;48
18496;8016;19
18497;8050;34
18498;8082;32
18499;8110;28
18500;8112;2
18501;8122;10
18502;8151;29
18503;8161;10
18504;8174;13
18505;8209;35
18506;8224;15
18507;8224;0
18508;8258;34
18509;8258;0
18510;8326;68
18511;8326;0
18512;8360;34
18513;8360;0
18514;8362;2
18515;8376;14
18516;8429;53
18517;8457;28
18518;8457;0
18519;8478;21
18520;8493;15
18521;8499;6
18522;8530;31
18523;8556;26
18524;8556;0
18525;8600;44
18526;8600;0
18527;8624;24
