condition;measurement;ncases
18283;0;0
18284;0;0
18285;0;0
18286;0;0
18287;0;0
18288;0;0
18289;0;0
18290;0;0
18291;0;0
18292;0;0
18293;0;0
18294;0;0
18295;0;0
18296;0;0
18297;0;0
18298;0;0
18299;0;0
18300;0;0
18301;0;0
18302;0;0
18303;0;0
18304;0;0
18305;0;0
18306;0;0
18307;0;0
18308;0;0
18309;0;0
18310;0;0
18311;0;0
18312;0;0
18313;0;0
18314;0;0
18315;0;0
18316;0;0
18317;0;0
18318;0;0
18319;0;0
18320;0;0
18321;0;0
18322;0;0
18323;0;0
18324;0;0
18325;0;0
18326;0;0
18327;0;0
18328;0;0
18329;0;0
18330;0;0
18331;0;0
18332;2;2
18333;2;0
18334;2;0
18335;2;0
18336;3;1
18337;6;3
18338;8;2
18339;9;1
18340;12;3
18341;24;12
18342;24;0
18343;26;2
18344;30;4
18345;30;0
18346;36;6
18347;52;16
18348;68;16
18349;95;27
18350;110;15
18351;139;29
18352;141;2
18353;172;31
18354;219;47
18355;222;3
18356;264;42
18357;268;4
18358;298;30
18359;305;7
18360;312;7
18361;343;31
18362;382;39
18363;392;10
18364;393;1
18365;397;4
18366;407;10
18367;419;12
18368;426;7
18369;442;16
18370;457;15
18371;472;15
18372;477;5
18373;494;17
18374;510;16
18375;519;9
18376;591;72
18377;627;36
18378;627;0
18379;661;34
18380;702;41
18381;738;36
18382;771;33
18383;804;33
18384;1010;206
18385;1055;45
18386;1178;123
18387;1270;92
18388;1461;191
18389;1685;224
18390;1771;86
18391;1830;59
18392;1972;142
18393;2100;128
18394;2080;-20
18395;2255;175
18396;2318;63
18397;2460;142
18398;2565;105
18399;2646;81
18400;2798;152
18401;2955;157
18402;2955;0
18403;3204;249
18404;3477;273
18405;3477;0
18406;3950;473
18407;4189;239
18408;4401;212
18409;4640;239
18410;4752;112
18411;4752;0
18412;5094;342
18413;5202;108
18414;5362;160
18415;5527;165
18416;5690;163
18417;5880;190
18418;5971;91
18419;6155;184
18420;6327;172
18421;6450;123
18422;6935;485
18423;7360;425
18424;7669;309
18425;8132;463
18426;8455;323
18427;8858;403
18428;9178;320
18429;9656;478
18430;10299;643
18431;10739;440
18432;11258;519
18433;12306;1048
18434;12769;463
18435;13356;587
18436;13943;587
18437;14571;628
18438;15366;795
18439;15994;628
18440;17007;1013
18441;18082;1075
18442;18818;736
18443;19558;740
18444;20262;704
18445;21120;858
18446;22116;996
18447;22921;805
18448;23943;1022
18449;24665;722
18450;25428;763
18451;25978;550
18452;26384;406
18453;27053;669
18454;27583;530
18455;28090;507
18456;28579;489
18457;29106;527
18458;30036;930
18459;30867;831
18460;31745;878
18461;32793;1048
18462;33835;1042
18463;34611;776
18464;35345;734
18465;36102;757
18466;36902;800
18467;37559;657
18468;38438;879
18469;39276;838
18470;39741;465
18471;40460;719
18472;40944;484
18473;41426;482
18474;42014;588
18475;42685;671
18476;43197;512
18477;43794;597
18478;44299;505
18479;45098;799
18480;45755;657
18481;46365;610
18482;46973;608
18483;47454;481
18484;47872;418
18485;48403;531
18486;48657;254
18487;49042;385
18488;49467;425
18489;49979;512
18490;50502;523
18491;50995;493
18492;51670;675
18493;52298;628
18494;52819;521
18495;53381;562
18496;53983;602
18497;54511;528
18498;55479;968
18499;55877;398
18500;56649;772
18501;57669;1020
18502;58810;1141
18503;59645;835
18504;60174;529
18505;61014;840
18506;61769;755
18507;62526;757
18508;63158;632
18509;63798;640
18510;64352;554
18511;64764;412
18512;64814;50
18513;65218;404
18514;65597;379
18515;65802;205
18516;66049;247
18517;67136;1087
18518;67789;653
18519;68620;831
18520;68620;0
18521;69660;1040
18522;70120;460
18523;70611;491
