condition;measurement;ncases
18283;0;0
18284;0;0
18285;0;0
18286;0;0
18287;0;0
18288;0;0
18289;0;0
18290;0;0
18291;0;0
18292;0;0
18293;0;0
18294;0;0
18295;0;0
18296;0;0
18297;0;0
18298;0;0
18299;0;0
18300;0;0
18301;0;0
18302;0;0
18303;0;0
18304;0;0
18305;0;0
18306;0;0
18307;0;0
18308;0;0
18309;0;0
18310;0;0
18311;0;0
18312;0;0
18313;0;0
18314;0;0
18315;0;0
18316;1;1
18317;1;0
18318;5;4
18319;7;2
18320;7;0
18321;13;6
18322;19;6
18323;26;7
18324;32;6
18325;35;3
18326;35;0
18327;40;5
18328;54;14
18329;60;6
18330;60;0
18331;71;11
18332;71;0
18333;71;0
18334;101;30
18335;110;9
18336;116;6
18337;124;8
18338;154;30
18339;164;10
18340;192;28
18341;208;16
18342;214;6
18343;233;19
18344;266;33
18345;316;50
18346;346;30
18347;382;36
18348;458;76
18349;506;48
18350;547;41
18351;630;83
18352;694;64
18353;728;34
18354;772;44
18355;820;48
18356;878;58
18357;961;83
18358;1031;70
18359;1122;91
18360;1202;80
18361;1232;30
18362;1279;47
18363;1318;39
18364;1352;34
18365;1378;26
18366;1400;22
18367;1415;15
18368;1434;19
18369;1482;48
18370;1513;31
18371;1539;26
18372;1574;35
18373;1602;28
18374;1631;29
18375;1677;46
18376;1708;31
18377;1763;55
18378;1820;57
18379;1847;27
18380;1928;81
18381;2003;75
18382;2085;82
18383;2153;68
18384;2219;66
18385;2296;77
18386;2346;50
18387;2431;85
18388;2480;49
18389;2543;63
18390;2603;60
18391;2679;76
18392;2767;88
18393;2818;51
18394;2913;95
18395;3032;119
18396;3143;111
18397;3193;50
18398;3260;67
18399;3404;144
18400;3554;150
18401;3611;57
18402;3724;113
18403;3877;153
18404;3964;87
18405;4272;308
18406;4469;197
18407;4632;163
18408;4848;216
18409;5135;287
18410;5457;322
18411;5873;416
18412;6179;306
18413;6439;260
18414;6868;429
18415;7387;519
18416;8168;781
18417;8840;672
18418;9846;1006
18419;11098;1252
18420;12366;1268
18421;13481;1115
18422;14268;787
18423;15414;1146
18424;16675;1261
18425;17770;1095
18426;18950;1180
18427;20209;1259
18428;21315;1106
18429;22700;1385
18430;24254;1554
18431;25717;1463
18432;27352;1635
18433;29222;1870
18434;30868;1646
18435;32676;1808
18436;34502;1826
18437;36702;2200
18438;39139;2437
18439;41193;2054
18440;43262;2069
18441;45402;2140
18442;47151;1749
18443;49109;1958
18444;51524;2415
18445;53708;2184
18446;56020;2312
18447;58354;2334
18448;60479;2125
18449;62275;1796
18450;64701;2426
18451;67442;2741
18452;69612;2170
18453;72460;2848
18454;75194;2734
18455;77506;2312
18456;79735;2229
18457;81757;2022
18458;83867;2110
18459;86148;2281
18460;88171;2023
18461;90220;2049
18462;92530;2310
18463;94693;2163
18464;97159;2466
18465;99865;2706
18466;102226;2361
18467;104711;2485
18468;107573;2862
18469;110032;2459
18470;112585;2553
18471;115332;2747
18472;118300;2968
18473;121263;2963
18474;124609;3346
18475;126704;2095
18476;129151;2447
18477;131886;2735
18478;134722;2836
18479;137556;2834
18480;140603;3047
18481;144064;3461
18482;147389;3325
18483;150115;2726
18484;153599;3484
18485;156995;3396
18486;160436;3441
18487;164277;3841
18488;168290;4013
18489;172583;4293
18490;176931;4348
18491;180133;3202
18492;184709;4576
18493;188802;4093
18494;192797;3995
18495;197085;4288
18496;201050;3965
18497;204341;3291
18498;207985;3644
18499;211947;3962
18500;215784;3837
18501;219435;3651
18502;223612;4177
18503;227446;3834
18504;231177;3731
18505;234934;3757
18506;238338;3404
18507;242284;3946
18508;247039;4755
18509;252075;5036
