condition;measurement;ncases
18283;0;0
18284;0;0
18285;0;0
18286;0;0
18287;0;0
18288;0;0
18289;0;0
18290;0;0
18291;0;0
18292;0;0
18293;0;0
18294;0;0
18295;0;0
18296;0;0
18297;0;0
18298;0;0
18299;0;0
18300;0;0
18301;0;0
18302;0;0
18303;0;0
18304;0;0
18305;0;0
18306;0;0
18307;0;0
18308;0;0
18309;0;0
18310;0;0
18311;0;0
18312;0;0
18313;1;1
18314;1;0
18315;1;0
18316;1;0
18317;1;0
18318;2;1
18319;3;1
18320;6;3
18321;6;0
18322;7;1
18323;12;5
18324;15;3
18325;15;0
18326;21;6
18327;37;16
18328;47;10
18329;56;9
18330;60;4
18331;88;28
18332;60;-28
18333;81;21
18334;112;31
18335;138;26
18336;177;39
18337;251;74
18338;295;44
18339;371;76
18340;386;15
18341;628;242
18342;843;215
18343;1080;237
18344;1249;169
18345;1351;102
18346;2468;1117
18347;2988;520
18348;3421;433
18349;3901;480
18350;4433;532
18351;4979;546
18352;5717;738
18353;6413;696
18354;7132;719
18355;7729;597
18356;8157;428
18357;8740;583
18358;9191;451
18359;9568;377
18360;9906;338
18361;10249;343
18362;10607;358
18363;10952;345
18364;11504;552
18365;11942;438
18366;12341;399
18367;12652;311
18368;12948;296
18369;13246;298
18370;13537;291
18371;13813;276
18372;14112;299
18373;14394;282
18374;14619;225
18375;14895;276
18376;15143;248
18377;15302;159
18378;15385;83
18379;15513;128
18380;15672;159
18381;15754;82
18382;15896;142
18383;16012;116
18384;16069;57
18385;16096;27
18386;16149;53
18387;16181;32
18388;16246;65
18389;16307;61
18390;16340;33
18391;16359;19
18392;16388;29
18393;16427;39
18394;16450;23
18395;16489;39
18396;16511;22
18397;16523;12
18398;16528;5
18399;16543;15
18400;16570;27
18401;16592;22
18402;16607;15
18403;16624;17
18404;16643;19
18405;16648;5
18406;16661;13
18407;16683;22
18408;16733;50
18409;16773;40
18410;16850;77
18411;16963;113
18412;16992;29
18413;17079;87
18414;17179;100
18415;17300;121
18416;17397;97
18417;17539;142
18418;17666;127
18419;17744;78
18420;17884;140
18421;18063;179
18422;18236;173
18423;18476;240
18424;18667;191
18425;18851;184
18426;19000;149
18427;19136;136
18428;19334;198
18429;19634;300
18430;19905;271
18431;20207;302
18432;20517;310
18433;20676;159
18434;20849;173
18435;21194;345
18436;21645;451
18437;22132;487
18438;22648;516
18439;23112;464
18440;23510;398
18441;23895;385
18442;24652;757
18443;25438;786
18444;26410;972
18445;27556;1146
18446;28495;939
18447;29316;821
18448;30147;831
18449;31281;1134
18450;32671;1390
18451;33998;1327
18452;35523;1525
18453;36932;1409
18454;38100;1168
18455;39338;1238
18456;41058;1720
18457;42662;1604
18458;44539;1877
18459;46478;1939
18460;48083;1605
18461;49531;1448
18462;50547;1016
18463;52434;1887
18464;54440;2006
18465;56484;2044
18466;58474;1990
18467;60304;1830
18468;61416;1112
18469;62458;1042
18470;64506;2048
18471;66631;2125
18472;68585;1954
18473;70372;1787
18474;71734;1362
18475;72359;625
18476;73067;708
18477;74867;1800
18478;76596;1729
18479;78286;1690
18480;79963;1677
18481;81727;1764
18482;82481;754
18483;83405;924
18484;85109;1704
18485;86932;1823
18486;88554;1622
18487;90197;1643
18488;91585;1388
18489;92342;757
18490;93410;1068
18491;95060;1650
18492;96709;1649
18493;98349;1640
18494;99836;1487
18495;101329;1493
18496;102040;711
18497;103005;965
18498;104905;1900
18499;106861;1956
18500;108814;1953
18501;110885;2071
18502;112717;1832
18503;113627;910
18504;114728;1101
18505;116906;2178
18506;119158;2252
18507;122351;3193
18508;125012;2661
18509;127635;2623
18510;129140;1505
18511;131317;2177
