condition;measurement;ncases
18283;0;0
18284;0;0
18285;0;0
18286;0;0
18287;0;0
18288;0;0
18289;0;0
18290;0;0
18291;0;0
18292;0;0
18293;0;0
18294;0;0
18295;0;0
18296;0;0
18297;0;0
18298;0;0
18299;0;0
18300;0;0
18301;0;0
18302;0;0
18303;0;0
18304;0;0
18305;0;0
18306;0;0
18307;0;0
18308;0;0
18309;0;0
18310;0;0
18311;0;0
18312;0;0
18313;0;0
18314;0;0
18315;0;0
18316;0;0
18317;0;0
18318;0;0
18319;0;0
18320;0;0
18321;0;0
18322;0;0
18323;0;0
18324;0;0
18325;0;0
18326;0;0
18327;0;0
18328;0;0
18329;0;0
18330;0;0
18331;0;0
18332;1;1
18333;2;1
18334;8;6
18335;8;0
18336;10;2
18337;10;0
18338;12;2
18339;13;1
18340;15;2
18341;16;1
18342;16;0
18343;19;3
18344;19;0
18345;21;2
18346;26;5
18347;26;0
18348;26;0
18349;30;4
18350;32;2
18351;36;4
18352;36;0
18353;44;8
18354;47;3
18355;47;0
18356;53;6
18357;58;5
18358;58;0
18359;63;5
18360;63;0
18361;63;0
18362;63;0
18363;65;2
18364;69;4
18365;73;4
18366;73;0
18367;125;52
18368;143;18
18369;143;0
18370;163;20
18371;173;10
18372;223;50
18373;223;0
18374;233;10
18375;257;24
18376;288;31
18377;305;17
18378;350;45
18379;364;14
18380;364;0
18381;396;32
18382;422;26
18383;432;10
18384;463;31
18385;469;6
18386;471;2
18387;473;2
18388;478;5
18389;488;10
18390;490;2
18391;490;0
18392;502;12
18393;505;3
18394;507;2
18395;509;2
18396;509;0
18397;511;2
18398;517;6
18399;520;3
18400;520;0
18401;520;0
18402;529;9
18403;534;5
18404;544;10
18405;550;6
18406;552;2
18407;556;4
18408;564;8
18409;569;5
18410;569;0
18411;575;6
18412;581;6
18413;586;5
18414;588;2
18415;590;2
18416;591;1
18417;591;0
18418;595;4
18419;596;1
18420;598;2
18421;599;1
18422;605;6
18423;605;0
18424;611;6
18425;614;3
18426;615;1
18427;617;2
18428;621;4
18429;621;0
18430;626;5
18431;638;12
18432;652;14
18433;657;5
18434;659;2
18435;665;6
18436;670;5
18437;678;8
18438;684;6
18439;686;2
18440;690;4
18441;696;6
18442;698;2
18443;702;4
18444;707;5
18445;715;8
18446;721;6
18447;728;7
18448;732;4
18449;737;5
18450;745;8
18451;751;6
18452;753;2
18453;753;0
18454;758;5
18455;758;0
18456;759;1
18457;762;3
18458;763;1
18459;765;2
18460;768;3
18461;774;6
18462;790;16
18463;809;19
18464;810;1
18465;816;6
18466;821;5
18467;831;10
18468;837;6
18469;842;5
18470;853;11
18471;855;2
18472;856;1
18473;864;8
18474;878;14
18475;883;5
18476;894;11
18477;905;11
18478;920;15
18479;928;8
18480;958;30
18481;987;29
18482;1003;16
18483;1023;20
18484;1031;8
18485;1047;16
18486;1065;18
18487;1071;6
18488;1082;11
18489;1082;0
18490;1113;31
18491;1129;16
18492;1146;17
18493;1192;46
18494;1290;98
18495;1346;56
18496;1346;0
18497;1529;183
18498;1612;83
18499;1732;120
18500;1804;72
18501;1870;66
18502;2011;141
18503;2113;102
18504;2357;244
18505;2459;102
18506;2459;0
18507;2683;224
18508;2896;213
18509;2964;68
18510;3024;60
18511;3103;79
18512;3183;80
18513;3323;140
18514;3437;114
18515;3511;74
18516;3511;0
18517;3623;112
18518;3771;148
18519;3933;162
18520;4042;109
18521;4164;122
18522;4374;210
18523;4571;197
18524;4758;187
18525;4988;230
18526;5143;155
18527;5270;127
18528;5395;125
18529;5588;193
18530;5723;135
18531;5854;131
18532;6017;163
18533;6170;153
18534;6408;238
18535;6482;74
18536;6555;73
