condition;measurement;ncases
18283;0;0
18284;0;0
18285;0;0
18286;0;0
18287;0;0
18288;0;0
18289;0;0
18290;0;0
18291;0;0
18292;0;0
18293;0;0
18294;0;0
18295;0;0
18296;0;0
18297;0;0
18298;0;0
18299;0;0
18300;0;0
18301;0;0
18302;0;0
18303;0;0
18304;0;0
18305;0;0
18306;0;0
18307;0;0
18308;0;0
18309;0;0
18310;0;0
18311;0;0
18312;0;0
18313;0;0
18314;0;0
18315;0;0
18316;0;0
18317;0;0
18318;0;0
18319;0;0
18320;0;0
18321;0;0
18322;0;0
18323;0;0
18324;1;1
18325;1;0
18326;1;0
18327;1;0
18328;1;0
18329;1;0
18330;1;0
18331;1;0
18332;1;0
18333;1;0
18334;1;0
18335;1;0
18336;8;7
18337;17;9
18338;34;17
18339;52;18
18340;69;17
18341;85;16
18342;85;0
18343;112;27
18344;127;15
18345;154;27
18346;172;18
18347;212;40
18348;235;23
18349;246;11
18350;259;13
18351;268;9
18352;274;6
18353;278;4
18354;299;21
18355;310;11
18356;323;13
18357;345;22
18358;349;4
18359;353;4
18360;358;5
18361;372;14
18362;372;0
18363;381;9
18364;389;8
18365;391;2
18366;397;6
18367;401;4
18368;402;1
18369;407;5
18370;413;6
18371;417;4
18372;425;8
18373;428;3
18374;435;7
18375;437;2
18376;441;4
18377;444;3
18378;447;3
18379;449;2
18380;449;0
18381;451;2
18382;453;2
18383;459;6
18384;460;1
18385;461;1
18386;465;4
18387;471;6
18388;473;2
18389;494;21
18390;508;14
18391;522;14
18392;540;18
18393;562;22
18394;576;14
18395;582;6
18396;586;4
18397;596;10
18398;607;11
18399;613;6
18400;629;16
18401;649;20
18402;672;23
18403;684;12
18404;700;16
18405;704;4
18406;708;4
18407;711;3
18408;718;7
18409;720;2
18410;728;8
18411;730;2
18412;734;4
18413;739;5
18414;746;7
18415;755;9
18416;757;2
18417;765;8
18418;784;19
18419;795;11
18420;808;13
18421;831;23
18422;845;14
18423;863;18
18424;890;27
18425;915;25
18426;953;38
18427;961;8
18428;979;18
18429;981;2
18430;987;6
18431;1001;14
18432;1008;7
18433;1015;7
18434;1033;18
18435;1042;9
18436;1047;5
18437;1071;24
18438;1086;15
18439;1104;18
18440;1111;7
18441;1121;10
18442;1128;7
18443;1132;4
18444;1133;1
18445;1136;3
18446;1147;11
18447;1150;3
18448;1164;14
18449;1167;3
18450;1169;2
18451;1169;0
18452;1169;0
18453;1173;4
18454;1176;3
18455;1179;3
18456;1183;4
18457;1198;15
18458;1201;3
18459;1206;5
18460;1209;3
18461;1214;5
18462;1218;4
18463;1223;5
18464;1113;-110
18465;1120;7
18466;1131;11
18467;1146;15
18468;1154;8
18469;1168;14
18470;1176;8
18471;1182;6
18472;1187;5
18473;1191;4
18474;1193;2
18475;1208;15
18476;1213;5
18477;1218;5
18478;1224;6
18479;1231;7
18480;1232;1
18481;1237;5
18482;1246;9
18483;1252;6
18484;1268;16
18485;1283;15
18486;1303;20
18487;1320;17
18488;1329;9
18489;1339;10
18490;1378;39
18491;1398;20
18492;1438;40
18493;1482;44
18494;1498;16
18495;1532;34
18496;1576;44
18497;1609;33
18498;1639;30
18499;1716;77
18500;1756;40
18501;1801;45
18502;1869;68
18503;1893;24
18504;1966;73
18505;2034;68
18506;2097;63
18507;2161;64
18508;2233;72
18509;2301;68
18510;2353;52
18511;2411;58
18512;2478;67
18513;2581;103
18514;2659;78
18515;2739;80
18516;2945;206
18517;3062;117
18518;3314;252
18519;3528;214
18520;3677;149
18521;3852;175
18522;4131;279
18523;4344;213
18524;4540;196
18525;4779;239
18526;5045;266
18527;5679;634
18528;6042;363
18529;6591;549
18530;7211;620
