condition;measurement;ncases
18283;1;1
18284;1;0
18285;2;1
18286;2;0
18287;3;1
18288;4;1
18289;4;0
18290;4;0
18291;4;0
18292;11;7
18293;12;1
18294;15;3
18295;15;0
18296;16;1
18297;19;3
18298;23;4
18299;24;1
18300;24;0
18301;25;1
18302;27;2
18303;28;1
18304;28;0
18305;28;0
18306;28;0
18307;28;0
18308;29;1
18309;30;1
18310;31;1
18311;31;0
18312;104;73
18313;204;100
18314;433;229
18315;602;169
18316;833;231
18317;977;144
18318;1261;284
18319;1766;505
18320;2337;571
18321;3150;813
18322;3736;586
18323;4335;599
18324;5186;851
18325;5621;435
18326;6088;467
18327;6593;505
18328;7041;448
18329;7314;273
18330;7478;164
18331;7513;35
18332;7755;242
18333;7869;114
18334;7979;110
18335;8086;107
18336;8162;76
18337;8236;74
18338;8320;84
18339;8413;93
18340;8565;152
18341;8652;87
18342;8799;147
18343;8961;162
18344;8961;0
18345;9037;76
18346;9137;100
18347;9241;104
18348;9332;91
18349;9478;146
18350;9583;105
18351;9661;78
18352;9786;125
18353;9887;101
18354;9976;89
18355;10062;86
18356;10156;94
18357;10237;81
18358;10284;47
18359;10331;47
18360;10384;53
18361;10423;39
18362;10450;27
18363;10480;30
18364;10512;32
18365;10537;25
18366;10564;27
18367;10591;27
18368;10613;22
18369;10635;22
18370;10653;18
18371;10661;8
18372;10674;13
18373;10683;9
18374;10694;11
18375;10708;14
18376;10718;10
18377;10728;10
18378;10738;10
18379;10752;14
18380;10761;9
18381;10765;4
18382;10774;9
18383;10780;6
18384;10793;13
18385;10801;8
18386;10804;3
18387;10806;2
18388;10810;4
18389;10822;12
18390;10840;18
18391;10874;34
18392;10909;35
18393;10936;27
18394;10962;26
18395;10991;29
18396;11018;27
18397;11037;19
18398;11050;13
18399;11065;15
18400;11078;13
18401;11110;32
18402;11122;12
18403;11142;20
18404;11165;23
18405;11190;25
18406;11206;16
18407;11225;19
18408;11265;40
18409;11344;79
18410;11402;58
18411;11441;39
18412;11468;27
18413;11503;35
18414;11541;38
18415;11590;49
18416;11629;39
18417;11668;39
18418;11719;51
18419;11776;57
18420;11814;38
18421;11852;38
18422;11902;50
18423;11947;45
18424;12003;56
18425;12051;48
18426;12085;34
18427;12121;36
18428;12155;34
18429;12198;43
18430;12257;59
18431;12306;49
18432;12373;67
18433;12421;48
18434;12438;17
18435;12484;46
18436;12535;51
18437;12563;28
18438;12602;39
18439;12653;51
18440;12715;62
18441;12757;42
18442;12800;43
18443;12850;50
18444;12904;54
18445;12967;63
18446;13030;63
18447;13091;61
18448;13137;46
18449;13181;44
18450;13244;63
18451;13293;49
18452;13338;45
18453;13373;35
18454;13417;44
18455;13479;62
18456;13512;33
18457;13551;39
18458;13612;61
18459;13672;60
18460;13711;39
18461;13745;34
18462;13771;26
18463;13816;45
18464;13879;63
18465;13938;59
18466;13979;41
18467;14092;113
18468;14150;58
18469;14175;25
18470;14203;28
18471;14251;48
18472;14269;18
18473;14305;36
18474;14336;31
18475;14366;30
18476;14389;23
18477;14423;34
18478;14456;33
18479;14499;43
18480;14519;20
18481;14562;43
18482;14598;36
18483;14626;28
18484;14660;34
18485;14714;54
18486;14770;56
18487;14873;103
18488;15039;166
18489;15318;279
18490;15515;197
18491;15761;246
18492;16058;297
18493;16346;288
18494;16670;324
18495;17002;332
18496;17399;397
18497;17665;266
18498;17945;280
18499;18265;320
18500;18706;441
18501;19077;371
18502;19400;323
18503;19699;299
18504;19947;248
18505;20182;235
18506;20449;267
18507;20644;195
18508;20842;198
18509;21010;168
18510;21177;167
18511;21296;119
18512;21432;136
18513;21588;156
18514;21743;155
18515;21919;176
18516;22055;136
18517;22176;121
18518;22285;109
18519;22391;106
18520;22504;113
18521;22657;153
18522;22783;126
18523;22893;110
18524;22975;82
18525;23045;70
18526;23106;61
18527;23216;110
18528;23341;125
18529;23455;114
18530;23516;61
18531;23611;95
18532;23661;50
18533;23699;38
18534;23812;113
18535;23889;77
18536;23952;63
18537;24027;75
18538;24091;64
18539;24164;73
18540;24239;75
18541;24353;114
18542;24422;69
18543;24476;54
18544;24548;72
18545;24606;58
18546;24703;97
18547;24805;102
18548;24889;84
18549;24988;99
18550;25035;47
18551;25108;73
18552;25199;91
18553;25275;76
18554;25333;58
18555;25424;91
18556;25543;119
18557;25698;155
18558;25775;77
18559;25836;61
18560;25955;119
18561;26043;88
18562;26146;103
18563;26271;125
18564;26385;114
18565;26511;126
18566;26635;124
18567;26732;97
18568;26807;75
18569;26925;118
18570;27050;125
18571;27195;145
18572;27284;89
18573;27427;143
18574;27553;126
18575;27653;100
18576;27799;146
18577;27942;143
18578;28133;191
18579;28338;205
18580;28546;208
18581;28769;223
18582;28998;229
18583;29311;313
18584;29654;343
18585;30017;363
18586;30403;386
18587;30733;330
18588;31004;271
18589;31353;349
18590;31735;382
18591;32318;583
18592;32887;569
18593;33375;488
18594;33824;449
18595;34201;377
18596;34652;451
18597;35163;511
18598;35703;540
18599;36332;629
18600;36915;583
18601;37546;631
18602;38161;615
18603;38755;594
18604;39432;677
18605;40098;666
18606;40786;688
18607;41736;950
18608;42766;1030
18609;43484;718
18610;44364;880
18611;45442;1078
18612;46453;1011
18613;47515;1062
18614;48570;1055
18615;49665;1095
18616;50591;926
18617;51460;869
18618;52550;1090
18619;53533;983
18620;54770;1237
18621;55902;1132
18622;56872;970
18623;57680;808
18624;58725;1045
18625;59773;1048
18626;60740;967
18627;61769;1029
18628;62593;824
18629;63244;651
18630;64264;1020
18631;64979;715
18632;65818;839
18633;66686;868
18634;67358;672
18635;67999;641
18636;68664;665
18637;69114;450
18638;69651;537
18639;70212;561
18640;70728;516
18641;71241;513
18642;71820;579
18643;72340;520
18644;72729;389
18645;73115;386
18646;73518;403
18647;73918;400
18648;74262;344
18649;74692;430
18650;75084;392
18651;75521;437
18652;75875;354
18653;76429;554
18654;76926;497
18655;77395;469
18656;77850;455
18657;78205;355
18658;78508;303
18659;78844;336
18660;79311;467
18661;79762;451
18662;80131;369
18663;80524;393
18664;80896;372
18665;81185;289
18666;81487;302
18667;81930;443
18668;82434;504
18669;82837;403
18670;83199;362
18671;83525;326
18672;83869;344
18673;84325;456
18674;84946;621
18675;85567;621
18676;86128;561
18677;86574;446
18678;86992;418
18679;87324;332
18680;87681;357
18681;88120;439
18682;88516;396
18683;88922;406
18684;89321;399
18685;89676;355
18686;90031;355
18687;90372;341
18688;90816;444
18689;91240;424
18690;91638;398
18691;92055;417
18692;92471;416
18693;92817;346
18694;93263;446
18695;93733;470
18696;94198;465
18697;94686;488
18698;95176;490
18699;95635;459
18700;96017;382
18701;96380;363
18702;96849;469
18703;97294;445
18704;97757;463
18705;98209;452
18706;98665;456
18707;99075;410
18708;99421;346
18709;99846;425
18710;100276;430
18711;100770;494
18712;101275;505
18713;101757;482
18714;102141;384
18715;102582;441
18716;103088;506
18717;103639;551
18718;104194;555
18719;104736;542
18720;105279;543
18721;105752;473
18722;106230;478
18723;106898;668
18724;107598;700
18725;108269;671
18726;108945;676
18727;109559;614
18728;110146;587
18729;110688;542
18730;111419;731
18731;112117;698
18732;112789;672
18733;113444;655
18734;114115;671
18735;114646;531
18736;115195;549
18737;115926;731
18738;116661;735
18739;117458;797
18740;118243;785
18741;118887;644
18742;119387;500
18743;119898;511
18744;120673;775
18745;121351;678
18746;122007;656
18747;122634;627
18748;123240;606
18749;123728;488
18750;124269;541
18751;124945;676
18752;125519;574
18753;126044;525
18754;126745;701
18755;127309;564
18756;127772;463
18757;128283;511
18758;128918;635
18759;129633;715
18760;130380;747
18761;131061;681
18762;131671;610
18763;132290;619
18764;132818;528
