condition;measurement;ncases
18283;0;0
18284;0;0
18285;0;0
18286;0;0
18287;0;0
18288;0;0
18289;0;0
18290;0;0
18291;0;0
18292;0;0
18293;0;0
18294;0;0
18295;0;0
18296;0;0
18297;0;0
18298;0;0
18299;0;0
18300;0;0
18301;0;0
18302;0;0
18303;0;0
18304;0;0
18305;0;0
18306;0;0
18307;0;0
18308;0;0
18309;0;0
18310;0;0
18311;0;0
18312;0;0
18313;0;0
18314;0;0
18315;0;0
18316;0;0
18317;0;0
18318;0;0
18319;0;0
18320;0;0
18321;0;0
18322;0;0
18323;0;0
18324;0;0
18325;0;0
18326;0;0
18327;0;0
18328;0;0
18329;0;0
18330;0;0
18331;0;0
18332;0;0
18333;0;0
18334;0;0
18335;2;2
18336;5;3
18337;13;8
18338;16;3
18339;19;3
18340;20;1
18341;21;1
18342;24;3
18343;31;7
18344;33;2
18345;61;28
18346;63;2
18347;71;8
18348;86;15
18349;88;2
18350;91;3
18351;94;3
18352;106;12
18353;112;6
18354;125;13
18355;126;1
18356;135;9
18357;140;5
18358;145;5
18359;165;20
18360;184;19
18361;224;40
18362;227;3
18363;250;23
18364;283;33
18365;362;79
18366;377;15
18367;387;10
18368;423;36
18369;449;26
18370;480;31
18371;510;30
18372;561;51
18373;598;37
18374;604;6
18375;630;26
18376;669;39
18377;703;34
18378;731;28
18379;763;32
18380;780;17
18381;790;10
18382;799;9
18383;806;7
18384;813;7
18385;823;10
18386;851;28
18387;855;4
18388;856;1
18389;860;4
18390;861;1
18391;862;1
18392;870;8
18393;884;14
18394;895;11
18395;919;24
18396;927;8
18397;945;18
18398;955;10
18399;978;23
18400;985;7
18401;988;3
18402;989;1
18403;1003;14
18404;1004;1
18405;1025;21
18406;1032;7
18407;1038;6
18408;1038;0
18409;1047;9
18410;1048;1
18411;1052;4
18412;1064;12
18413;1070;6
18414;1083;13
18415;1110;27
18416;1123;13
18417;1142;19
18418;1147;5
18419;1158;11
18420;1194;36
18421;1234;40
18422;1263;29
18423;1269;6
18424;1298;29
18425;1326;28
18426;1384;58
18427;1437;53
18428;1486;49
18429;1615;129
18430;1756;141
18431;1833;77
18432;1916;83
18433;1998;82
18434;2073;75
18435;2169;96
18436;2216;47
18437;2268;52
18438;2363;95
18439;2432;69
18440;2494;62
18441;2590;96
18442;2677;87
18443;2799;122
18444;2878;79
18445;2991;113
18446;3064;73
18447;3178;114
18448;3356;178
18449;3508;152
18450;3703;195
18451;3886;183
18452;4100;214
18453;4307;207
18454;4512;205
18455;4715;203
18456;4931;216
18457;5118;187
18458;5237;119
18459;5369;132
18460;5472;103
18461;5617;145
18462;5735;118
18463;5877;142
18464;6045;168
18465;6286;241
18466;6467;181
18467;6680;213
18468;6917;237
18469;7137;220
18470;7413;276
18471;7652;239
18472;7846;194
18473;8104;258
18474;8330;226
18475;8554;224
18476;8799;245
18477;9049;250
18478;9274;225
18479;9492;218
18480;9688;196
18481;9869;181
18482;10059;190
18483;10247;188
18484;10419;172
18485;10590;171
18486;10795;205
18487;10988;193
18488;11130;142
18489;11275;145
18490;11416;141
18491;11545;129
18492;11686;141
18493;11848;162
18494;12006;158
18495;12168;162
18496;12337;169
18497;12448;111
18498;12547;99
18499;12683;136
18500;12840;157
18501;12981;141
18502;13100;119
18503;13215;115
18504;13334;119
18505;13454;120
18506;13601;147
18507;13713;112
18508;13791;78
18509;13910;119
18510;14027;117
18511;14119;92
18512;14204;85
18513;14301;97
18514;14377;76
18515;14446;69
18516;14496;50
18517;14566;70
18518;14637;71
18519;14692;55
18520;14763;71
18521;14839;76
18522;14882;43
18523;14939;57
18524;15002;63
18525;15063;61
18526;15142;79
