condition;measurement;ncases
18283;0;0
18284;0;0
18285;0;0
18286;0;0
18287;0;0
18288;0;0
18289;0;0
18290;0;0
18291;0;0
18292;0;0
18293;0;0
18294;0;0
18295;0;0
18296;0;0
18297;0;0
18298;0;0
18299;0;0
18300;0;0
18301;0;0
18302;0;0
18303;0;0
18304;0;0
18305;0;0
18306;0;0
18307;0;0
18308;0;0
18309;0;0
18310;0;0
18311;0;0
18312;0;0
18313;0;0
18314;0;0
18315;0;0
18316;0;0
18317;0;0
18318;0;0
18319;0;0
18320;0;0
18321;0;0
18322;0;0
18323;0;0
18324;0;0
18325;0;0
18326;0;0
18327;0;0
18328;0;0
18329;0;0
18330;0;0
18331;0;0
18332;0;0
18333;0;0
18334;0;0
18335;0;0
18336;0;0
18337;0;0
18338;0;0
18339;0;0
18340;0;0
18341;0;0
18342;0;0
18343;0;0
18344;0;0
18345;2;2
18346;3;1
18347;6;3
18348;6;0
18349;8;2
18350;8;0
18351;8;0
18352;9;1
18353;10;1
18354;10;0
18355;10;0
18356;10;0
18357;11;1
18358;12;1
18359;14;2
18360;15;1
18361;16;1
18362;16;0
18363;18;2
18364;19;1
18365;19;0
18366;19;0
18367;19;0
18368;19;0
18369;19;0
18370;19;0
18371;19;0
18372;19;0
18373;19;0
18374;19;0
18375;19;0
18376;19;0
18377;19;0
18378;19;0
18379;19;0
18380;19;0
18381;19;0
18382;19;0
18383;19;0
18384;19;0
18385;19;0
18386;19;0
18387;19;0
18388;19;0
18389;19;0
18390;19;0
18391;19;0
18392;19;0
18393;19;0
18394;19;0
18395;19;0
18396;19;0
18397;19;0
18398;19;0
18399;19;0
18400;19;0
18401;19;0
18402;19;0
18403;19;0
18404;19;0
18405;19;0
18406;19;0
18407;19;0
18408;19;0
18409;19;0
18410;19;0
18411;19;0
18412;19;0
18413;19;0
18414;19;0
18415;19;0
18416;19;0
18417;19;0
18418;19;0
18419;19;0
18420;19;0
18421;19;0
18422;19;0
18423;19;0
18424;19;0
18425;19;0
18426;19;0
18427;19;0
18428;19;0
18429;19;0
18430;19;0
18431;19;0
18432;19;0
18433;19;0
18434;19;0
18435;19;0
18436;19;0
18437;19;0
18438;19;0
18439;19;0
18440;19;0
18441;19;0
18442;19;0
18443;19;0
18444;19;0
18445;19;0
18446;19;0
18447;19;0
18448;19;0
18449;19;0
18450;19;0
18451;19;0
18452;19;0
18453;19;0
18454;19;0
18455;19;0
18456;19;0
18457;19;0
18458;19;0
18459;19;0
18460;19;0
18461;19;0
18462;19;0
18463;19;0
18464;19;0
18465;19;0
18466;19;0
18467;20;1
18468;20;0
18469;20;0
18470;20;0
18471;20;0
18472;20;0
18473;20;0
18474;20;0
18475;20;0
18476;20;0
18477;20;0
18478;20;0
18479;20;0
18480;20;0
18481;20;0
18482;20;0
18483;20;0
18484;20;0
18485;20;0
18486;20;0
18487;20;0
18488;22;2
18489;22;0
18490;22;0
18491;22;0
18492;22;0
18493;22;0
18494;22;0
18495;22;0
18496;22;0
18497;22;0
18498;22;0
18499;22;0
18500;22;0
18501;22;0
18502;22;0
18503;22;0
18504;22;0
18505;22;0
18506;22;0
18507;22;0
18508;22;0
18509;22;0
18510;22;0
18511;22;0
18512;22;0
18513;22;0
18514;22;0
18515;22;0
18516;23;1
18517;23;0
18518;23;0
18519;23;0
18520;23;0
18521;23;0
18522;23;0
18523;23;0
18524;23;0
18525;23;0
18526;23;0
18527;23;0
18528;23;0
18529;23;0
18530;23;0
18531;23;0
18532;23;0
18533;23;0
18534;23;0
18535;23;0
18536;23;0
18537;23;0
18538;23;0
18539;23;0
18540;23;0
18541;23;0
18542;23;0
18543;23;0
18544;23;0
