condition;measurement;ncases
18283;0;0
18284;0;0
18285;0;0
18286;0;0
18287;0;0
18288;0;0
18289;0;0
18290;0;0
18291;0;0
18292;0;0
18293;0;0
18294;0;0
18295;0;0
18296;0;0
18297;0;0
18298;0;0
18299;0;0
18300;0;0
18301;0;0
18302;0;0
18303;0;0
18304;0;0
18305;0;0
18306;0;0
18307;0;0
18308;0;0
18309;0;0
18310;0;0
18311;0;0
18312;0;0
18313;1;1
18314;1;0
18315;1;0
18316;1;0
18317;1;0
18318;2;1
18319;2;0
18320;2;0
18321;4;2
18322;10;6
18323;13;3
18324;13;0
18325;13;0
18326;16;3
18327;22;6
18328;22;0
18329;32;10
18330;32;0
18331;41;9
18332;61;20
18333;61;0
18334;77;16
18335;93;16
18336;110;17
18337;110;0
18338;120;10
18339;133;13
18340;157;24
18341;163;6
18342;187;24
18343;248;61
18344;267;19
18345;318;51
18346;333;15
18347;368;35
18348;391;23
18349;412;21
18350;438;26
18351;446;8
18352;470;24
18353;479;9
18354;494;15
18355;508;14
18356;520;12
18357;527;7
18358;541;14
18359;548;7
18360;576;28
18361;582;6
18362;609;27
18363;619;10
18364;630;11
18365;632;2
18366;641;9
18367;658;17
18368;663;5
18369;668;5
18370;672;4
18371;673;1
18372;677;4
18373;677;0
18374;682;5
18375;688;6
18376;696;8
18377;704;8
18378;707;3
18379;710;3
18380;717;7
18381;721;4
18382;725;4
18383;729;4
18384;733;4
18385;737;4
18386;740;3
18387;741;1
18388;750;9
18389;784;34
18390;796;12
18391;809;13
18392;845;36
18393;859;14
18394;870;11
18395;878;8
18396;886;8
18397;891;5
18398;902;11
18399;911;9
18400;931;20
18401;954;23
18402;961;7
18403;1024;63
18404;1086;62
18405;1097;11
18406;1114;17
18407;1119;5
18408;1140;21
18409;1161;21
18410;1168;7
18411;1172;4
18412;1191;19
18413;1220;29
18414;1233;13
18415;1242;9
18416;1256;14
18417;1306;50
18418;1312;6
18419;1320;8
18420;1331;11
18421;1350;19
18422;1368;18
18423;1388;20
18424;1402;14
18425;1422;20
18426;1442;20
18427;1446;4
18428;1464;18
18429;1473;9
18430;1489;16
18431;1495;6
18432;1510;15
18433;1536;26
18434;1587;51
18435;1603;16
18436;1622;19
18437;1644;22
18438;1662;18
18439;1697;35
18440;1719;22
18441;1740;21
18442;1745;5
18443;1778;33
18444;1788;10
18445;1796;8
18446;1830;34
18447;1855;25
18448;1873;18
18449;1885;12
18450;1907;22
18451;1946;39
18452;2011;65
18453;2082;71
18454;2168;86
18455;2334;166
18456;2419;85
18457;2451;32
18458;2542;91
18459;2599;57
18460;2700;101
18461;2775;75
18462;2859;84
18463;2905;46
18464;2980;75
18465;3104;124
18466;3260;156
18467;3407;147
18468;3582;175
18469;3750;168
18470;3882;132
18471;4023;141
18472;4205;182
18473;4334;129
18474;4555;221
18475;4730;175
18476;4885;155
18477;5062;177
18478;5062;0
18479;5417;355
18480;5672;255
18481;5951;279
18482;6223;272
18483;6517;294
18484;6812;295
18485;7121;309
18486;7413;292
18487;7711;298
18488;8045;334
18489;8442;397
18490;8881;439
18491;9337;456
18492;9758;421
18493;10347;589
18494;10952;605
18495;11580;628
18496;12191;611
18497;12698;507
18498;13155;457
18499;13687;532
18500;14248;561
18501;14937;689
18502;15613;676
18503;16275;662
18504;16870;595
18505;17308;438
18506;17777;469
18507;18375;598
18508;18963;588
18509;19490;527
18510;20011;521
18511;20426;415
18512;20826;400
18513;21324;498
18514;21877;553
18515;22437;560
18516;22983;546
18517;23669;686
18518;24310;641
18519;25401;1091
18520;25449;48
18521;26083;634
18522;26768;685
18523;27518;750
18524;28297;779
18525;29303;1006
18526;29987;684
