condition;measurement;ncases
18283;0;0
18284;0;0
18285;0;0
18286;0;0
18287;0;0
18288;0;0
18289;0;0
18290;0;0
18291;0;0
18292;0;0
18293;0;0
18294;0;0
18295;0;0
18296;0;0
18297;0;0
18298;0;0
18299;0;0
18300;0;0
18301;0;0
18302;0;0
18303;0;0
18304;0;0
18305;0;0
18306;0;0
18307;0;0
18308;0;0
18309;0;0
18310;0;0
18311;0;0
18312;0;0
18313;0;0
18314;0;0
18315;0;0
18316;0;0
18317;0;0
18318;0;0
18319;0;0
18320;0;0
18321;0;0
18322;0;0
18323;0;0
18324;0;0
18325;0;0
18326;0;0
18327;0;0
18328;0;0
18329;0;0
18330;0;0
18331;0;0
18332;0;0
18333;0;0
18334;0;0
18335;0;0
18336;0;0
18337;0;0
18338;0;0
18339;0;0
18340;0;0
18341;0;0
18342;0;0
18343;0;0
18344;0;0
18345;0;0
18346;0;0
18347;0;0
18348;0;0
18349;0;0
18350;0;0
18351;0;0
18352;0;0
18353;0;0
18354;0;0
18355;0;0
18356;0;0
18357;0;0
18358;0;0
18359;0;0
18360;0;0
18361;0;0
18362;0;0
18363;0;0
18364;0;0
18365;0;0
18366;0;0
18367;0;0
18368;0;0
18369;0;0
18370;0;0
18371;0;0
18372;0;0
18373;0;0
18374;0;0
18375;0;0
18376;0;0
18377;0;0
18378;0;0
18379;0;0
18380;0;0
18381;0;0
18382;0;0
18383;0;0
18384;0;0
18385;0;0
18386;0;0
18387;0;0
18388;0;0
18389;0;0
18390;0;0
18391;0;0
18392;0;0
18393;0;0
18394;0;0
18395;1;1
18396;1;0
18397;1;0
18398;1;0
18399;1;0
18400;1;0
18401;1;0
18402;1;0
18403;1;0
18404;2;1
18405;2;0
18406;2;0
18407;2;0
18408;2;0
18409;2;0
18410;2;0
18411;2;0
18412;2;0
18413;2;0
18414;2;0
18415;2;0
18416;4;2
18417;4;0
18418;4;0
18419;4;0
18420;4;0
18421;4;0
18422;4;0
18423;4;0
18424;4;0
18425;4;0
18426;4;0
18427;4;0
18428;4;0
18429;4;0
18430;4;0
18431;4;0
18432;4;0
18433;4;0
18434;4;0
18435;12;8
18436;17;5
18437;17;0
18438;17;0
18439;24;7
18440;24;0
18441;27;3
18442;27;0
18443;27;0
18444;35;8
18445;35;0
18446;35;0
18447;35;0
18448;79;44
18449;91;12
18450;91;0
18451;91;0
18452;134;43
18453;184;50
18454;184;0
18455;233;49
18456;245;12
18457;256;11
18458;256;0
18459;256;0
18460;311;55
18461;359;48
18462;359;0
18463;359;0
18464;359;0
18465;359;0
18466;359;0
18467;359;0
18468;419;60
18469;505;86
18470;505;0
18471;505;0
18472;576;71
18473;604;28
18474;604;0
18475;702;98
18476;718;16
18477;718;0
18478;726;8
18479;726;0
18480;742;16
18481;742;0
18482;742;0
18483;742;0
18484;781;39
18485;781;0
18486;798;17
18487;884;86
18488;884;0
18489;903;19
18490;903;0
18491;946;43
18492;946;0
18493;946;0
18494;996;50
18495;1015;19
18496;1015;0
18497;1015;0
18498;1015;0
18499;1049;34
18500;1051;2
18501;1051;0
18502;1051;0
18503;1051;0
18504;1085;34
18505;1085;0
18506;1085;0
18507;1085;0
18508;1085;0
18509;1148;63
18510;1148;0
18511;1148;0
18512;1148;0
18513;1148;0
18514;1164;16
18515;1164;0
18516;1245;81
18517;1245;0
18518;1245;0
18519;1245;0
18520;1327;82
18521;1327;0
18522;1327;0
18523;1390;63
18524;1390;0
18525;1424;34
18526;1424;0
18527;1424;0
18528;1507;83
18529;1554;47
18530;1558;4
18531;1558;0
18532;1558;0
18533;1565;7
18534;1576;11
18535;1595;19
18536;1639;44
18537;1680;41
18538;1680;0
