condition;measurement;ncases
18283;0;0
18284;0;0
18285;0;0
18286;0;0
18287;0;0
18288;0;0
18289;0;0
18290;0;0
18291;0;0
18292;0;0
18293;0;0
18294;0;0
18295;0;0
18296;0;0
18297;0;0
18298;0;0
18299;0;0
18300;0;0
18301;0;0
18302;0;0
18303;0;0
18304;0;0
18305;0;0
18306;0;0
18307;0;0
18308;0;0
18309;0;0
18310;0;0
18311;0;0
18312;0;0
18313;0;0
18314;0;0
18315;0;0
18316;0;0
18317;0;0
18318;0;0
18319;0;0
18320;0;0
18321;0;0
18322;0;0
18323;0;0
18324;0;0
18325;0;0
18326;0;0
18327;0;0
18328;0;0
18329;0;0
18330;0;0
18331;0;0
18332;0;0
18333;0;0
18334;0;0
18335;0;0
18336;0;0
18337;1;1
18338;1;0
18339;2;1
18340;2;0
18341;2;0
18342;3;1
18343;3;0
18344;3;0
18345;3;0
18346;3;0
18347;3;0
18348;3;0
18349;3;0
18350;3;0
18351;3;0
18352;3;0
18353;6;3
18354;6;0
18355;7;1
18356;10;3
18357;13;3
18358;14;1
18359;14;0
18360;31;17
18361;31;0
18362;37;6
18363;48;11
18364;50;2
18365;59;9
18366;59;0
18367;59;0
18368;59;0
18369;76;17
18370;76;0
18371;91;15
18372;99;8
18373;101;2
18374;101;0
18375;101;0
18376;117;16
18377;120;3
18378;124;4
18379;124;0
18380;141;17
18381;141;0
18382;141;0
18383;152;11
18384;154;2
18385;158;4
18386;166;8
18387;170;4
18388;178;8
18389;189;11
18390;199;10
18391;199;0
18392;199;0
18393;211;12
18394;211;0
18395;213;2
18396;215;2
18397;219;4
18398;223;4
18399;226;3
18400;229;3
18401;233;4
18402;238;5
18403;240;2
18404;249;9
18405;255;6
18406;265;10
18407;265;0
18408;266;1
18409;266;0
18410;269;3
18411;273;4
18412;280;7
18413;288;8
18414;296;8
18415;311;15
18416;316;5
18417;321;5
18418;334;13
18419;345;11
18420;359;14
18421;370;11
18422;383;13
18423;397;14
18424;410;13
18425;421;11
18426;446;25
18427;458;12
18428;498;40
18429;509;11
18430;516;7
18431;542;26
18432;581;39
18433;601;20
18434;626;25
18435;650;24
18436;652;2
18437;662;10
18438;681;19
18439;684;3
18440;729;45
18441;768;39
18442;770;2
18443;780;10
18444;804;24
18445;819;15
18446;833;14
18447;869;36
18448;874;5
18449;891;17
18450;917;26
18451;926;9
18452;957;31
18453;963;6
18454;998;35
18455;1010;12
18456;1024;14
18457;1024;0
18458;1056;32
18459;1070;14
18460;1085;15
18461;1088;3
18462;1091;3
18463;1107;16
18464;1108;1
18465;1114;6
18466;1117;3
18467;1135;18
18468;1155;20
18469;1162;7
18470;1167;5
18471;1177;10
18472;1179;2
18473;1181;2
18474;1186;5
18475;1189;3
18476;1207;18
18477;1214;7
18478;1216;2
18479;1221;5
18480;1224;3
18481;1230;6
18482;1234;4
18483;1237;3
18484;1240;3
18485;1250;10
18486;1252;2
18487;1252;0
18488;1252;0
18489;1257;5
18490;1257;0
18491;1277;20
18492;1282;5
18493;1282;0
18494;1284;2
18495;1285;1
18496;1286;1
18497;1286;0
18498;1290;4
18499;1295;5
18500;1298;3
18501;1298;0
18502;1298;0
18503;1304;6
18504;1304;0
18505;1304;0
18506;1305;1
18507;1305;0
18508;1306;1
18509;1306;0
18510;1306;0
18511;1307;1
18512;1311;4
18513;1311;0
18514;1313;2
18515;1315;2
18516;1315;0
18517;1316;1
18518;1319;3
18519;1321;2
18520;1327;6
18521;1332;5
18522;1333;1
18523;1334;1
18524;1335;1
18525;1335;0
18526;1336;1
18527;1336;0
18528;1337;1
18529;1338;1
18530;1338;0
18531;1338;0
18532;1339;1
18533;1342;3
