condition;measurement;ncases
18283;0;0
18284;0;0
18285;0;0
18286;0;0
18287;0;0
18288;0;0
18289;0;0
18290;0;0
18291;0;0
18292;0;0
18293;0;0
18294;0;0
18295;0;0
18296;0;0
18297;0;0
18298;0;0
18299;0;0
18300;0;0
18301;0;0
18302;0;0
18303;0;0
18304;0;0
18305;0;0
18306;0;0
18307;0;0
18308;0;0
18309;0;0
18310;0;0
18311;0;0
18312;0;0
18313;0;0
18314;0;0
18315;0;0
18316;0;0
18317;0;0
18318;0;0
18319;0;0
18320;0;0
18321;0;0
18322;0;0
18323;0;0
18324;0;0
18325;1;1
18326;1;0
18327;1;0
18328;1;0
18329;1;0
18330;1;0
18331;1;0
18332;1;0
18333;1;0
18334;1;0
18335;4;3
18336;4;0
18337;4;0
18338;7;3
18339;28;21
18340;28;0
18341;28;0
18342;37;9
18343;37;0
18344;51;14
18345;51;0
18346;51;0
18347;56;5
18348;56;0
18349;56;0
18350;56;0
18351;62;6
18352;68;6
18353;68;0
18354;75;7
18355;76;1
18356;77;1
18357;77;0
18358;77;0
18359;78;1
18360;78;0
18361;78;0
18362;79;1
18363;79;0
18364;79;0
18365;79;0
18366;79;0
18367;79;0
18368;79;0
18369;79;0
18370;79;0
18371;81;2
18372;81;0
18373;81;0
18374;81;0
18375;81;0
18376;81;0
18377;81;0
18378;82;1
18379;82;0
18380;82;0
18381;82;0
18382;82;0
18383;82;0
18384;82;0
18385;82;0
18386;82;0
18387;82;0
18388;82;0
18389;82;0
18390;82;0
18391;82;0
18392;82;0
18393;82;0
18394;82;0
18395;82;0
18396;82;0
18397;82;0
18398;82;0
18399;82;0
18400;82;0
18401;82;0
18402;82;0
18403;82;0
18404;82;0
18405;82;0
18406;82;0
18407;82;0
18408;82;0
18409;82;0
18410;82;0
18411;82;0
18412;82;0
18413;82;0
18414;82;0
18415;82;0
18416;82;0
18417;82;0
18418;82;0
18419;82;0
18420;82;0
18421;82;0
18422;82;0
18423;82;0
18424;82;0
18425;82;0
18426;82;0
18427;82;0
18428;82;0
18429;82;0
18430;82;0
18431;82;0
18432;82;0
18433;82;0
18434;82;0
18435;82;0
18436;82;0
18437;82;0
18438;82;0
18439;82;0
18440;82;0
18441;82;0
18442;82;0
18443;82;0
18444;82;0
18445;83;1
18446;83;0
18447;83;0
18448;83;0
18449;84;1
18450;84;0
18451;84;0
18452;84;0
18453;84;0
18454;84;0
18455;84;0
18456;84;0
18457;84;0
18458;84;0
18459;84;0
18460;85;1
18461;86;1
18462;86;0
18463;86;0
18464;86;0
18465;86;0
18466;86;0
18467;86;0
18468;86;0
18469;86;0
18470;86;0
18471;87;1
18472;88;1
18473;88;0
18474;88;0
18475;88;0
18476;89;1
18477;89;0
18478;89;0
18479;89;0
18480;89;0
18481;89;0
18482;89;0
18483;89;0
18484;89;0
18485;89;0
18486;90;1
18487;90;0
18488;91;1
18489;91;0
18490;91;0
18491;94;3
18492;97;3
18493;98;1
18494;99;1
18495;99;0
18496;99;0
18497;99;0
18498;100;1
18499;102;2
18500;102;0
18501;105;3
18502;106;1
18503;107;1
18504;107;0
18505;107;0
18506;107;0
18507;107;0
18508;107;0
18509;107;0
18510;107;0
18511;107;0
18512;107;0
18513;107;0
18514;108;1
18515;109;1
18516;109;0
18517;111;2
18518;111;0
18519;111;0
18520;111;0
18521;111;0
18522;112;1
18523;112;0
18524;113;1
18525;113;0
18526;114;1
18527;115;1
18528;116;1
18529;116;0
18530;117;1
18531;117;0
18532;117;0
18533;117;0
18534;118;1
18535;118;0
18536;119;1
18537;120;1
18538;123;3
18539;126;3
18540;127;1
18541;130;3
18542;131;1
18543;135;4
18544;139;4
