condition;measurement;ncases
18283;0;0
18284;0;0
18285;0;0
18286;0;0
18287;0;0
18288;0;0
18289;0;0
18290;0;0
18291;0;0
18292;0;0
18293;0;0
18294;0;0
18295;0;0
18296;0;0
18297;0;0
18298;0;0
18299;0;0
18300;0;0
18301;0;0
18302;0;0
18303;0;0
18304;0;0
18305;0;0
18306;0;0
18307;0;0
18308;0;0
18309;0;0
18310;0;0
18311;0;0
18312;0;0
18313;0;0
18314;0;0
18315;0;0
18316;0;0
18317;0;0
18318;0;0
18319;0;0
18320;0;0
18321;1;1
18322;1;0
18323;1;0
18324;1;0
18325;1;0
18326;1;0
18327;1;0
18328;1;0
18329;1;0
18330;1;0
18331;1;0
18332;3;2
18333;3;0
18334;4;1
18335;6;2
18336;9;3
18337;12;3
18338;19;7
18339;27;8
18340;36;9
18341;47;11
18342;69;22
18343;111;42
18344;128;17
18345;166;38
18346;208;42
18347;263;55
18348;292;29
18349;339;47
18350;378;39
18351;424;46
18352;468;44
18353;512;44
18354;579;67
18355;631;52
18356;683;52
18357;716;33
18358;750;34
18359;783;33
18360;821;38
18361;858;37
18362;896;38
18363;926;30
18364;952;26
18365;970;18
18366;977;7
18367;995;18
18368;1022;27
18369;1050;28
18370;1091;41
18371;1153;62
18372;1173;20
18373;1226;53
18374;1250;24
18375;1272;22
18376;1291;19
18377;1301;10
18378;1316;15
18379;1328;12
18380;1337;9
18381;1364;27
18382;1375;11
18383;1389;14
18384;1394;5
18385;1399;5
18386;1407;8
18387;1410;3
18388;1416;6
18389;1421;5
18390;1430;9
18391;1459;29
18392;1471;12
18393;1479;8
18394;1488;9
18395;1502;14
18396;1511;9
18397;1521;10
18398;1536;15
18399;1545;9
18400;1551;6
18401;1559;8
18402;1580;21
18403;1592;12
18404;1598;6
18405;1612;14
18406;1618;6
18407;1628;10
18408;1632;4
18409;1640;8
18410;1649;9
18411;1654;5
18412;1662;8
18413;1667;5
18414;1671;4
18415;1676;5
18416;1679;3
18417;1684;5
18418;1689;5
18419;1700;11
18420;1709;9
18421;1716;7
18422;1722;6
18423;1728;6
18424;1747;19
18425;1751;4
18426;1758;7
18427;1763;5
18428;1768;5
18429;1771;3
18430;1773;2
18431;1779;6
18432;1787;8
18433;1790;3
18434;1793;3
18435;1796;3
18436;1798;2
18437;1799;1
18438;1801;2
18439;1803;2
18440;1808;5
18441;1810;2
18442;1811;1
18443;1812;1
18444;1813;1
18445;1820;7
18446;1823;3
18447;1826;3
18448;1831;5
18449;1836;5
18450;1839;3
18451;1849;10
18452;1852;3
18453;1856;4
18454;1860;4
18455;1864;4
18456;1869;5
18457;1870;1
18458;1891;21
18459;1897;6
18460;1903;6
18461;1910;7
18462;1928;18
18463;1942;14
18464;1944;2
18465;1946;2
18466;1956;10
18467;1982;26
18468;1996;14
18469;2003;7
18470;2014;11
18471;2022;8
18472;2037;15
18473;2056;19
18474;2069;13
18475;2087;18
18476;2104;17
18477;2114;10
18478;2131;17
18479;2141;10
18480;2165;24
18481;2189;24
18482;2225;36
18483;2247;22
18484;2259;12
18485;2277;18
18486;2303;26
18487;2324;21
18488;2346;22
18489;2379;33
18490;2409;30
18491;2430;21
18492;2467;37
18493;2489;22
18494;2521;32
18495;2558;37
18496;2588;30
18497;2629;41
18498;2667;38
18499;2688;21
18500;2720;32
18501;2756;36
18502;2804;48
18503;2833;29
18504;2868;35
18505;2900;32
18506;2923;23
18507;2952;29
18508;2972;20
18509;2998;26
18510;3034;36
18511;3077;43
18512;3094;17
18513;3126;32
18514;3158;32
18515;3194;36
18516;3238;44
18517;3291;53
18518;3330;39
18519;3381;51
18520;3392;11
18521;3437;45
18522;3499;62
