condition;measurement;ncases
18283;0;0
18284;0;0
18285;0;0
18286;0;0
18287;0;0
18288;0;0
18289;0;0
18290;0;0
18291;0;0
18292;0;0
18293;0;0
18294;0;0
18295;0;0
18296;0;0
18297;0;0
18298;0;0
18299;0;0
18300;0;0
18301;0;0
18302;0;0
18303;0;0
18304;0;0
18305;0;0
18306;0;0
18307;0;0
18308;0;0
18309;0;0
18310;0;0
18311;0;0
18312;0;0
18313;0;0
18314;0;0
18315;0;0
18316;0;0
18317;0;0
18318;0;0
18319;0;0
18320;0;0
18321;1;1
18322;1;0
18323;1;0
18324;1;0
18325;1;0
18326;1;0
18327;2;1
18328;2;0
18329;3;1
18330;3;0
18331;5;2
18332;7;2
18333;19;12
18334;34;15
18335;51;17
18336;59;8
18337;77;18
18338;140;63
18339;203;63
18340;335;132
18341;484;149
18342;670;186
18343;798;128
18344;875;77
18345;1099;224
18346;1333;234
18347;1453;120
18348;1605;152
18349;1831;226
18350;1950;119
18351;1988;38
18352;2178;190
18353;2319;141
18354;2487;168
18355;2612;125
18356;2729;117
18357;2804;75
18358;2843;39
18359;2970;127
18360;3034;64
18361;3115;81
18362;3223;108
18363;3270;47
18364;3281;11
18365;3292;11
18366;3307;15
18367;3373;66
18368;3444;71
18369;3480;36
18370;3537;57
18371;3550;13
18372;3558;8
18373;3618;60
18374;3654;36
18375;3665;11
18376;3695;30
18377;3711;16
18378;3723;12
18379;3729;6
18380;3741;12
18381;3769;28
18382;3784;15
18383;3802;18
18384;3812;10
18385;3824;12
18386;3828;4
18387;3840;12
18388;3851;11
18389;3859;8
18390;3871;12
18391;3877;6
18392;3886;9
18393;3888;2
18394;3894;6
18395;3904;10
18396;3915;11
18397;3923;8
18398;3930;7
18399;3945;15
18400;3947;2
18401;3958;11
18402;3971;13
18403;3980;9
18404;3981;1
18405;3990;9
18406;3992;2
18407;3993;1
18408;3995;2
18409;4001;6
18410;4008;7
18411;4012;4
18412;4016;4
18413;4018;2
18414;4019;1
18415;4020;1
18416;4024;4
18417;4027;3
18418;4032;5
18419;4035;3
18420;4039;4
18421;4040;1
18422;4046;6
18423;4049;3
18424;4052;3
18425;4055;3
18426;4063;8
18427;4070;7
18428;4072;2
18429;4075;3
18430;4085;10
18431;4091;6
18432;4099;8
18433;4105;6
18434;4120;15
18435;4121;1
18436;4133;12
18437;4140;7
18438;4151;11
18439;4173;22
18440;4217;44
18441;4242;25
18442;4256;14
18443;4299;43
18444;4345;46
18445;4395;50
18446;4447;52
18447;4476;29
18448;4522;46
18449;4542;20
18450;4603;61
18451;4650;47
18452;4719;69
18453;4777;58
18454;4842;65
18455;4925;83
18456;4956;31
18457;5056;100
18458;5122;66
18459;5285;163
18460;5409;124
18461;5483;74
18462;5605;122
18463;5639;34
18464;5725;86
18465;5854;129
18466;5952;98
18467;6056;104
18468;6189;133
18469;6272;83
18470;6321;49
18471;6375;54
18472;6533;158
18473;6616;83
18474;6695;79
18475;6793;98
18476;6855;62
18477;6864;9
18478;6917;53
18479;7007;90
18480;7073;66
18481;7113;40
18482;7169;56
18483;7205;36
18484;7216;11
18485;7242;26
18486;7300;58
18487;7368;68
18488;7405;37
18489;7439;34
18490;7458;19
18491;7469;11
18492;7499;30
18493;7566;67
18494;7637;71
18495;7704;67
18496;7762;58
18497;7775;13
18498;7794;19
18499;7838;44
18500;7928;90
18501;7928;0
18502;6580;-1348
18503;6625;45
18504;6625;0
18505;6625;0
18506;6625;0
18507;6745;120
18508;6811;66
18509;6854;43
18510;6896;42
18511;6950;54
18512;6960;10
18513;6974;14
18514;7023;49
18515;7088;65
18516;7088;0
18517;7159;71
18518;7159;0
18519;7244;85
