condition;measurement;ncases
18283;0;0
18284;0;0
18285;0;0
18286;0;0
18287;0;0
18288;0;0
18289;0;0
18290;0;0
18291;0;0
18292;0;0
18293;0;0
18294;0;0
18295;0;0
18296;0;0
18297;0;0
18298;0;0
18299;0;0
18300;0;0
18301;0;0
18302;0;0
18303;0;0
18304;0;0
18305;0;0
18306;0;0
18307;0;0
18308;0;0
18309;0;0
18310;0;0
18311;0;0
18312;0;0
18313;0;0
18314;0;0
18315;0;0
18316;0;0
18317;0;0
18318;0;0
18319;0;0
18320;0;0
18321;0;0
18322;0;0
18323;0;0
18324;0;0
18325;0;0
18326;0;0
18327;0;0
18328;0;0
18329;0;0
18330;0;0
18331;0;0
18332;0;0
18333;0;0
18334;0;0
18335;0;0
18336;0;0
18337;0;0
18338;0;0
18339;0;0
18340;0;0
18341;0;0
18342;0;0
18343;0;0
18344;0;0
18345;0;0
18346;0;0
18347;0;0
18348;0;0
18349;2;2
18350;2;0
18351;2;0
18352;2;0
18353;9;7
18354;9;0
18355;9;0
18356;9;0
18357;9;0
18358;9;0
18359;9;0
18360;9;0
18361;9;0
18362;9;0
18363;9;0
18364;9;0
18365;9;0
18366;9;0
18367;9;0
18368;9;0
18369;9;0
18370;9;0
18371;9;0
18372;9;0
18373;9;0
18374;9;0
18375;9;0
18376;9;0
18377;9;0
18378;9;0
18379;9;0
18380;9;0
18381;9;0
18382;9;0
18383;9;0
18384;9;0
18385;9;0
18386;9;0
18387;9;0
18388;9;0
18389;9;0
18390;9;0
18391;9;0
18392;9;0
18393;9;0
18394;9;0
18395;9;0
18396;9;0
18397;9;0
18398;9;0
18399;9;0
18400;9;0
18401;9;0
18402;9;0
18403;9;0
18404;9;0
18405;9;0
18406;9;0
18407;9;0
18408;9;0
18409;9;0
18410;9;0
18411;9;0
18412;9;0
18413;9;0
18414;9;0
18415;9;0
18416;9;0
18417;9;0
18418;9;0
18419;9;0
18420;9;0
18421;9;0
18422;9;0
18423;9;0
18424;9;0
18425;9;0
18426;9;0
18427;9;0
18428;9;0
18429;9;0
18430;9;0
18431;9;0
18432;9;0
18433;9;0
18434;9;0
18435;9;0
18436;9;0
18437;9;0
18438;9;0
18439;9;0
18440;9;0
18441;9;0
18442;9;0
18443;9;0
18444;9;0
18445;9;0
18446;9;0
18447;9;0
18448;9;0
18449;9;0
18450;9;0
18451;9;0
18452;9;0
18453;9;0
18454;9;0
18455;9;0
18456;9;0
18457;9;0
18458;9;0
18459;9;0
18460;9;0
18461;9;0
18462;9;0
18463;9;0
18464;9;0
18465;9;0
18466;9;0
18467;9;0
18468;9;0
18469;9;0
18470;9;0
18471;9;0
18472;9;0
18473;9;0
18474;9;0
18475;9;0
18476;9;0
18477;9;0
18478;9;0
18479;9;0
18480;9;0
18481;9;0
18482;9;0
18483;9;0
18484;9;0
18485;9;0
18486;9;0
18487;9;0
18488;9;0
18489;9;0
18490;9;0
18491;9;0
18492;9;0
18493;9;0
18494;9;0
18495;9;0
18496;9;0
18497;9;0
18498;9;0
18499;9;0
18500;9;0
18501;9;0
18502;9;0
18503;9;0
18504;9;0
18505;9;0
18506;9;0
18507;9;0
18508;9;0
18509;9;0
18510;9;0
18511;9;0
18512;9;0
18513;9;0
18514;9;0
18515;9;0
18516;9;0
18517;9;0
18518;9;0
18519;9;0
18520;9;0
18521;9;0
18522;9;0
18523;9;0
18524;9;0
18525;9;0
18526;9;0
18527;9;0
18528;9;0
18529;9;0
18530;9;0
18531;9;0
18532;9;0
18533;9;0
18534;9;0
18535;9;0
18536;9;0
18537;9;0
18538;9;0
18539;9;0
18540;9;0
18541;9;0
18542;9;0
18543;9;0
18544;9;0
