condition;measurement;ncases
18283;0;0
18284;0;0
18285;0;0
18286;0;0
18287;0;0
18288;0;0
18289;0;0
18290;0;0
18291;0;0
18292;0;0
18293;0;0
18294;0;0
18295;0;0
18296;0;0
18297;0;0
18298;0;0
18299;0;0
18300;0;0
18301;0;0
18302;0;0
18303;0;0
18304;0;0
18305;0;0
18306;0;0
18307;0;0
18308;0;0
18309;0;0
18310;0;0
18311;0;0
18312;0;0
18313;0;0
18314;0;0
18315;0;0
18316;0;0
18317;0;0
18318;0;0
18319;0;0
18320;0;0
18321;0;0
18322;0;0
18323;0;0
18324;0;0
18325;0;0
18326;0;0
18327;0;0
18328;3;3
18329;3;0
18330;3;0
18331;5;2
18332;6;1
18333;6;0
18334;12;6
18335;18;6
18336;21;3
18337;30;9
18338;38;8
18339;38;0
18340;53;15
18341;64;11
18342;73;9
18343;90;17
18344;107;17
18345;110;3
18346;129;19
18347;134;5
18348;139;5
18349;149;10
18350;151;2
18351;156;5
18352;169;13
18353;188;19
18354;196;8
18355;202;6
18356;213;11
18357;227;14
18358;241;14
18359;293;52
18360;299;6
18361;337;38
18362;350;13
18363;370;20
18364;378;8
18365;384;6
18366;393;9
18367;399;6
18368;412;13
18369;422;10
18370;426;4
18371;427;1
18372;431;4
18373;443;12
18374;444;1
18375;445;1
18376;447;2
18377;448;1
18378;448;0
18379;450;2
18380;458;8
18381;463;5
18382;465;2
18383;467;2
18384;468;1
18385;477;9
18386;480;3
18387;482;2
18388;484;2
18389;486;2
18390;489;3
18391;490;1
18392;496;6
18393;503;7
18394;506;3
18395;508;2
18396;522;14
18397;532;10
18398;546;14
18399;553;7
18400;558;5
18401;569;11
18402;584;15
18403;599;15
18404;600;1
18405;609;9
18406;610;1
18407;611;1
18408;611;0
18409;612;1
18410;616;4
18411;616;0
18412;618;2
18413;618;0
18414;619;1
18415;620;1
18416;622;2
18417;622;0
18418;625;3
18419;627;2
18420;629;2
18421;630;1
18422;632;2
18423;635;3
18424;640;5
18425;645;5
18426;646;1
18427;649;3
18428;650;1
18429;656;6
18430;662;6
18431;663;1
18432;663;0
18433;664;1
18434;665;1
18435;665;0
18436;665;0
18437;665;0
18438;668;3
18439;670;2
18440;670;0
18441;670;0
18442;670;0
18443;670;0
18444;671;1
18445;671;0
18446;672;1
18447;672;0
18448;672;0
18449;672;0
18450;673;1
18451;673;0
18452;674;1
18453;674;0
18454;674;0
18455;674;0
18456;674;0
18457;674;0
18458;674;0
18459;674;0
18460;674;0
18461;675;1
18462;677;2
18463;677;0
18464;677;0
18465;679;2
18466;680;1
18467;686;6
18468;686;0
18469;700;14
18470;701;1
18471;708;7
18472;720;12
18473;814;94
18474;824;10
18475;845;21
18476;860;15
18477;874;14
18478;890;16
18479;926;36
18480;946;20
18481;995;49
18482;1035;40
18483;1089;54
18484;1112;23
18485;1141;29
18486;1190;49
18487;1245;55
18488;1276;31
18489;1348;72
18490;1306;-42
18491;1375;69
18492;1423;48
18493;1470;47
18494;1510;40
18495;1546;36
18496;1577;31
18497;1612;35
18498;1667;55
18499;1705;38
18500;1751;46
18501;1788;37
18502;1820;32
18503;1847;27
18504;1862;15
18505;1883;21
18506;1909;26
18507;1931;22
18508;1965;34
18509;1984;19
18510;2014;30
18511;2039;25
18512;2076;37
18513;2099;23
18514;2162;63
18515;2204;42
18516;2247;43
18517;2274;27
18518;2352;78
18519;2405;53
18520;2454;49
18521;2560;106
18522;2595;35
18523;2634;39
18524;2699;65
18525;2731;32
18526;2776;45
18527;2814;38
18528;2856;42
18529;2898;42
18530;2929;31
18531;2958;29
18532;2979;21
18533;3006;27
18534;3035;29
18535;3058;23
18536;3095;37
