condition;measurement;ncases
18283;0;0
18284;0;0
18285;0;0
18286;0;0
18287;0;0
18288;0;0
18289;0;0
18290;0;0
18291;0;0
18292;0;0
18293;0;0
18294;0;0
18295;0;0
18296;0;0
18297;0;0
18298;0;0
18299;0;0
18300;0;0
18301;0;0
18302;0;0
18303;0;0
18304;0;0
18305;0;0
18306;0;0
18307;0;0
18308;0;0
18309;0;0
18310;0;0
18311;0;0
18312;0;0
18313;0;0
18314;0;0
18315;0;0
18316;0;0
18317;0;0
18318;0;0
18319;0;0
18320;0;0
18321;0;0
18322;0;0
18323;0;0
18324;0;0
18325;0;0
18326;0;0
18327;0;0
18328;0;0
18329;0;0
18330;0;0
18331;0;0
18332;0;0
18333;0;0
18334;0;0
18335;1;1
18336;1;0
18337;1;0
18338;1;0
18339;1;0
18340;2;1
18341;2;0
18342;2;0
18343;2;0
18344;2;0
18345;2;0
18346;2;0
18347;3;1
18348;3;0
18349;5;2
18350;5;0
18351;5;0
18352;6;1
18353;6;0
18354;6;0
18355;6;0
18356;6;0
18357;6;0
18358;6;0
18359;6;0
18360;6;0
18361;7;1
18362;7;0
18363;7;0
18364;7;0
18365;7;0
18366;7;0
18367;7;0
18368;7;0
18369;7;0
18370;7;0
18371;7;0
18372;7;0
18373;7;0
18374;7;0
18375;7;0
18376;7;0
18377;7;0
18378;7;0
18379;7;0
18380;7;0
18381;8;1
18382;8;0
18383;8;0
18384;8;0
18385;8;0
18386;8;0
18387;8;0
18388;8;0
18389;8;0
18390;8;0
18391;8;0
18392;8;0
18393;8;0
18394;9;1
18395;15;6
18396;20;5
18397;29;9
18398;40;11
18399;62;22
18400;81;19
18401;131;50
18402;141;10
18403;173;32
18404;200;27
18405;227;27
18406;237;10
18407;262;25
18408;268;6
18409;292;24
18410;346;54
18411;423;77
18412;483;60
18413;530;47
18414;588;58
18415;668;80
18416;745;77
18417;784;39
18418;883;99
18419;947;64
18420;1049;102
18421;1104;55
18422;1162;58
18423;1283;121
18424;1439;156
18425;1572;133
18426;1682;110
18427;1783;101
18428;1887;104
18429;2057;170
18430;2223;166
18431;2424;201
18432;2621;197
18433;2813;192
18434;2984;171
18435;3121;137
18436;3292;171
18437;3519;227
18438;3739;220
18439;3907;168
18440;4025;118
18441;4149;124
18442;4237;88
18443;4363;126
18444;4472;109
18445;4606;134
18446;4705;99
18447;4827;122
18448;4879;52
18449;4948;69
18450;5024;76
18451;5087;63
18452;5126;39
18453;5203;77
18454;5275;72
18455;5355;80
18456;5446;91
18457;5518;72
18458;5564;46
18459;5659;95
18460;5710;51
18461;5813;103
18462;5873;60
18463;5923;50
18464;5985;62
18465;6027;42
18466;6067;40
18467;6116;49
18468;6151;35
18469;6171;20
18470;6208;37
18471;6249;41
18472;6273;24
18473;6295;22
18474;6310;15
18475;6319;9
18476;6323;4
18477;6382;59
18478;6418;36
18479;6444;26
18480;6444;0
18481;6498;54
18482;6510;12
18483;6523;13
18484;6555;32
18485;6598;43
18486;6622;24
18487;6653;31
18488;6676;23
18489;6693;17
18490;6701;8
18491;6762;61
18492;6789;27
18493;6829;40
18494;6848;19
18495;6885;37
18496;6894;9
18497;6905;11
18498;6928;23
18499;6960;32
18500;6977;17
18501;6993;16
18502;7012;19
18503;7012;0
18504;7016;4
18505;7048;32
18506;7075;27
18507;7089;14
18508;7106;17
18509;7126;20
18510;7134;8
18511;7142;8
18512;7165;23
18513;7165;0
18514;7191;26
18515;7222;31
18516;7266;44
18517;7274;8
18518;7276;2
18519;7295;19
18520;7319;24
18521;7332;13
18522;7346;14
18523;7361;15
18524;7365;4
18525;7368;3
18526;7384;16
18527;7403;19
18528;7425;22
