condition;measurement;ncases
18283;0;0
18284;0;0
18285;0;0
18286;0;0
18287;0;0
18288;0;0
18289;0;0
18290;0;0
18291;0;0
18292;0;0
18293;0;0
18294;0;0
18295;0;0
18296;0;0
18297;0;0
18298;0;0
18299;0;0
18300;0;0
18301;0;0
18302;0;0
18303;0;0
18304;0;0
18305;0;0
18306;0;0
18307;0;0
18308;0;0
18309;0;0
18310;0;0
18311;0;0
18312;0;0
18313;0;0
18314;0;0
18315;0;0
18316;0;0
18317;0;0
18318;0;0
18319;0;0
18320;1;1
18321;4;3
18322;5;1
18323;5;0
18324;5;0
18325;5;0
18326;5;0
18327;6;1
18328;6;0
18329;7;1
18330;7;0
18331;7;0
18332;8;1
18333;12;4
18334;26;14
18335;41;15
18336;53;12
18337;82;29
18338;93;11
18339;118;25
18340;164;46
18341;203;39
18342;251;48
18343;316;65
18344;367;51
18345;405;38
18346;475;70
18347;585;110
18348;717;132
18349;848;131
18350;993;145
18351;1094;101
18352;1215;121
18353;1378;163
18354;1510;132
18355;1688;178
18356;1890;202
18357;2143;253
18358;2439;296
18359;2785;346
18360;3181;396
18361;3441;260
18362;3844;403
18363;4219;375
18364;4661;442
18365;5014;353
18366;5399;385
18367;5847;448
18368;6297;450
18369;6875;578
18370;7497;622
18371;8261;764
18372;8772;511
18373;9501;729
18374;10544;1043
18375;11633;1089
18376;12872;1239
18377;13842;970
18378;14677;835
18379;15529;852
18380;16752;1223
18381;17799;1047
18382;19224;1425
18383;20739;1515
18384;22088;1349
18385;23471;1383
18386;24905;1434
18387;26025;1120
18388;27634;1609
18389;29616;1982
18390;31522;1906
18391;33460;1938
18392;35022;1562
18393;36327;1305
18394;38324;1997
18395;40186;1862
18396;42595;2409
18397;45032;2437
18398;47144;2112
18399;49219;2075
18400;51633;2414
18401;54346;2713
18402;56594;2248
18403;59567;2973
18404;62527;2960
18405;65856;3329
18406;68620;2764
18407;71105;2485
18408;74560;3455
18409;78023;3463
18410;81400;3377
18411;84627;3227
18412;87512;2885
18413;90664;3152
18414;93435;2771
18415;97326;3891
18416;101238;3912
18417;105680;4442
18418;110026;4346
18419;113619;3593
18420;117103;3484
18421;120102;2999
18422;124301;4199
18423;129184;4883
18424;133974;4790
18425;139196;5222
18426;142690;3494
18427;146837;4147
18428;150264;3427
18429;154863;4599
18430;159793;4930
18431;165455;5662
18432;170485;5030
18433;175202;4717
18434;180545;5343
18435;185122;4577
18436;191410;6288
18437;196847;5437
18438;202951;6104
18439;208392;5441
18440;212802;4410
18441;216852;4050
18442;220657;3805
18443;226089;5432
18444;231770;5681
18445;238511;6741
18446;245251;6740
18447;252165;6914
18448;256848;4683
18449;261750;4902
18450;268008;6258
18451;275003;6995
18452;282283;7280
18453;289174;6891
18454;295268;6094
18455;299750;4482
18456;304435;4685
18457;311486;7051
18458;317635;6149
18459;324041;6406
18460;331298;7257
18461;338913;7615
18462;344224;5311
18463;349396;5172
18464;356255;6859
18465;362274;6019
18466;370712;8438
18467;378285;7573
18468;385036;6751
18469;390516;5480
18470;395489;4973
18471;402697;7208
18472;408449;5752
18473;416179;7730
18474;424637;8458
18475;434193;9556
18476;439046;4853
18477;443813;4767
18478;449961;6148
18479;456100;6139
18480;462690;6590
18481;469407;6717
18482;475902;6495
18483;480278;4376
18484;485836;5558
18485;492522;6686
18486;498380;5858
18487;505751;7371
18488;511369;5618
18489;517714;6345
18490;522162;4448
18491;525733;3571
18492;531239;5506
18493;537031;5792
18494;543806;6775
18495;549734;5928
18496;556216;6482
18497;560164;3948
18498;563705;3541
18499;568621;4916
18500;573888;5267
18501;579914;6026
18502;585738;5824
18503;591712;5974
18504;595841;4129
