condition;measurement;ncases
18283;0;0
18284;0;0
18285;0;0
18286;0;0
18287;0;0
18288;0;0
18289;0;0
18290;0;0
18291;0;0
18292;0;0
18293;0;0
18294;0;0
18295;0;0
18296;0;0
18297;0;0
18298;0;0
18299;0;0
18300;0;0
18301;0;0
18302;0;0
18303;0;0
18304;0;0
18305;0;0
18306;0;0
18307;0;0
18308;0;0
18309;0;0
18310;0;0
18311;0;0
18312;0;0
18313;0;0
18314;0;0
18315;0;0
18316;0;0
18317;0;0
18318;0;0
18319;0;0
18320;0;0
18321;0;0
18322;0;0
18323;0;0
18324;0;0
18325;0;0
18326;0;0
18327;0;0
18328;0;0
18329;0;0
18330;0;0
18331;1;1
18332;1;0
18333;1;0
18334;1;0
18335;1;0
18336;1;0
18337;1;0
18338;5;4
18339;6;1
18340;6;0
18341;6;0
18342;10;4
18343;10;0
18344;10;0
18345;10;0
18346;10;0
18347;11;1
18348;11;0
18349;12;1
18350;12;0
18351;12;0
18352;12;0
18353;14;2
18354;14;0
18355;14;0
18356;14;0
18357;14;0
18358;15;1
18359;15;0
18360;16;1
18361;16;0
18362;16;0
18363;16;0
18364;16;0
18365;17;1
18366;30;13
18367;30;0
18368;31;1
18369;31;0
18370;31;0
18371;32;1
18372;33;1
18373;34;1
18374;35;1
18375;36;1
18376;37;1
18377;37;0
18378;38;1
18379;38;0
18380;38;0
18381;38;0
18382;38;0
18383;38;0
18384;39;1
18385;39;0
18386;40;1
18387;41;1
18388;41;0
18389;41;0
18390;42;1
18391;42;0
18392;42;0
18393;42;0
18394;42;0
18395;42;0
18396;98;56
18397;98;0
18398;135;37
18399;136;1
18400;140;4
18401;140;0
18402;140;0
18403;140;0
18404;141;1
18405;141;0
18406;141;0
18407;141;0
18408;141;0
18409;148;7
18410;161;13
18411;179;18
18412;179;0
18413;179;0
18414;185;6
18415;185;0
18416;185;0
18417;186;1
18418;191;5
18419;193;2
18420;193;0
18421;194;1
18422;194;0
18423;194;0
18424;197;3
18425;197;0
18426;197;0
18427;197;0
18428;197;0
18429;197;0
18430;201;4
18431;204;3
18432;204;0
18433;206;2
18434;213;7
18435;215;2
18436;215;0
18437;216;1
18438;219;3
18439;219;0
18440;219;0
18441;220;1
18442;220;0
18443;220;0
18444;220;0
18445;220;0
18446;220;0
18447;220;0
18448;220;0
18449;225;5
18450;227;2
18451;227;0
18452;227;0
18453;227;0
18454;230;3
18455;230;0
18456;243;13
18457;261;18
18458;261;0
18459;262;1
18460;287;25
18461;287;0
18462;287;0
18463;287;0
18464;287;0
18465;287;0
18466;288;1
18467;288;0
18468;288;0
18469;288;0
18470;289;1
18471;291;2
18472;291;0
18473;291;0
18474;291;0
18475;293;2
18476;293;0
18477;293;0
18478;293;0
18479;293;0
18480;293;0
18481;293;0
18482;293;0
18483;293;0
18484;293;0
18485;293;0
18486;297;4
18487;297;0
18488;298;1
18489;298;0
18490;298;0
18491;298;0
18492;298;0
18493;298;0
18494;298;0
18495;298;0
18496;298;0
18497;298;0
18498;298;0
18499;300;2
18500;301;1
18501;301;0
18502;301;0
18503;301;0
18504;301;0
18505;304;3
18506;306;2
18507;306;0
18508;310;4
18509;310;0
18510;310;0
18511;310;0
18512;310;0
18513;310;0
18514;310;0
18515;311;1
18516;311;0
18517;311;0
18518;311;0
18519;311;0
18520;311;0
18521;311;0
18522;311;0
18523;311;0
18524;312;1
18525;312;0
18526;313;1
18527;313;0
18528;313;0
18529;313;0
18530;313;0
18531;313;0
18532;313;0
18533;313;0
18534;313;0
18535;313;0
18536;313;0
18537;313;0
18538;313;0
18539;314;1
18540;315;1
18541;315;0
18542;315;0
18543;315;0
18544;315;0
