condition;measurement;ncases
18283;0;0
18284;0;0
18285;0;0
18286;0;0
18287;0;0
18288;0;0
18289;0;0
18290;0;0
18291;0;0
18292;0;0
18293;0;0
18294;0;0
18295;0;0
18296;0;0
18297;0;0
18298;0;0
18299;0;0
18300;0;0
18301;0;0
18302;0;0
18303;0;0
18304;0;0
18305;0;0
18306;0;0
18307;0;0
18308;0;0
18309;0;0
18310;0;0
18311;0;0
18312;0;0
18313;0;0
18314;0;0
18315;0;0
18316;0;0
18317;0;0
18318;0;0
18319;0;0
18320;0;0
18321;0;0
18322;0;0
18323;0;0
18324;0;0
18325;0;0
18326;0;0
18327;0;0
18328;0;0
18329;0;0
18330;0;0
18331;0;0
18332;0;0
18333;0;0
18334;0;0
18335;0;0
18336;0;0
18337;0;0
18338;2;2
18339;2;0
18340;3;1
18341;14;11
18342;14;0
18343;21;7
18344;27;6
18345;47;20
18346;52;5
18347;69;17
18348;82;13
18349;84;2
18350;85;1
18351;91;6
18352;109;18
18353;123;14
18354;144;21
18355;174;30
18356;201;27
18357;214;13
18358;233;19
18359;241;8
18360;248;7
18361;252;4
18362;255;3
18363;263;8
18364;272;9
18365;274;2
18366;283;9
18367;288;5
18368;303;15
18369;303;0
18370;307;4
18371;308;1
18372;312;4
18373;313;1
18374;315;2
18375;316;1
18376;319;3
18377;320;1
18378;321;1
18379;321;0
18380;321;0
18381;322;1
18382;322;0
18383;322;0
18384;322;0
18385;322;0
18386;323;1
18387;324;1
18388;324;0
18389;324;0
18390;324;0
18391;324;0
18392;324;0
18393;324;0
18394;324;0
18395;324;0
18396;324;0
18397;324;0
18398;324;0
18399;324;0
18400;324;0
18401;324;0
18402;324;0
18403;324;0
18404;324;0
18405;324;0
18406;324;0
18407;324;0
18408;324;0
18409;324;0
18410;324;0
18411;324;0
18412;324;0
18413;324;0
18414;324;0
18415;324;0
18416;324;0
18417;324;0
18418;324;0
18419;324;0
18420;324;0
18421;324;0
18422;324;0
18423;324;0
18424;324;0
18425;324;0
18426;324;0
18427;325;1
18428;326;1
18429;326;0
18430;333;7
18431;337;4
18432;355;18
18433;359;4
18434;362;3
18435;367;5
18436;378;11
18437;389;11
18438;414;25
18439;439;25
18440;469;30
18441;481;12
18442;501;20
18443;548;47
18444;576;28
18445;616;40
18446;663;47
18447;720;57
18448;781;61
18449;841;60
18450;907;66
18451;960;53
18452;1019;59
18453;1019;0
18454;1164;145
18455;1221;57
18456;1287;66
18457;1287;0
18458;1287;0
18459;1287;0
18460;1965;678
18461;2072;107
18462;2188;116
18463;2188;0
18464;2381;193
18465;2472;91
18466;2569;97
18467;2665;96
18468;2747;82
18469;2799;52
18470;2893;94
18471;2949;56
18472;3016;67
18473;3016;0
18474;3073;57
18475;3198;125
18476;3258;60
18477;3301;43
18478;3361;60
18479;3411;50
18480;3480;69
18481;3549;69
18482;3588;39
18483;3618;30
18484;3696;78
18485;3748;52
18486;3813;65
18487;3857;44
18488;3930;73
18489;3960;30
18490;4035;75
18491;4085;50
18492;4132;47
18493;4174;42
18494;4229;55
18495;4277;48
18496;4313;36
18497;4343;30
18498;4378;35
18499;4444;66
18500;4499;55
18501;4558;59
18502;4663;105
18503;4727;64
18504;4790;63
18505;4835;45
18506;4917;82
18507;5019;102
18508;5165;146
18509;5275;110
18510;5422;147
18511;5553;131
18512;5659;106
18513;5875;216
18514;6094;219
18515;6222;128
18516;6385;163
18517;6530;145
18518;6712;182
18519;6900;188
18520;7061;161
18521;7291;230
18522;7503;212
18523;7711;208
18524;7898;187
18525;8612;714
18526;8842;230
18527;9138;296
18528;9428;290
18529;9717;289
18530;9962;245
18531;10197;235
18532;10313;116
