condition;measurement;ncases
18283;0;0
18284;0;0
18285;0;0
18286;0;0
18287;0;0
18288;0;0
18289;0;0
18290;0;0
18291;0;0
18292;0;0
18293;0;0
18294;0;0
18295;0;0
18296;0;0
18297;0;0
18298;0;0
18299;0;0
18300;0;0
18301;0;0
18302;0;0
18303;0;0
18304;0;0
18305;0;0
18306;0;0
18307;0;0
18308;0;0
18309;0;0
18310;0;0
18311;0;0
18312;0;0
18313;0;0
18314;0;0
18315;0;0
18316;0;0
18317;0;0
18318;0;0
18319;0;0
18320;0;0
18321;0;0
18322;0;0
18323;0;0
18324;0;0
18325;0;0
18326;0;0
18327;0;0
18328;0;0
18329;0;0
18330;0;0
18331;0;0
18332;0;0
18333;0;0
18334;0;0
18335;0;0
18336;0;0
18337;0;0
18338;0;0
18339;0;0
18340;0;0
18341;0;0
18342;0;0
18343;1;1
18344;1;0
18345;3;2
18346;5;2
18347;7;2
18348;7;0
18349;8;1
18350;8;0
18351;8;0
18352;8;0
18353;10;2
18354;10;0
18355;10;0
18356;10;0
18357;10;0
18358;10;0
18359;10;0
18360;17;7
18361;17;0
18362;20;3
18363;20;0
18364;21;1
18365;21;0
18366;28;7
18367;29;1
18368;31;2
18369;34;3
18370;35;1
18371;39;4
18372;39;0
18373;39;0
18374;41;2
18375;46;5
18376;65;19
18377;70;5
18378;76;6
18379;76;0
18380;76;0
18381;76;0
18382;76;0
18383;79;3
18384;79;0
18385;80;1
18386;80;0
18387;81;1
18388;81;0
18389;81;0
18390;82;1
18391;87;5
18392;91;4
18393;103;12
18394;104;1
18395;104;0
18396;115;11
18397;119;4
18398;129;10
18399;137;8
18400;145;8
18401;146;1
18402;156;10
18403;162;6
18404;164;2
18405;168;4
18406;194;26
18407;209;15
18408;213;4
18409;227;14
18410;233;6
18411;234;1
18412;244;10
18413;254;10
18414;254;0
18415;307;53
18416;316;9
18417;352;36
18418;354;2
18419;409;55
18420;424;15
18421;433;9
18422;453;20
18423;472;19
18424;489;17
18425;509;20
18426;553;44
18427;583;30
18428;609;26
18429;638;29
18430;651;13
18431;662;11
18432;668;6
18433;688;20
18434;733;45
18435;737;4
18436;757;20
18437;762;5
18438;788;26
18439;816;28
18440;839;23
18441;859;20
18442;883;24
18443;889;6
18444;903;14
18445;918;15
18446;939;21
18447;969;30
18448;987;18
18449;1012;25
18450;1040;28
18451;1071;31
18452;1092;21
18453;1111;19
18454;1135;24
18455;1157;22
18456;1219;62
18457;1268;49
18458;1330;62
18459;1383;53
18460;1402;19
18461;1435;33
18462;1491;56
18463;1507;16
18464;1536;29
18465;1557;21
18466;1582;25
18467;1590;8
18468;1616;26
18469;1669;53
18470;1701;32
18471;1720;19
18472;1748;28
18473;1808;60
18474;1864;56
18475;1907;43
18476;1946;39
18477;1973;27
18478;2029;56
18479;2079;50
18480;2120;41
18481;2213;93
18482;2241;28
18483;2269;28
18484;2411;142
18485;2481;70
18486;2559;78
18487;2638;79
18488;2708;70
18489;2791;83
18490;2855;64
18491;2914;59
18492;2991;77
18493;3045;54
18494;3115;70
18495;3195;80
18496;3304;109
18497;3395;91
18498;3440;45
18499;3508;68
18500;3590;82
18501;3651;61
18502;3697;46
18503;3760;63
18504;3821;61
18505;3916;95
18506;4039;123
18507;4117;78
18508;4207;90
18509;4265;58
18510;4341;76
18511;4444;103
18512;4557;113
18513;4647;90
18514;4764;117
18515;4832;68
18516;4918;86
18517;5040;122
18518;5269;229
18519;5482;213
18520;5713;231
18521;5994;281
18522;6161;167
18523;6264;103
18524;6537;273
18525;6771;234
18526;6912;141
18527;7114;202
18528;7262;148
18529;7399;137
18530;7589;190
18531;7757;168
18532;7983;226
